2026-04-05 12:30:12.330+0000 INFO  CREATE USER neo4j PASSWORD ****** CHANGE NOT REQUIRED
2026-04-05 12:30:13.245+0000 INFO  CREATE ROLE admin
2026-04-05 12:30:13.250+0000 INFO  GRANT TRANSACTION MANAGEMENT ON DATABASE * TO admin
2026-04-05 12:30:13.252+0000 INFO  GRANT START ON DATABASE * TO admin
2026-04-05 12:30:13.256+0000 INFO  GRANT STOP ON DATABASE * TO admin
2026-04-05 12:30:13.256+0000 INFO  GRANT ALL ON DBMS TO admin
2026-04-05 12:30:13.256+0000 INFO  GRANT CONSTRAINT MANAGEMENT ON DATABASE * TO admin
2026-04-05 12:30:13.256+0000 INFO  GRANT INDEX MANAGEMENT ON DATABASE * TO admin
2026-04-05 12:30:13.256+0000 INFO  GRANT NAME MANAGEMENT ON DATABASE * TO admin
2026-04-05 12:30:13.256+0000 INFO  GRANT WRITE ON GRAPH * TO admin
2026-04-05 12:30:13.258+0000 INFO  GRANT MATCH {*} ON GRAPH * TO admin
2026-04-05 12:30:13.258+0000 INFO  GRANT ACCESS ON DATABASE * TO admin
2026-04-05 12:30:13.258+0000 INFO  GRANT SHOW INDEX ON DATABASE * TO admin
2026-04-05 12:30:13.258+0000 INFO  GRANT SHOW CONSTRAINTS ON DATABASE * TO admin
2026-04-05 12:30:13.258+0000 INFO  GRANT LOAD ON ALL DATA TO admin
2026-04-05 12:30:13.258+0000 INFO  CREATE ROLE architect
2026-04-05 12:30:13.260+0000 INFO  GRANT CONSTRAINT MANAGEMENT ON DATABASE * TO architect
2026-04-05 12:30:13.260+0000 INFO  GRANT INDEX MANAGEMENT ON DATABASE * TO architect
2026-04-05 12:30:13.260+0000 INFO  GRANT NAME MANAGEMENT ON DATABASE * TO architect
2026-04-05 12:30:13.260+0000 INFO  GRANT WRITE ON GRAPH * TO architect
2026-04-05 12:30:13.260+0000 INFO  GRANT MATCH {*} ON GRAPH * TO architect
2026-04-05 12:30:13.260+0000 INFO  GRANT ACCESS ON DATABASE * TO architect
2026-04-05 12:30:13.262+0000 INFO  GRANT SHOW INDEX ON DATABASE * TO architect
2026-04-05 12:30:13.262+0000 INFO  GRANT SHOW CONSTRAINTS ON DATABASE * TO architect
2026-04-05 12:30:13.262+0000 INFO  CREATE ROLE publisher
2026-04-05 12:30:13.262+0000 INFO  GRANT NAME MANAGEMENT ON DATABASE * TO publisher
2026-04-05 12:30:13.262+0000 INFO  GRANT WRITE ON GRAPH * TO publisher
2026-04-05 12:30:13.264+0000 INFO  GRANT MATCH {*} ON GRAPH * TO publisher
2026-04-05 12:30:13.264+0000 INFO  GRANT ACCESS ON DATABASE * TO publisher
2026-04-05 12:30:13.264+0000 INFO  GRANT SHOW INDEX ON DATABASE * TO publisher
2026-04-05 12:30:13.264+0000 INFO  GRANT SHOW CONSTRAINTS ON DATABASE * TO publisher
2026-04-05 12:30:13.264+0000 INFO  CREATE ROLE editor
2026-04-05 12:30:13.266+0000 INFO  GRANT WRITE ON GRAPH * TO editor
2026-04-05 12:30:13.266+0000 INFO  GRANT MATCH {*} ON GRAPH * TO editor
2026-04-05 12:30:13.266+0000 INFO  GRANT ACCESS ON DATABASE * TO editor
2026-04-05 12:30:13.266+0000 INFO  GRANT SHOW INDEX ON DATABASE * TO editor
2026-04-05 12:30:13.268+0000 INFO  GRANT SHOW CONSTRAINTS ON DATABASE * TO editor
2026-04-05 12:30:13.268+0000 INFO  CREATE ROLE reader
2026-04-05 12:30:13.268+0000 INFO  GRANT MATCH {*} ON GRAPH * TO reader
2026-04-05 12:30:13.268+0000 INFO  GRANT ACCESS ON DATABASE * TO reader
2026-04-05 12:30:13.268+0000 INFO  GRANT SHOW INDEX ON DATABASE * TO reader
2026-04-05 12:30:13.270+0000 INFO  GRANT SHOW CONSTRAINTS ON DATABASE * TO reader
2026-04-05 12:30:13.270+0000 INFO  CREATE ROLE PUBLIC
2026-04-05 12:30:13.270+0000 INFO  GRANT ACCESS ON HOME DATABASE TO PUBLIC
2026-04-05 12:30:13.270+0000 INFO  GRANT EXECUTE PROCEDURE * ON DBMS TO PUBLIC
2026-04-05 12:30:13.272+0000 INFO  GRANT EXECUTE FUNCTION * ON DBMS TO PUBLIC
2026-04-05 12:30:13.272+0000 INFO  GRANT LOAD ON ALL DATA TO PUBLIC
2026-04-05 12:30:13.272+0000 INFO  GRANT ROLE admin TO neo4j
2026-04-05 12:33:19.544+0000 INFO  [neo4j]: logged in
2026-04-05 12:33:38.421+0000 INFO  [neo4j]: logged in
2026-04-05 12:33:40.848+0000 INFO  [neo4j]: logged in
2026-04-05 12:33:40.897+0000 INFO  [neo4j]: logged in
2026-04-05 12:33:40.928+0000 INFO  [neo4j]: logged in
2026-04-05 12:33:40.995+0000 INFO  [neo4j]: logged in
2026-04-05 12:33:41.016+0000 INFO  [neo4j]: logged in
2026-04-05 12:33:41.069+0000 INFO  [neo4j]: logged in
2026-04-05 12:33:41.135+0000 INFO  [neo4j]: logged in
2026-04-05 12:37:10.774+0000 INFO  [neo4j]: logged in
2026-04-05 12:38:18.521+0000 INFO  [neo4j]: logged in
2026-04-05 12:38:18.896+0000 INFO  [neo4j]: logged in
2026-04-05 12:38:19.089+0000 INFO  [neo4j]: logged in
2026-04-05 12:38:19.119+0000 INFO  [neo4j]: logged in
2026-04-05 12:38:19.135+0000 INFO  [neo4j]: logged in
2026-04-05 12:38:19.203+0000 INFO  [neo4j]: logged in
2026-04-05 12:38:19.203+0000 INFO  [neo4j]: logged in
2026-04-05 12:38:19.206+0000 INFO  [neo4j]: logged in
