t,value
1775392230,237
1775392260,237
1775392290,237
1775392320,237
1775392350,237
1775392380,237
1775392410,237
1775392440,237
1775392470,237
1775392500,237
1775392530,237
1775392561,237
1775392591,237
1775392621,237
1775392651,237
1775392681,237
1775392711,237
1775392741,237
1775392771,237
1775392801,237
1775392831,237
1775392861,237
1775392891,237
1775392921,237
1775392951,237
1775392981,237
1775393011,237
1775393041,237
1775393071,237
1775393101,237
1775393131,180
1775393161,180
1775393191,180
1775393221,180
1775393251,180
1775393281,180
1775393311,180
1775393341,180
1775393371,180
1775393401,180
1775393431,180
1775393461,180
1775393491,180
1775393521,180
1775393552,180
1775393582,180
1775393612,180
1775393642,180
1775393672,180
1775393702,180
1775393732,180
1775393762,180
1775393792,180
1775393822,180
1775393852,180
1775393882,180
1775393912,180
1775393942,180
1775393972,180
1775394002,180
1775394032,180
1775394062,180
1775394092,180
1775394122,180
1775394152,180
1775394182,180
1775394212,180
1775394242,180
1775394272,180
1775394302,180
1775394332,180
1775394362,180
1775394392,180
1775394422,180
1775394452,457
1775394482,457
1775394512,457
1775394542,457
1775394572,457
1775394602,457
1775394632,457
1775394662,457
1775394692,457
1775394722,457
1775394752,457
1775394782,457
1775394812,457
1775394842,457
