t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1775392230,1,0.07712673302805029,0.0,0.0,0.0,events/second
1775392260,1,0.023165810952883913,0.0,0.0,0.0,events/second
1775392290,1,0.013661899595904645,0.0,0.0,0.0,events/second
1775392320,1,0.009687073242042743,0.0,0.0,0.0,events/second
1775392350,1,0.007504124195368594,0.0,0.0,0.0,events/second
1775392380,1,0.006123598673995453,0.0,0.0,0.0,events/second
1775392410,1,0.005169750475815433,0.0,0.0,0.0,events/second
1775392440,1,0.004472671568140117,0.0,0.0,0.0,events/second
1775392470,1,0.003942600308197876,0.0,0.0,0.0,events/second
1775392500,1,0.0035250035358693594,0.0,0.0,0.0,events/second
1775392530,1,0.0031871083253022185,0.0,0.0,0.0,events/second
1775392561,1,0.002908526983149551,0.0,0.0,0.0,events/second
1775392591,1,0.0026749422625148016,0.0,0.0,0.0,events/second
1775392621,1,0.0024759616821923044,0.0,0.0,0.0,events/second
1775392651,1,0.0023045887846318428,0.0,0.0,0.0,events/second
1775392681,1,0.0021554737313681624,0.0,0.0,0.0,events/second
1775392711,1,0.00202446834635067,0.0,0.0,0.0,events/second
1775392741,1,0.0019084764000067058,0.0,0.0,0.0,events/second
1775392771,1,0.0018049737908681423,0.0,0.0,0.0,events/second
1775392801,1,0.001711838423904173,0.0,0.0,0.0,events/second
1775392831,1,0.0016281682466687307,0.0,0.0,0.0,events/second
1775392861,1,0.0015523113597612553,0.0,0.0,0.0,events/second
1775392891,1,0.0014832060191829759,0.0,0.0,0.0,events/second
1775392921,1,0.001419987531120729,0.0,0.0,0.0,events/second
1775392951,1,0.0013619386297515016,0.0,0.0,0.0,events/second
1775392981,1,0.0013084160001607446,0.0,0.0,0.0,events/second
1775393011,1,0.00125894668177563,0.0,0.0,0.0,events/second
1775393041,1,0.001213091291671847,0.0,0.0,0.0,events/second
1775393071,1,0.0011704437164547488,0.0,0.0,0.0,events/second
1775393101,1,0.0011307050307466176,0.0,0.0,0.0,events/second
1775393131,2,0.0021870930809094317,0.0,0.0,0.0,events/second
1775393161,2,0.002117596753568745,0.0,0.0,0.0,events/second
1775393191,2,0.0020523596642998804,0.0,0.0,0.0,events/second
1775393221,2,0.0019910263086389698,0.0,0.0,0.0,events/second
1775393251,2,0.001933231733950582,0.0,0.0,0.0,events/second
1775393281,2,0.0018786816356694128,0.0,0.0,0.0,events/second
1775393311,2,0.0018271488312895609,0.0,0.0,0.0,events/second
1775393341,2,0.001778375559515653,0.0,0.0,0.0,events/second
1775393371,2,0.0017321211575450138,0.0,0.0,0.0,events/second
1775393401,2,0.0016882231508298165,0.0,0.0,0.0,events/second
1775393431,2,0.0016465090015436205,0.0,0.0,0.0,events/second
1775393461,2,0.0016068094465929031,0.0,0.0,0.0,events/second
1775393491,2,0.0015689767092567537,0.0,0.0,0.0,events/second
1775393521,2,0.001532827790510705,0.0,0.0,0.0,events/second
1775393552,2,0.0014983523478909902,0.0,0.0,0.0,events/second
1775393582,2,0.0014653152946507723,0.0,0.0,0.0,events/second
1775393612,2,0.0014337839796219156,0.0,0.0,0.0,events/second
1775393642,2,0.0014035881435096249,0.0,0.0,0.0,events/second
1775393672,2,0.0013746253364226003,0.0,0.0,0.0,events/second
1775393702,2,0.0013468337625051777,0.0,0.0,0.0,events/second
1775393732,2,0.0013201497206352956,0.0,0.0,0.0,events/second
1775393762,2,0.0012945008376582235,0.0,0.0,0.0,events/second
1775393792,2,0.0012697786339589514,0.0,0.0,0.0,events/second
1775393822,2,0.001246033821855858,0.0,0.0,0.0,events/second
1775393852,2,0.001223164147614668,0.0,0.0,0.0,events/second
1775393882,2,0.0012011171985270163,0.0,0.0,0.0,events/second
1775393912,2,0.001179838372881804,0.0,0.0,0.0,events/second
1775393942,2,0.0011592953921411159,0.0,0.0,0.0,events/second
1775393972,2,0.0011394700858028274,0.0,0.0,0.0,events/second
1775394002,2,0.0011203121552376754,0.0,0.0,0.0,events/second
1775394032,2,0.0011017897335093034,0.0,0.0,0.0,events/second
1775394062,2,0.0010838652278965693,0.0,0.0,0.0,events/second
1775394092,2,0.0010665208582487304,0.0,0.0,0.0,events/second
1775394122,2,0.0010497208118099477,0.0,0.0,0.0,events/second
1775394152,2,0.0010334374330223386,0.0,0.0,0.0,events/second
1775394182,2,0.0010176444926901715,0.0,0.0,0.0,events/second
1775394212,2,0.0010023382870312794,0.0,0.0,0.0,events/second
1775394242,2,9.874858126536989E-4,0.0,0.0,0.0,events/second
1775394272,2,9.730643445617563E-4,0.0,0.0,0.0,events/second
1775394302,2,9.590547954442552E-4,0.0,0.0,0.0,events/second
1775394332,2,9.45443975428718E-4,0.0,0.0,0.0,events/second
1775394362,2,9.322166227876714E-4,0.0,0.0,0.0,events/second
1775394392,2,9.193560017209691E-4,0.0,0.0,0.0,events/second
1775394422,2,9.068398145764553E-4,0.0,0.0,0.0,events/second
1775394452,3,0.0013419966291946966,0.0,0.0,0.0,events/second
1775394482,3,0.0013242122072624949,0.0,0.0,0.0,events/second
1775394512,3,0.001306895518952057,0.0,0.0,0.0,events/second
1775394542,3,0.0012900193612891244,0.0,0.0,0.0,events/second
1775394572,3,0.0012735840095258173,0.0,0.0,0.0,events/second
1775394602,3,0.0012575618481357345,0.0,0.0,0.0,events/second
1775394632,3,0.0012419289513033174,0.0,0.0,0.0,events/second
1775394662,3,0.0012266888402461657,0.0,0.0,0.0,events/second
1775394692,3,0.001211795414387703,0.0,0.0,0.0,events/second
1775394722,3,0.0011972758690569612,0.0,0.0,0.0,events/second
1775394752,3,0.0011831069823906343,0.0,0.0,0.0,events/second
1775394782,3,0.0011692647683633742,0.0,0.0,0.0,events/second
1775394812,3,0.0011557442273454224,0.0,0.0,0.0,events/second
1775394842,3,0.0011425310588782148,0.0,0.0,0.0,events/second
