t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1775392230,1277952,98554.90334728545,0.0,0.0,0.0,events/second
1775392260,1277952,29605.318208151013,0.0,0.0,0.0,events/second
1775392290,1277952,17459.433218296395,0.0,0.0,0.0,events/second
1775392320,1277952,12379.698162206629,0.0,0.0,0.0,events/second
1775392350,1277952,9589.96858452926,0.0,0.0,0.0,events/second
1775392380,1277952,7825.688198849985,0.0,0.0,0.0,events/second
1775392410,1277952,6606.608987766515,0.0,0.0,0.0,events/second
1775392440,1277952,5715.863668833263,0.0,0.0,0.0,events/second
1775392470,1277952,5038.465540088746,0.0,0.0,0.0,events/second
1775392500,1277952,4504.798558940761,0.0,0.0,0.0,events/second
1775392530,1277952,4072.9820640422527,0.0,0.0,0.0,events/second
1775392561,1277952,3716.9669887576088,0.0,0.0,0.0,events/second
1775392591,1277952,3418.455649905866,0.0,0.0,0.0,events/second
1775392621,1277952,3164.166696380744,0.0,0.0,0.0,events/second
1775392651,1277952,2945.159794959621,0.0,0.0,0.0,events/second
1775392681,1277952,2754.5971820096547,0.0,0.0,0.0,events/second
1775392711,1277952,2587.178024245158,0.0,0.0,0.0,events/second
1775392741,1277952,2438.9453759283283,0.0,0.0,0.0,events/second
1775392771,1277952,2306.6733204309353,0.0,0.0,0.0,events/second
1775392801,1277952,2187.6503997131967,0.0,0.0,0.0,events/second
1775392831,1277952,2080.723850774519,0.0,0.0,0.0,events/second
1775392861,1277952,1983.7817016334238,0.0,0.0,0.0,events/second
1775392891,1277952,1895.468534679322,0.0,0.0,0.0,events/second
1775392921,1277952,1814.6781484929072,0.0,0.0,0.0,events/second
1775392951,1277952,1740.4943151843556,0.0,0.0,0.0,events/second
1775392981,1277952,1672.0947635904533,0.0,0.0,0.0,events/second
1775393011,1277952,1608.8752329580684,0.0,0.0,0.0,events/second
1775393041,1277952,1550.2738039461437,0.0,0.0,0.0,events/second
1775393071,1277952,1495.7723020349924,0.0,0.0,0.0,events/second
1775393101,1277952,1444.9881844226425,0.0,0.0,0.0,events/second
1775393131,2572288,2812.9192159605495,0.0,0.0,0.0,events/second
1775393161,2572288,2723.5369214568327,0.0,0.0,0.0,events/second
1775393191,2572288,2639.632490505365,0.0,0.0,0.0,events/second
1775393221,2572288,2560.7487967924735,0.0,0.0,0.0,events/second
1775393251,2572288,2486.4165402732765,0.0,0.0,0.0,events/second
1775393281,2572288,2416.25714091258,0.0,0.0,0.0,events/second
1775393311,2572288,2349.978421701874,0.0,0.0,0.0,events/second
1775393341,2572288,2287.248874439449,0.0,0.0,0.0,events/second
1775393371,2572288,2227.758939809302,0.0,0.0,0.0,events/second
1775393401,2572288,2171.2997104257615,0.0,0.0,0.0,events/second
1775393431,2572288,2117.649229408256,0.0,0.0,0.0,events/second
1775393461,2572288,2066.589781482245,0.0,0.0,0.0,events/second
1775393491,2572288,2017.9313959913684,0.0,0.0,0.0,events/second
1775393521,2572288,1971.4384635190197,0.0,0.0,0.0,events/second
1775393552,2572288,1927.0963430353859,0.0,0.0,0.0,events/second
1775393582,2572288,1884.6076134603716,0.0,0.0,0.0,events/second
1775393612,2572288,1844.0538461299973,0.0,0.0,0.0,events/second
1775393642,2572288,1805.2175082233075,0.0,0.0,0.0,events/second
1775393672,2572288,1767.9672099250513,0.0,0.0,0.0,events/second
1775393702,2572288,1732.2230237598321,0.0,0.0,0.0,events/second
1775393732,2572288,1697.9035097521703,0.0,0.0,0.0,events/second
1775393762,2572288,1664.9153952890508,0.0,0.0,0.0,events/second
1775393792,2572288,1633.119053753716,0.0,0.0,0.0,events/second
1775393822,2572288,1602.579681388884,0.0,0.0,0.0,events/second
1775393852,2572288,1573.1660886430393,0.0,0.0,0.0,events/second
1775393882,2572288,1544.8104824481295,0.0,0.0,0.0,events/second
1775393912,2572288,1517.4428311049298,0.0,0.0,0.0,events/second
1775393942,2572288,1491.0214954281578,0.0,0.0,0.0,events/second
1775393972,2572288,1465.5233584851396,0.0,0.0,0.0,events/second
1775394002,2572288,1440.8833678983715,0.0,0.0,0.0,events/second
1775394032,2572288,1417.0609576791016,0.0,0.0,0.0,events/second
