t,value
1775392230,600
1775392260,600
1775392290,600
1775392320,600
1775392350,600
1775392380,600
1775392410,600
1775392440,600
1775392470,600
1775392500,600
1775392530,600
1775392561,600
1775392591,600
1775392621,600
1775392651,600
1775392681,600
1775392711,600
1775392741,600
1775392771,600
1775392801,600
1775392831,600
1775392861,600
1775392891,600
1775392921,600
1775392951,600
1775392981,600
1775393011,600
1775393041,600
1775393071,600
1775393101,600
1775393131,600
1775393161,600
1775393191,600
1775393221,600
1775393251,600
1775393281,600
1775393311,600
1775393341,600
1775393371,600
1775393401,600
1775393431,600
1775393461,600
1775393491,600
1775393521,600
1775393552,600
1775393582,600
1775393612,600
1775393642,600
1775393672,600
1775393702,600
1775393732,600
1775393762,600
1775393792,600
1775393822,600
1775393852,600
1775393882,600
1775393912,600
1775393942,600
1775393972,600
1775394002,600
1775394032,600
1775394062,600
1775394092,600
1775394122,600
1775394152,600
1775394182,600
1775394212,600
1775394242,600
1775394272,600
1775394302,600
1775394332,600
1775394362,600
1775394392,600
1775394422,600
1775394452,600
1775394482,600
1775394512,600
1775394542,600
1775394572,600
1775394602,600
1775394632,600
1775394662,600
1775394692,600
1775394722,600
1775394752,600
1775394782,600
1775394812,600
1775394842,600
