t,value
1775392230,63
1775392260,63
1775392290,63
1775392320,63
1775392350,63
1775392380,63
1775392410,63
1775392440,63
1775392470,63
1775392500,63
1775392530,63
1775392561,63
1775392591,63
1775392621,63
1775392651,63
1775392681,63
1775392711,63
1775392741,63
1775392771,63
1775392801,63
1775392831,63
1775392861,63
1775392891,63
1775392921,63
1775392951,63
1775392981,63
1775393011,63
1775393041,63
1775393071,63
1775393101,63
1775393131,44
1775393161,44
1775393191,44
1775393221,44
1775393251,44
1775393281,44
1775393311,44
1775393341,44
1775393371,44
1775393401,44
1775393431,44
1775393461,44
1775393491,44
1775393521,44
1775393552,44
1775393582,44
1775393612,44
1775393642,44
1775393672,44
1775393702,44
1775393732,44
1775393762,44
1775393792,44
1775393822,44
1775393852,44
1775393882,44
1775393912,44
1775393942,44
1775393972,44
1775394002,44
1775394032,44
1775394062,44
1775394092,44
1775394122,44
1775394152,44
1775394182,44
1775394212,44
1775394242,44
1775394272,44
1775394302,44
1775394332,44
1775394362,44
1775394392,44
1775394422,44
1775394452,60
1775394482,60
1775394512,60
1775394542,60
1775394572,60
1775394602,60
1775394632,60
1775394662,60
1775394692,60
1775394722,60
1775394752,60
1775394782,60
1775394812,60
1775394842,60
