t,value
1775392230,82
1775392260,82
1775392290,82
1775392320,82
1775392350,82
1775392380,82
1775392410,82
1775392440,82
1775392470,82
1775392500,82
1775392530,82
1775392561,82
1775392591,82
1775392621,82
1775392651,82
1775392681,82
1775392711,82
1775392741,82
1775392771,82
1775392801,82
1775392831,82
1775392861,82
1775392891,82
1775392921,82
1775392951,82
1775392981,82
1775393011,82
1775393041,82
1775393071,82
1775393101,82
1775393131,45
1775393161,45
1775393191,45
1775393221,45
1775393251,45
1775393281,45
1775393311,45
1775393341,45
1775393371,45
1775393401,45
1775393431,45
1775393461,45
1775393491,45
1775393521,45
1775393552,45
1775393582,45
1775393612,45
1775393642,45
1775393672,45
1775393702,45
1775393732,45
1775393762,45
1775393792,45
1775393822,45
1775393852,45
1775393882,45
1775393912,45
1775393942,45
1775393972,45
1775394002,45
1775394032,45
1775394062,45
1775394092,45
1775394122,45
1775394152,45
1775394182,45
1775394212,45
1775394242,45
1775394272,45
1775394302,45
1775394332,45
1775394362,45
1775394392,45
1775394422,45
1775394452,65
1775394482,65
1775394512,65
1775394542,65
1775394572,65
1775394602,65
1775394632,65
1775394662,65
1775394692,65
1775394722,65
1775394752,65
1775394782,65
1775394812,65
1775394842,65
