t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1775392230,237,18.274131213875435,0.0,0.0,0.0,events/second
1775392260,237,5.490290798325439,0.0,0.0,0.0,events/second
1775392290,237,3.237867903987238,0.0,0.0,0.0,events/second
1775392320,237,2.2958317880665944,0.0,0.0,0.0,events/second
1775392350,237,1.7784774703363297,0.0,0.0,0.0,events/second
1775392380,237,1.4512742407668302,0.0,0.0,0.0,events/second
1775392410,237,1.225201560480604,0.0,0.0,0.0,events/second
1775392440,237,1.0600161424446435,0.0,0.0,0.0,events/second
1775392470,237,0.9343955281485913,0.0,0.0,0.0,events/second
1775392500,237,0.8354259387159132,0.0,0.0,0.0,events/second
1775392530,237,0.7553447713171427,0.0,0.0,0.0,events/second
1775392561,237,0.6893210092862426,0.0,0.0,0.0,events/second
1775392591,237,0.633961485627464,0.0,0.0,0.0,events/second
1775392621,237,0.5868029705481658,0.0,0.0,0.0,events/second
1775392651,237,0.546187631202263,0.0,0.0,0.0,events/second
1775392681,237,0.5108474029448553,0.0,0.0,0.0,events/second
1775392711,237,0.47979912882722375,0.0,0.0,0.0,events/second
1775392741,237,0.45230902722093325,0.0,0.0,0.0,events/second
1775392771,237,0.4277499071058956,0.0,0.0,0.0,events/second
1775392801,237,0.4057057314673848,0.0,0.0,0.0,events/second
1775392831,237,0.38587594972735123,0.0,0.0,0.0,events/second
1775392861,237,0.3678977751306607,0.0,0.0,0.0,events/second
1775392891,237,0.35151988697389147,0.0,0.0,0.0,events/second
1775392921,237,0.33653709715551866,0.0,0.0,0.0,events/second
1775392951,237,0.3227795189060396,0.0,0.0,0.0,events/second
1775392981,237,0.31009463930596626,0.0,0.0,0.0,events/second
1775393011,237,0.2983704158312974,0.0,0.0,0.0,events/second
1775393041,237,0.28750261746719746,0.0,0.0,0.0,events/second
1775393071,237,0.2773951667738034,0.0,0.0,0.0,events/second
1775393101,237,0.26797710949752246,0.0,0.0,0.0,events/second
1775393131,417,0.45600894177763945,0.0,0.0,0.0,events/second
1775393161,417,0.44151898678980306,0.0,0.0,0.0,events/second
1775393191,417,0.4279170528006636,0.0,0.0,0.0,events/second
1775393221,417,0.4151290281656251,0.0,0.0,0.0,events/second
1775393251,417,0.4030788709199879,0.0,0.0,0.0,events/second
1775393281,417,0.39170517302765273,0.0,0.0,0.0,events/second
