t,value
1775392230,0
1775392260,0
1775392290,0
1775392320,0
1775392350,0
1775392380,0
1775392410,0
1775392440,3
1775392470,4
1775392500,4
1775392530,4
1775392561,4
1775392591,4
1775392621,4
1775392651,5
1775392681,6
1775392711,8
1775392741,9
1775392771,9
1775392801,9
1775392831,10
1775392861,10
1775392891,10
1775392921,10
1775392951,10
1775392981,10
1775393011,10
1775393041,10
1775393071,10
1775393101,10
1775393131,10
1775393161,10
1775393191,10
1775393221,10
1775393251,10
1775393281,10
1775393311,10
1775393341,10
1775393371,10
1775393401,10
1775393431,10
1775393461,10
1775393491,10
1775393521,10
1775393552,10
1775393582,10
1775393612,10
1775393642,10
1775393672,10
1775393702,10
1775393732,10
1775393762,10
1775393792,10
1775393822,10
1775393852,10
1775393882,10
1775393912,10
1775393942,10
1775393972,10
1775394002,10
1775394032,10
1775394062,10
1775394092,10
1775394122,10
1775394152,10
1775394182,10
1775394212,10
1775394242,10
1775394272,10
1775394302,10
1775394332,10
1775394362,10
1775394392,10
1775394422,10
1775394452,29
1775394482,44
1775394512,45
1775394542,45
1775394572,45
1775394602,46
1775394632,46
1775394662,46
1775394692,46
1775394722,46
1775394752,46
1775394782,46
1775394812,46
1775394842,46
