t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1775392230,0,0.0,0.0,0.0,0.0,events/second
1775392260,0,0.0,0.0,0.0,0.0,events/second
1775392290,0,0.0,0.0,0.0,0.0,events/second
1775392320,0,0.0,0.0,0.0,0.0,events/second
1775392350,0,0.0,0.0,0.0,0.0,events/second
1775392380,0,0.0,0.0,0.0,0.0,events/second
1775392410,0,0.0,0.0,0.0,0.0,events/second
1775392440,1,0.004472451464256772,0.0,0.0,0.0,events/second
1775392470,2,0.007884939866570575,0.0,0.0,0.0,events/second
1775392500,2,0.007049775338499739,0.0,0.0,0.0,events/second
1775392530,2,0.006373826660973097,0.0,0.0,0.0,events/second
1775392561,2,0.005816917732155607,0.0,0.0,0.0,events/second
1775392591,2,0.005349769136597656,0.0,0.0,0.0,events/second
1775392621,2,0.004951817923986251,0.0,0.0,0.0,events/second
1775392651,3,0.0069136364928459445,0.0,0.0,0.0,events/second
1775392681,4,0.008621745986287874,0.0,0.0,0.0,events/second
1775392711,6,0.012146613843971744,0.0,0.0,0.0,events/second
1775392741,7,0.013359130065404654,0.0,0.0,0.0,events/second
1775392771,7,0.012633771297670541,0.0,0.0,0.0,events/second
1775392801,7,0.011982703481069511,0.0,0.0,0.0,events/second
1775392831,8,0.013025175066835544,0.0,0.0,0.0,events/second
1775392861,8,0.012418333393658235,0.0,0.0,0.0,events/second
1775392891,8,0.011865507722303359,0.0,0.0,0.0,events/second
1775392921,8,0.011359770599815567,0.0,0.0,0.0,events/second
1775392951,8,0.010895391066155108,0.0,0.0,0.0,events/second
1775392981,8,0.01046721826354659,0.0,0.0,0.0,events/second
1775393011,8,0.01007147250044894,0.0,0.0,0.0,events/second
1775393041,8,0.009704633959282543,0.0,0.0,0.0,events/second
1775393071,8,0.009363458744495257,0.0,0.0,0.0,events/second
1775393101,8,0.009045557410556909,0.0,0.0,0.0,events/second
1775393131,8,0.008748295529121194,0.0,0.0,0.0,events/second
1775393161,8,0.008470315597459253,0.0,0.0,0.0,events/second
1775393191,8,0.008209371623426448,0.0,0.0,0.0,events/second
1775393221,8,0.007964041479066665,0.0,0.0,0.0,events/second
1775393251,8,0.007732867364587776,0.0,0.0,0.0,events/second
1775393281,8,0.007514670345867804,0.0,0.0,0.0,events/second
1775393311,8,0.00730854217572157,0.0,0.0,0.0,events/second
1775393341,8,0.007113451554281535,0.0,0.0,0.0,events/second
1775393371,8,0.00692843660381184,0.0,0.0,0.0,events/second
1775393401,8,0.0067528469519076584,0.0,0.0,0.0,events/second
1775393431,8,0.006585992877829093,0.0,0.0,0.0,events/second
1775393461,8,0.006427196338350534,0.0,0.0,0.0,events/second
1775393491,8,0.006275867653600452,0.0,0.0,0.0,events/second
1775393521,8,0.0061312723470703274,0.0,0.0,0.0,events/second
1775393552,8,0.0059933658107808275,0.0,0.0,0.0,events/second
1775393582,8,0.005861225764601757,0.0,0.0,0.0,events/second
1775393612,8,0.00573510309103054,0.0,0.0,0.0,events/second
1775393642,8,0.005614320745146786,0.0,0.0,0.0,events/second
1775393672,8,0.005498468787786594,0.0,0.0,0.0,events/second
1775393702,8,0.005387305082823065,0.0,0.0,0.0,events/second
1775393732,8,0.005280569700292527,0.0,0.0,0.0,events/second
1775393762,8,0.0051779764653215625,0.0,0.0,0.0,events/second
1775393792,8,0.005079088204239108,0.0,0.0,0.0,events/second
1775393822,8,0.004984110078911661,0.0,0.0,0.0,events/second
1775393852,8,0.004892632771278885,0.0,0.0,0.0,events/second
1775393882,8,0.004804445443539284,0.0,0.0,0.0,events/second
1775393912,8,0.0047193312385446235,0.0,0.0,0.0,events/second
1775393942,8,0.004637159118799528,0.0,0.0,0.0,events/second
1775393972,8,0.004557859494246071,0.0,0.0,0.0,events/second
1775394002,8,0.004481227710340459,0.0,0.0,0.0,events/second
1775394032,8,0.004407139650432103,0.0,0.0,0.0,events/second
1775394062,8,0.004335442243259652,0.0,0.0,0.0,events/second
1775394092,8,0.004266065090512614,0.0,0.0,0.0,events/second
1775394122,8,0.004198865631458816,0.0,0.0,0.0,events/second
1775394152,8,0.0041337318699848176,0.0,0.0,0.0,events/second
1775394182,8,0.00407056113528314,0.0,0.0,0.0,events/second
1775394212,8,0.004009336035850812,0.0,0.0,0.0,events/second
1775394242,8,0.003949927701866321,0.0,0.0,0.0,events/second
1775394272,8,0.0038922422835556106,0.0,0.0,0.0,events/second
1775394302,8,0.0038362045292724876,0.0,0.0,0.0,events/second
1775394332,8,0.0037817616796720823,0.0,0.0,0.0,events/second
1775394362,8,0.0037288523210105146,0.0,0.0,0.0,events/second
1775394392,8,0.0036774105835590586,0.0,0.0,0.0,events/second
1775394422,8,0.00362734612364423,0.0,0.0,0.0,events/second
1775394452,27,0.012077926408111408,0.0,0.0,0.0,events/second
1775394482,85,0.03751921415511581,0.0,0.0,0.0,events/second
1775394512,86,0.03746420747704378,0.0,0.0,0.0,events/second
1775394542,86,0.03698042743852941,0.0,0.0,0.0,events/second
1775394572,86,0.03650928201338783,0.0,0.0,0.0,events/second
1775394602,87,0.03646917171244999,0.0,0.0,0.0,events/second
1775394632,87,0.0360158204160815,0.0,0.0,0.0,events/second
1775394662,87,0.035573860617190436,0.0,0.0,0.0,events/second
1775394692,87,0.03514195439448579,0.0,0.0,0.0,events/second
1775394722,87,0.034720890301377344,0.0,0.0,0.0,events/second
1775394752,87,0.03430999506561499,0.0,0.0,0.0,events/second
1775394782,87,0.03390857150888831,0.0,0.0,0.0,events/second
1775394812,87,0.03351647958239306,0.0,0.0,0.0,events/second
1775394842,87,0.03313329865826485,0.0,0.0,0.0,events/second
