t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1775392230,0,0.0,0.0,0.0,0.0,events/second
1775392260,0,0.0,0.0,0.0,0.0,events/second
1775392290,0,0.0,0.0,0.0,0.0,events/second
1775392320,0,0.0,0.0,0.0,0.0,events/second
1775392350,0,0.0,0.0,0.0,0.0,events/second
1775392380,0,0.0,0.0,0.0,0.0,events/second
1775392410,0,0.0,0.0,0.0,0.0,events/second
1775392440,1,0.00447239489699134,0.0,0.0,0.0,events/second
1775392470,1,0.003942430569301333,0.0,0.0,0.0,events/second
1775392500,1,0.0035247212029857395,0.0,0.0,0.0,events/second
1775392530,1,0.003186884356524761,0.0,0.0,0.0,events/second
1775392561,1,0.0029084384788643273,0.0,0.0,0.0,events/second
1775392591,1,0.0026748661099379742,0.0,0.0,0.0,events/second
1775392621,1,0.0024758928098316405,0.0,0.0,0.0,events/second
1775392651,1,0.002304532254356494,0.0,0.0,0.0,events/second
1775392681,1,0.002155425208936671,0.0,0.0,0.0,events/second
1775392711,1,0.002024425744449549,0.0,0.0,0.0,events/second
1775392741,1,0.0019084361944293167,0.0,0.0,0.0,events/second
1775392771,1,0.0018048162856341382,0.0,0.0,0.0,events/second
1775392801,1,0.0017118077332995225,0.0,0.0,0.0,events/second
1775392831,1,0.0016281404412544348,0.0,0.0,0.0,events/second
1775392861,1,0.0015522858005655288,0.0,0.0,0.0,events/second
1775392891,1,0.0014831831863314066,0.0,0.0,0.0,events/second
1775392921,1,0.0014199659121903944,0.0,0.0,0.0,events/second
1775392951,1,0.0013619194233292354,0.0,0.0,0.0,events/second
1775392981,1,0.0013083979810824093,0.0,0.0,0.0,events/second
1775393011,1,0.001258930251005637,0.0,0.0,0.0,events/second
1775393041,1,0.0012130756632879557,0.0,0.0,0.0,events/second
1775393071,1,0.001170428925004783,0.0,0.0,0.0,events/second
1775393101,1,0.0011306634336663382,0.0,0.0,0.0,events/second
1775393131,1,0.0010935340638778992,0.0,0.0,0.0,events/second
1775393161,1,0.0010587867552814035,0.0,0.0,0.0,events/second
1775393191,1,0.0010261689176647157,0.0,0.0,0.0,events/second
1775393221,1,9.955028031452548E-4,0.0,0.0,0.0,events/second
1775393251,1,9.666061691192843E-4,0.0,0.0,0.0,events/second
1775393281,1,9.393316728678428E-4,0.0,0.0,0.0,events/second
1775393311,1,9.135657667450442E-4,0.0,0.0,0.0,events/second
1775393341,1,8.891795435028782E-4,0.0,0.0,0.0,events/second
1775393371,1,8.660527081547125E-4,0.0,0.0,0.0,events/second
1775393401,1,8.441041581728351E-4,0.0,0.0,0.0,events/second
1775393431,1,8.232474819380929E-4,0.0,0.0,0.0,events/second
1775393461,1,8.033979604905953E-4,0.0,0.0,0.0,events/second
1775393491,1,7.84481975954519E-4,0.0,0.0,0.0,events/second
1775393521,1,7.664075774552865E-4,0.0,0.0,0.0,events/second
1775393552,1,7.491692341933076E-4,0.0,0.0,0.0,events/second
1775393582,1,7.32651877069165E-4,0.0,0.0,0.0,events/second
1775393612,1,7.168866486361775E-4,0.0,0.0,0.0,events/second
1775393642,1,7.017888985639901E-4,0.0,0.0,0.0,events/second
1775393672,1,6.873074610470775E-4,0.0,0.0,0.0,events/second
1775393702,1,6.734120384645449E-4,0.0,0.0,0.0,events/second
1775393732,1,6.600700883608071E-4,0.0,0.0,0.0,events/second
1775393762,1,6.472460519417847E-4,0.0,0.0,0.0,events/second
1775393792,1,6.348850179517481E-4,0.0,0.0,0.0,events/second
1775393822,1,6.230128245495961E-4,0.0,0.0,0.0,events/second
1775393852,1,6.115781563268392E-4,0.0,0.0,0.0,events/second
1775393882,1,6.00554790641864E-4,0.0,0.0,0.0,events/second
1775393912,1,5.899155631431783E-4,0.0,0.0,0.0,events/second
1775393942,1,5.796439789873667E-4,0.0,0.0,0.0,events/second
1775393972,1,5.697316491844196E-4,0.0,0.0,0.0,events/second
1775394002,1,5.601526893731943E-4,0.0,0.0,0.0,events/second
1775394032,1,5.508917192370552E-4,0.0,0.0,0.0,events/second
1775394062,1,5.419295747044497E-4,0.0,0.0,0.0,events/second
1775394092,1,5.332574545801195E-4,0.0,0.0,0.0,events/second
1775394122,1,5.248575383828557E-4,0.0,0.0,0.0,events/second
1775394152,1,5.167158277132488E-4,0.0,0.0,0.0,events/second
1775394182,1,5.088195171904379E-4,0.0,0.0,0.0,events/second
1775394212,1,5.011663988649182E-4,0.0,0.0,0.0,events/second
1775394242,1,4.937403112804861E-4,0.0,0.0,0.0,events/second
1775394272,1,4.8652962426217735E-4,0.0,0.0,0.0,events/second
1775394302,1,4.7952500934845036E-4,0.0,0.0,0.0,events/second
1775394332,1,4.7271967308640646E-4,0.0,0.0,0.0,events/second
1775394362,1,4.661060019638154E-4,0.0,0.0,0.0,events/second
1775394392,1,4.5967581446753735E-4,0.0,0.0,0.0,events/second
1775394422,1,4.534167592397047E-4,0.0,0.0,0.0,events/second
1775394452,1,4.4733011963305554E-4,0.0,0.0,0.0,events/second
1775394482,1,4.4140203127146396E-4,0.0,0.0,0.0,events/second
1775394512,1,4.356298170750185E-4,0.0,0.0,0.0,events/second
1775394542,1,4.3000452557660936E-4,0.0,0.0,0.0,events/second
1775394572,1,4.2452609863038277E-4,0.0,0.0,0.0,events/second
1775394602,1,4.191854562896343E-4,0.0,0.0,0.0,events/second
1775394632,1,4.139745238434548E-4,0.0,0.0,0.0,events/second
1775394662,1,4.088945480875691E-4,0.0,0.0,0.0,events/second
1775394692,1,4.039301185676407E-4,0.0,0.0,0.0,events/second
1775394722,1,3.990903038714429E-4,0.0,0.0,0.0,events/second
1775394752,1,3.9436738553756223E-4,0.0,0.0,0.0,events/second
1775394782,1,3.897533265963725E-4,0.0,0.0,0.0,events/second
1775394812,1,3.852463893372742E-4,0.0,0.0,0.0,events/second
1775394842,1,3.808421544387316E-4,0.0,0.0,0.0,events/second
