t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1775392230,0,0.0,0.0,0.0,0.0,events/second
1775392260,0,0.0,0.0,0.0,0.0,events/second
1775392290,0,0.0,0.0,0.0,0.0,events/second
1775392320,0,0.0,0.0,0.0,0.0,events/second
1775392350,0,0.0,0.0,0.0,0.0,events/second
1775392380,0,0.0,0.0,0.0,0.0,events/second
1775392410,0,0.0,0.0,0.0,0.0,events/second
1775392440,3,0.013416962128894499,0.0,0.0,0.0,events/second
1775392470,4,0.015769497395343838,0.0,0.0,0.0,events/second
1775392500,4,0.014098632104328738,0.0,0.0,0.0,events/second
1775392530,4,0.01274738839123205,0.0,0.0,0.0,events/second
1775392561,4,0.011633632079857261,0.0,0.0,0.0,events/second
1775392591,4,0.010699360345428848,0.0,0.0,0.0,events/second
1775392621,4,0.009903482008740498,0.0,0.0,0.0,events/second
1775392651,5,0.01152256505557383,0.0,0.0,0.0,events/second
1775392681,6,0.012932450678084352,0.0,0.0,0.0,events/second
1775392711,7,0.014170876914668352,0.0,0.0,0.0,events/second
1775392741,8,0.015267384546301872,0.0,0.0,0.0,events/second
1775392771,8,0.014436295559616813,0.0,0.0,0.0,events/second
1775392801,8,0.01369437748172023,0.0,0.0,0.0,events/second
1775392831,9,0.014653177917534276,0.0,0.0,0.0,events/second
1775392861,9,0.013970493959113707,0.0,0.0,0.0,events/second
1775392891,9,0.013348577466149118,0.0,0.0,0.0,events/second
1775392921,9,0.01277962766769488,0.0,0.0,0.0,events/second
1775392951,9,0.01225721474399132,0.0,0.0,0.0,events/second
1775392981,9,0.011775526262585753,0.0,0.0,0.0,events/second
1775393011,9,0.011330320914054856,0.0,0.0,0.0,events/second
1775393041,9,0.010917633173626382,0.0,0.0,0.0,events/second
1775393071,9,0.010533815572939618,0.0,0.0,0.0,events/second
1775393101,9,0.010175929394419726,0.0,0.0,0.0,events/second
1775393131,9,0.009841767846734356,0.0,0.0,0.0,events/second
1775393161,9,0.009529044477327654,0.0,0.0,0.0,events/second
1775393191,9,0.00923548614970412,0.0,0.0,0.0,events/second
1775393221,9,0.008959493098671353,0.0,0.0,0.0,events/second
1775393251,9,0.008699425131403015,0.0,0.0,0.0,events/second
1775393281,9,0.008453956465579615,0.0,0.0,0.0,events/second
1775393311,9,0.008222064845404635,0.0,0.0,0.0,events/second
1775393341,9,0.008002590260632029,0.0,0.0,0.0,events/second
1775393371,9,0.007794449958529434,0.0,0.0,0.0,events/second
1775393401,9,0.007596914321569705,0.0,0.0,0.0,events/second
1775393431,9,0.007409205362989082,0.0,0.0,0.0,events/second
1775393461,9,0.007230560652949063,0.0,0.0,0.0,events/second
1775393491,9,0.007060317822698297,0.0,0.0,0.0,events/second
1775393521,9,0.006897648969894177,0.0,0.0,0.0,events/second
1775393552,9,0.006742504534194393,0.0,0.0,0.0,events/second
1775393582,9,0.006593848925216736,0.0,0.0,0.0,events/second
1775393612,9,0.006451963172675097,0.0,0.0,0.0,events/second
1775393642,9,0.006316084062936649,0.0,0.0,0.0,events/second
1775393672,9,0.006185746268559632,0.0,0.0,0.0,events/second
1775393702,9,0.006060693627221722,0.0,0.0,0.0,events/second
1775393732,9,0.005940616365538124,0.0,0.0,0.0,events/second
1775393762,9,0.005825200894635286,0.0,0.0,0.0,events/second
1775393792,9,0.005713951957816975,0.0,0.0,0.0,events/second
1775393822,9,0.005607102819576223,0.0,0.0,0.0,events/second
1775393852,9,0.0055041912672588915,0.0,0.0,0.0,events/second
1775393882,9,0.005404981164051422,0.0,0.0,0.0,events/second
1775393912,9,0.005309228329252823,0.0,0.0,0.0,events/second
1775393942,9,0.005216784790665705,0.0,0.0,0.0,events/second
1775393972,9,0.0051275742986624006,0.0,0.0,0.0,events/second
1775394002,9,0.00504136370412705,0.0,0.0,0.0,events/second
1775394032,9,0.004958015642531419,0.0,0.0,0.0,events/second
1775394062,9,0.00487735665819989,0.0,0.0,0.0,events/second
1775394092,9,0.004799307843310912,0.0,0.0,0.0,events/second
1775394122,9,0.00472370890642247,0.0,0.0,0.0,events/second
1775394152,9,0.004650433777162806,0.0,0.0,0.0,events/second
1775394182,9,0.004579367265291718,0.0,0.0,0.0,events/second
1775394212,9,0.004510489398615705,0.0,0.0,0.0,events/second
1775394242,9,0.004443654726903969,0.0,0.0,0.0,events/second
1775394272,9,0.004378758928908503,0.0,0.0,0.0,events/second
1775394302,9,0.004315717562351327,0.0,0.0,0.0,events/second
1775394332,9,0.004254469823392353,0.0,0.0,0.0,events/second
1775394362,9,0.004194946931899114,0.0,0.0,0.0,events/second
1775394392,9,0.004137075490885241,0.0,0.0,0.0,events/second
1775394422,9,0.00408074416401606,0.0,0.0,0.0,events/second
1775394452,28,0.012525222881737042,0.0,0.0,0.0,events/second
1775394482,86,0.037960514363265814,0.0,0.0,0.0,events/second
1775394512,87,0.03789973460898596,0.0,0.0,0.0,events/second
1775394542,87,0.03741033585357215,0.0,0.0,0.0,events/second
1775394572,87,0.03693371416976571,0.0,0.0,0.0,events/second
1775394602,88,0.03688826443557359,0.0,0.0,0.0,events/second
1775394632,88,0.036429703714740816,0.0,0.0,0.0,events/second
1775394662,88,0.035982667271843335,0.0,0.0,0.0,events/second
1775394692,88,0.03554579881113184,0.0,0.0,0.0,events/second
1775394722,88,0.03511989630827947,0.0,0.0,0.0,events/second
1775394752,88,0.03470428069791298,0.0,0.0,0.0,events/second
1775394782,88,0.03429824453198564,0.0,0.0,0.0,events/second
1775394812,88,0.033901634910901035,0.0,0.0,0.0,events/second
1775394842,88,0.03351406334054306,0.0,0.0,0.0,events/second
