t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1775392230,0,0.0,0.0,0.0,0.0,events/second
1775392260,0,0.0,0.0,0.0,0.0,events/second
1775392290,0,0.0,0.0,0.0,0.0,events/second
1775392320,0,0.0,0.0,0.0,0.0,events/second
1775392350,0,0.0,0.0,0.0,0.0,events/second
1775392380,0,0.0,0.0,0.0,0.0,events/second
1775392410,0,0.0,0.0,0.0,0.0,events/second
1775392440,0,0.0,0.0,0.0,0.0,events/second
1775392470,1,0.003942330081709995,0.0,0.0,0.0,events/second
1775392500,1,0.0035246126309998373,0.0,0.0,0.0,events/second
1775392530,2,0.00637362740237186,0.0,0.0,0.0,events/second
1775392561,2,0.005816768356162402,0.0,0.0,0.0,events/second
1775392591,2,0.005349639412303218,0.0,0.0,0.0,events/second
1775392621,2,0.004951703963903643,0.0,0.0,0.0,events/second
1775392651,2,0.004608995953850254,0.0,0.0,0.0,events/second
1775392681,2,0.004310790574480204,0.0,0.0,0.0,events/second
1775392711,5,0.010121997160344147,0.0,0.0,0.0,events/second
1775392741,5,0.009542063968375456,0.0,0.0,0.0,events/second
1775392771,5,0.009022637330411198,0.0,0.0,0.0,events/second
1775392801,5,0.008558944662499166,0.0,0.0,0.0,events/second
1775392831,7,0.01139686361237497,0.0,0.0,0.0,events/second
1775392861,7,0.010865891984046343,0.0,0.0,0.0,events/second
1775392891,7,0.010382183629577144,0.0,0.0,0.0,events/second
1775392921,7,0.009939670398064563,0.0,0.0,0.0,events/second
1775392951,7,0.009533352696507838,0.0,0.0,0.0,events/second
1775392981,7,0.009158708748263033,0.0,0.0,0.0,events/second
1775393011,7,0.008812440575234701,0.0,0.0,0.0,events/second
1775393041,7,0.008491463327575789,0.0,0.0,0.0,events/second
1775393071,7,0.008192940106524936,0.0,0.0,0.0,events/second
1775393101,7,0.007914586514099889,0.0,0.0,0.0,events/second
1775393131,7,0.007654684771971497,0.0,0.0,0.0,events/second
1775393161,7,0.007411456146298099,0.0,0.0,0.0,events/second
1775393191,7,0.007183135125451493,0.0,0.0,0.0,events/second
1775393221,7,0.006968475123060871,0.0,0.0,0.0,events/second
1775393251,7,0.0067662009880936356,0.0,0.0,0.0,events/second
1775393281,7,0.00657528210224464,0.0,0.0,0.0,events/second
1775393311,7,0.006394922891950578,0.0,0.0,0.0,events/second
1775393341,7,0.006224221302682086,0.0,0.0,0.0,events/second
1775393371,7,0.006062335110487789,0.0,0.0,0.0,events/second
1775393401,7,0.005908697113535638,0.0,0.0,0.0,events/second
1775393431,7,0.00576270193001097,0.0,0.0,0.0,events/second
1775393461,7,0.005623756319997738,0.0,0.0,0.0,events/second
1775393491,7,0.005491346179945587,0.0,0.0,0.0,events/second
1775393521,7,0.005364826275798923,0.0,0.0,0.0,events/second
1775393552,7,0.00524415909689563,0.0,0.0,0.0,events/second
1775393582,7,0.005128538336667345,0.0,0.0,0.0,events/second
1775393612,7,0.0050181834490210546,0.0,0.0,0.0,events/second
1775393642,7,0.004912500074702459,0.0,0.0,0.0,events/second
1775393672,7,0.004811126629985028,0.0,0.0,0.0,events/second
1775393702,7,0.004713863861209908,0.0,0.0,0.0,events/second
1775393732,7,0.004620470605512049,0.0,0.0,0.0,events/second
1775393762,7,0.004530703557011823,0.0,0.0,0.0,events/second
1775393792,7,0.004444175704716325,0.0,0.0,0.0,events/second
1775393822,7,0.004361072310749405,0.0,0.0,0.0,events/second
1775393852,7,0.0042810302787354305,0.0,0.0,0.0,events/second
1775393882,7,0.004203867019226401,0.0,0.0,0.0,events/second
1775393912,7,0.004129392917795717,0.0,0.0,0.0,events/second
1775393942,7,0.004057492535214777,0.0,0.0,0.0,events/second
1775393972,7,0.003988106921183247,0.0,0.0,0.0,events/second
1775394002,7,0.003921054381937623,0.0,0.0,0.0,events/second
1775394032,7,0.0038562284149349776,0.0,0.0,0.0,events/second
1775394062,7,0.0037934938404831056,0.0,0.0,0.0,events/second
1775394092,7,0.003732789394647141,0.0,0.0,0.0,events/second
1775394122,7,0.0036739902934040357,0.0,0.0,0.0,events/second
1775394152,7,0.003616998731347926,0.0,0.0,0.0,events/second
1775394182,7,0.003561724992956666,0.0,0.0,0.0,events/second
1775394212,7,0.003508153468920932,0.0,0.0,0.0,events/second
1775394242,7,0.003456171067749144,0.0,0.0,0.0,events/second
1775394272,7,0.0034056965441726776,0.0,0.0,0.0,events/second
1775394302,7,0.0033566646725437937,0.0,0.0,0.0,events/second
1775394332,7,0.00330902768465409,0.0,0.0,0.0,events/second
1775394362,7,0.003262732017210264,0.0,0.0,0.0,events/second
1775394392,7,0.003217721220926043,0.0,0.0,0.0,events/second
1775394422,7,0.003173908009581303,0.0,0.0,0.0,events/second
1775394452,60,0.026839729382484395,0.0,0.0,0.0,events/second
1775394482,1214,0.5358605490261262,0.0,0.0,0.0,events/second
1775394512,1214,0.5288531188625891,0.0,0.0,0.0,events/second
1775394542,1214,0.5220240552921932,0.0,0.0,0.0,events/second
1775394572,1215,0.5157978058464401,0.0,0.0,0.0,events/second
1775394602,1215,0.5093089567904467,0.0,0.0,0.0,events/second
1775394632,1215,0.5029777067825963,0.0,0.0,0.0,events/second
1775394662,1215,0.49680557344666687,0.0,0.0,0.0,events/second
1775394692,1215,0.49077381306345436,0.0,0.0,0.0,events/second
1775394722,1215,0.48489347835802804,0.0,0.0,0.0,events/second
1775394752,1215,0.4791551619285761,0.0,0.0,0.0,events/second
1775394782,1216,0.4739388563435384,0.0,0.0,0.0,events/second
1775394812,1216,0.46845844405472253,0.0,0.0,0.0,events/second
1775394842,1216,0.46310291435066525,0.0,0.0,0.0,events/second
