t,value
1775392230,0
1775392260,0
1775392290,0
1775392320,0
1775392350,0
1775392380,0
1775392410,0
1775392440,3
1775392470,4
1775392500,4
1775392530,4
1775392561,4
1775392591,4
1775392621,4
1775392651,5
1775392681,6
1775392711,7
1775392741,8
1775392771,8
1775392801,8
1775392831,9
1775392861,9
1775392891,9
1775392921,9
1775392951,9
1775392981,9
1775393011,9
1775393041,9
1775393071,9
1775393101,9
1775393131,9
1775393161,9
1775393191,9
1775393221,9
1775393251,9
1775393281,9
1775393311,9
1775393341,9
1775393371,9
1775393401,9
1775393431,9
1775393461,9
1775393491,9
1775393521,9
1775393552,9
1775393582,9
1775393612,9
1775393642,9
1775393672,9
1775393702,9
1775393732,9
1775393762,9
1775393792,9
1775393822,9
1775393852,9
1775393882,9
1775393912,9
1775393942,9
1775393972,9
1775394002,9
1775394032,9
1775394062,9
1775394092,9
1775394122,9
1775394152,9
1775394182,9
1775394212,9
1775394242,9
1775394272,9
1775394302,9
1775394332,9
1775394362,9
1775394392,9
1775394422,9
1775394452,15
1775394482,64
1775394512,65
1775394542,65
1775394572,65
1775394602,66
1775394632,66
1775394662,66
1775394692,66
1775394722,66
1775394752,66
1775394782,66
1775394812,66
1775394842,66
