t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1775392230,0,0.0,0.0,0.0,0.0,events/second
1775392260,0,0.0,0.0,0.0,0.0,events/second
1775392290,0,0.0,0.0,0.0,0.0,events/second
1775392320,0,0.0,0.0,0.0,0.0,events/second
1775392350,0,0.0,0.0,0.0,0.0,events/second
1775392380,0,0.0,0.0,0.0,0.0,events/second
1775392410,0,0.0,0.0,0.0,0.0,events/second
1775392440,1,0.004472410028794677,0.0,0.0,0.0,events/second
1775392470,1,0.003942453753016681,0.0,0.0,0.0,events/second
1775392500,1,0.0035246682516594592,0.0,0.0,0.0,events/second
1775392530,1,0.0031868826248881627,0.0,0.0,0.0,events/second
1775392561,1,0.002908455151677258,0.0,0.0,0.0,events/second
1775392591,1,0.002674878525908683,0.0,0.0,0.0,events/second
1775392621,1,0.0024759013152985824,0.0,0.0,0.0,events/second
1775392651,1,0.0023045412186069986,0.0,0.0,0.0,events/second
1775392681,1,0.0021554340518987465,0.0,0.0,0.0,events/second
1775392711,1,0.0020244335201832367,0.0,0.0,0.0,events/second
1775392741,1,0.0019084433774625908,0.0,0.0,0.0,events/second
1775392771,1,0.001804554511196881,0.0,0.0,0.0,events/second
1775392801,1,0.0017118133928720656,0.0,0.0,0.0,events/second
1775392831,1,0.0016281454150431538,0.0,0.0,0.0,events/second
1775392861,1,0.0015522899376036973,0.0,0.0,0.0,events/second
1775392891,1,0.0014831873693244443,0.0,0.0,0.0,events/second
1775392921,1,0.0014199697020439888,0.0,0.0,0.0,events/second
1775392951,1,0.0013619231404077099,0.0,0.0,0.0,events/second
1775392981,1,0.0013084012571637407,0.0,0.0,0.0,events/second
1775393011,1,0.0012589334173375624,0.0,0.0,0.0,events/second
1775393041,1,0.0012130784537995034,0.0,0.0,0.0,events/second
1775393071,1,0.0011704311971317501,0.0,0.0,0.0,events/second
1775393101,1,0.0011306659238667935,0.0,0.0,0.0,events/second
1775393131,1,0.0010935363439464483,0.0,0.0,0.0,events/second
1775393161,1,0.0010587888642782017,0.0,0.0,0.0,events/second
1775393191,1,0.0010261710163431445,0.0,0.0,0.0,events/second
1775393221,1,9.955047981833535E-4,0.0,0.0,0.0,events/second
1775393251,1,9.666079873239926E-4,0.0,0.0,0.0,events/second
1775393281,1,9.393334497355344E-4,0.0,0.0,0.0,events/second
1775393311,1,9.135674405432446E-4,0.0,0.0,0.0,events/second
1775393341,1,8.8918108802131E-4,0.0,0.0,0.0,events/second
1775393371,1,8.660541330969048E-4,0.0,0.0,0.0,events/second
1775393401,1,8.441055923903343E-4,0.0,0.0,0.0,events/second
1775393431,1,8.232488424284237E-4,0.0,0.0,0.0,events/second
1775393461,1,8.033991076474666E-4,0.0,0.0,0.0,events/second
1775393491,1,7.84483157670365E-4,0.0,0.0,0.0,events/second
1775393521,1,7.664084967657269E-4,0.0,0.0,0.0,events/second
1775393552,1,7.491701296759988E-4,0.0,0.0,0.0,events/second
1775393582,1,7.326526939400125E-4,0.0,0.0,0.0,events/second
1775393612,1,7.16887639333597E-4,0.0,0.0,0.0,events/second
1775393642,1,7.017898460022511E-4,0.0,0.0,0.0,events/second
1775393672,1,6.873077790612134E-4,0.0,0.0,0.0,events/second
1775393702,1,6.734129360008258E-4,0.0,0.0,0.0,events/second
1775393732,1,6.600707578466148E-4,0.0,0.0,0.0,events/second
1775393762,1,6.472468423750659E-4,0.0,0.0,0.0,events/second
1775393792,1,6.348853237276142E-4,0.0,0.0,0.0,events/second
1775393822,1,6.230134523359188E-4,0.0,0.0,0.0,events/second
1775393852,1,6.115788741245119E-4,0.0,0.0,0.0,events/second
1775393882,1,6.005554002763183E-4,0.0,0.0,0.0,events/second
1775393912,1,5.899161858905007E-4,0.0,0.0,0.0,events/second
1775393942,1,5.796444975503861E-4,0.0,0.0,0.0,events/second
1775393972,1,5.697322760737953E-4,0.0,0.0,0.0,events/second
1775394002,1,5.601532103591061E-4,0.0,0.0,0.0,events/second
1775394032,1,5.508923341219861E-4,0.0,0.0,0.0,events/second
1775394062,1,5.419301644886584E-4,0.0,0.0,0.0,events/second
1775394092,1,5.332580265779392E-4,0.0,0.0,0.0,events/second
1775394122,1,5.24858063246728E-4,0.0,0.0,0.0,events/second
1775394152,1,5.167159283704764E-4,0.0,0.0,0.0,events/second
1775394182,1,5.088200355551423E-4,0.0,0.0,0.0,events/second
1775394212,1,5.011668926863366E-4,0.0,0.0,0.0,events/second
1775394242,1,4.937407645644952E-4,0.0,0.0,0.0,events/second
1775394272,1,4.865298348877833E-4,0.0,0.0,0.0,events/second
1775394302,1,4.7952538234128343E-4,0.0,0.0,0.0,events/second
1775394332,1,4.727201237911545E-4,0.0,0.0,0.0,events/second
1775394362,1,4.6610635428619905E-4,0.0,0.0,0.0,events/second
1775394392,1,4.5967624163576316E-4,0.0,0.0,0.0,events/second
1775394422,1,4.534171447152028E-4,0.0,0.0,0.0,events/second
1775394452,1,4.4733049847071584E-4,0.0,0.0,0.0,events/second
1775394482,1,4.4140242386585585E-4,0.0,0.0,0.0,events/second
1775394512,1,4.35630195521337E-4,0.0,0.0,0.0,events/second
1775394542,1,4.3000489850959263E-4,0.0,0.0,0.0,events/second
1775394572,1,4.2452646071553234E-4,0.0,0.0,0.0,events/second
1775394602,1,4.191857988315555E-4,0.0,0.0,0.0,events/second
1775394632,1,4.139748420869006E-4,0.0,0.0,0.0,events/second
1775394662,1,4.088948851190269E-4,0.0,0.0,0.0,events/second
1775394692,1,4.039304386379653E-4,0.0,0.0,0.0,events/second
1775394722,1,3.9909062606519757E-4,0.0,0.0,0.0,events/second
1775394752,1,3.9436769917080677E-4,0.0,0.0,0.0,events/second
1775394782,1,3.897536058028435E-4,0.0,0.0,0.0,events/second
1775394812,1,3.8524664128637036E-4,0.0,0.0,0.0,events/second
1775394842,1,3.8084236129595675E-4,0.0,0.0,0.0,events/second
