t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1775392230,0,0.0,0.0,0.0,0.0,events/second
1775392260,0,0.0,0.0,0.0,0.0,events/second
1775392290,0,0.0,0.0,0.0,0.0,events/second
1775392320,0,0.0,0.0,0.0,0.0,events/second
1775392350,0,0.0,0.0,0.0,0.0,events/second
1775392380,0,0.0,0.0,0.0,0.0,events/second
1775392410,0,0.0,0.0,0.0,0.0,events/second
1775392440,3,0.013417190319628135,0.0,0.0,0.0,events/second
1775392470,4,0.015769777963998182,0.0,0.0,0.0,events/second
1775392500,4,0.014098617708322821,0.0,0.0,0.0,events/second
1775392530,4,0.012747494331321526,0.0,0.0,0.0,events/second
1775392561,4,0.011633801610959558,0.0,0.0,0.0,events/second
1775392591,4,0.010699497564219793,0.0,0.0,0.0,events/second
1775392621,4,0.009903590612759328,0.0,0.0,0.0,events/second
1775392651,5,0.011522677329217001,0.0,0.0,0.0,events/second
1775392681,6,0.012932588492136111,0.0,0.0,0.0,events/second
1775392711,7,0.01417101854141714,0.0,0.0,0.0,events/second
1775392741,8,0.015267530717427319,0.0,0.0,0.0,events/second
1775392771,8,0.01443641971893415,0.0,0.0,0.0,events/second
1775392801,8,0.0136944937901753,0.0,0.0,0.0,events/second
1775392831,9,0.014653295172288576,0.0,0.0,0.0,events/second
1775392861,9,0.013970597287533498,0.0,0.0,0.0,events/second
1775392891,9,0.013348675234731697,0.0,0.0,0.0,events/second
1775392921,9,0.012779717029154073,0.0,0.0,0.0,events/second
1775392951,9,0.012257298932003417,0.0,0.0,0.0,events/second
1775392981,9,0.011775602570880169,0.0,0.0,0.0,events/second
1775393011,9,0.011330392758095473,0.0,0.0,0.0,events/second
1775393041,9,0.010917698663568315,0.0,0.0,0.0,events/second
1775393071,9,0.01053387350367174,0.0,0.0,0.0,events/second
1775393101,9,0.010175986891201425,0.0,0.0,0.0,events/second
1775393131,9,0.009841821070732656,0.0,0.0,0.0,events/second
1775393161,9,0.009529094127487585,0.0,0.0,0.0,events/second
1775393191,9,0.009235533838887776,0.0,0.0,0.0,events/second
1775393221,9,0.008959538193322387,0.0,0.0,0.0,events/second
1775393251,9,0.0086994672147306,0.0,0.0,0.0,events/second
1775393281,9,0.008453996616473843,0.0,0.0,0.0,events/second
1775393311,9,0.008222102765240089,0.0,0.0,0.0,events/second
1775393341,9,0.008002625800948817,0.0,0.0,0.0,events/second
1775393371,9,0.0077944833541690305,0.0,0.0,0.0,events/second
1775393401,9,0.007596946741084143,0.0,0.0,0.0,events/second
1775393431,9,0.007409236115427529,0.0,0.0,0.0,events/second
1775393461,9,0.007230588641985145,0.0,0.0,0.0,events/second
1775393491,9,0.007060345266946624,0.0,0.0,0.0,events/second
1775393521,9,0.006897673318061445,0.0,0.0,0.0,events/second
1775393552,9,0.0067425282085371505,0.0,0.0,0.0,events/second
1775393582,9,0.00659387135023126,0.0,0.0,0.0,events/second
1775393612,9,0.006451986159644048,0.0,0.0,0.0,events/second
1775393642,9,0.006316106099861379,0.0,0.0,0.0,events/second
1775393672,9,0.006185767617091363,0.0,0.0,0.0,events/second
1775393702,9,0.006060714137219574,0.0,0.0,0.0,events/second
1775393732,9,0.005940634512970308,0.0,0.0,0.0,events/second
1775393762,9,0.00582521946959981,0.0,0.0,0.0,events/second
1775393792,9,0.005713965741636761,0.0,0.0,0.0,events/second
1775393822,9,0.005607119087870829,0.0,0.0,0.0,events/second
1775393852,9,0.005504207981006631,0.0,0.0,0.0,events/second
1775393882,9,0.005404996706173688,0.0,0.0,0.0,events/second
1775393912,9,0.005309243815733252,0.0,0.0,0.0,events/second
1775393942,9,0.005216798699302165,0.0,0.0,0.0,events/second
1775393972,9,0.005127588838773956,0.0,0.0,0.0,events/second
1775394002,9,0.005041377164696075,0.0,0.0,0.0,events/second
1775394032,9,0.004958029486014386,0.0,0.0,0.0,events/second
1775394062,9,0.004877370009989141,0.0,0.0,0.0,events/second
1775394092,9,0.004799320812148962,0.0,0.0,0.0,events/second
1775394122,9,0.004723721175863423,0.0,0.0,0.0,events/second
1775394152,9,0.004650441868384257,0.0,0.0,0.0,events/second
1775394182,9,0.004579379019112731,0.0,0.0,0.0,events/second
1775394212,9,0.0045105007700977934,0.0,0.0,0.0,events/second
1775394242,9,0.004443665501262032,0.0,0.0,0.0,events/second
1775394272,9,0.004378767293057278,0.0,0.0,0.0,events/second
1775394302,9,0.0043157272674576655,0.0,0.0,0.0,events/second
1775394332,9,0.004254479992486248,0.0,0.0,0.0,events/second
1775394362,9,0.004194956045314414,0.0,0.0,0.0,events/second
1775394392,9,0.004137085118316554,0.0,0.0,0.0,events/second
1775394422,9,0.0040807532635026445,0.0,0.0,0.0,events/second
1775394452,28,0.012525250794888223,0.0,0.0,0.0,events/second
1775394482,69,0.030456759168432344,0.0,0.0,0.0,events/second
1775394512,70,0.030494106239397155,0.0,0.0,0.0,events/second
1775394542,70,0.030100335687552285,0.0,0.0,0.0,events/second
1775394572,70,0.029716845215635883,0.0,0.0,0.0,events/second
1775394602,71,0.029762184690621918,0.0,0.0,0.0,events/second
1775394632,71,0.029392206913456613,0.0,0.0,0.0,events/second
1775394662,71,0.02903153022308109,0.0,0.0,0.0,events/second
1775394692,71,0.02867905467807363,0.0,0.0,0.0,events/second
1775394722,71,0.028335428162025694,0.0,0.0,0.0,events/second
1775394752,71,0.028000100499380436,0.0,0.0,0.0,events/second
1775394782,71,0.027672499880469804,0.0,0.0,0.0,events/second
1775394812,71,0.02735250526681186,0.0,0.0,0.0,events/second
1775394842,71,0.02703980159581683,0.0,0.0,0.0,events/second
