t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1775392230,0,0.0,0.0,0.0,0.0,events/second
1775392260,0,0.0,0.0,0.0,0.0,events/second
1775392290,0,0.0,0.0,0.0,0.0,events/second
1775392320,0,0.0,0.0,0.0,0.0,events/second
1775392350,0,0.0,0.0,0.0,0.0,events/second
1775392380,0,0.0,0.0,0.0,0.0,events/second
1775392410,0,0.0,0.0,0.0,0.0,events/second
1775392440,3,0.01341705867756602,0.0,0.0,0.0,events/second
1775392470,4,0.01576967869543012,0.0,0.0,0.0,events/second
1775392500,4,0.014098381810821854,0.0,0.0,0.0,events/second
1775392530,4,0.012747385429744762,0.0,0.0,0.0,events/second
1775392561,4,0.011633752193202234,0.0,0.0,0.0,events/second
1775392591,4,0.010699455061105785,0.0,0.0,0.0,events/second
1775392621,4,0.009903552604024202,0.0,0.0,0.0,events/second
1775392651,5,0.011522638071298344,0.0,0.0,0.0,events/second
1775392681,6,0.012932545809606108,0.0,0.0,0.0,events/second
1775392711,7,0.01417097694357333,0.0,0.0,0.0,events/second
1775392741,8,0.015267488579344105,0.0,0.0,0.0,events/second
1775392771,8,0.014436381238695777,0.0,0.0,0.0,events/second
1775392801,8,0.013694459329941334,0.0,0.0,0.0,events/second
1775392831,9,0.01465325815481625,0.0,0.0,0.0,events/second
1775392861,9,0.013970565929071322,0.0,0.0,0.0,events/second
1775392891,9,0.01334864655656458,0.0,0.0,0.0,events/second
1775392921,9,0.012779690253612126,0.0,0.0,0.0,events/second
1775392951,9,0.012257273973622803,0.0,0.0,0.0,events/second
1775392981,9,0.011775579945447846,0.0,0.0,0.0,events/second
1775393011,9,0.011330372139231886,0.0,0.0,0.0,events/second
1775393041,9,0.01091767946772526,0.0,0.0,0.0,events/second
1775393071,9,0.010533853614299241,0.0,0.0,0.0,events/second
1775393101,9,0.01017597027364086,0.0,0.0,0.0,events/second
1775393131,9,0.009841805526648244,0.0,0.0,0.0,events/second
1775393161,9,0.00952907951518728,0.0,0.0,0.0,events/second
1775393191,9,0.009235520135778795,0.0,0.0,0.0,events/second
1775393221,9,0.008959524845672237,0.0,0.0,0.0,events/second
1775393251,9,0.008699455075558478,0.0,0.0,0.0,events/second
1775393281,9,0.008453985169368258,0.0,0.0,0.0,events/second
1775393311,9,0.00822209192849766,0.0,0.0,0.0,events/second
1775393341,9,0.008002615517948399,0.0,0.0,0.0,events/second
1775393371,9,0.007794473441158744,0.0,0.0,0.0,events/second
1775393401,9,0.007596937394698788,0.0,0.0,0.0,events/second
1775393431,9,0.00740922730755466,0.0,0.0,0.0,events/second
1775393461,9,0.00723058014278024,0.0,0.0,0.0,events/second
1775393491,9,0.007060337247443803,0.0,0.0,0.0,events/second
1775393521,9,0.006897665215555069,0.0,0.0,0.0,events/second
1775393552,9,0.006742520742726211,0.0,0.0,0.0,events/second
1775393582,9,0.0065938639404280325,0.0,0.0,0.0,events/second
1775393612,9,0.00645197908148289,0.0,0.0,0.0,events/second
1775393642,9,0.00631609963805671,0.0,0.0,0.0,events/second
1775393672,9,0.006185761485548725,0.0,0.0,0.0,events/second
1775393702,9,0.006060708239657568,0.0,0.0,0.0,events/second
1775393732,9,0.0059406282323306815,0.0,0.0,0.0,events/second
1775393762,9,0.005825214038410598,0.0,0.0,0.0,events/second
1775393792,9,0.005713960208293599,0.0,0.0,0.0,events/second
1775393822,9,0.005607113789922821,0.0,0.0,0.0,events/second
1775393852,9,0.005504203117107394,0.0,0.0,0.0,events/second
1775393882,9,0.005404991817054686,0.0,0.0,0.0,events/second
1775393912,9,0.005309239237368247,0.0,0.0,0.0,events/second
1775393942,9,0.005216794097251641,0.0,0.0,0.0,events/second
1775393972,9,0.0051275845724351584,0.0,0.0,0.0,events/second
1775394002,9,0.005041372767821227,0.0,0.0,0.0,events/second
1775394032,9,0.0049580255517959505,0.0,0.0,0.0,events/second
1775394062,9,0.004877366201679447,0.0,0.0,0.0,events/second
1775394092,9,0.004799317135240547,0.0,0.0,0.0,events/second
1775394122,9,0.004723717569997829,0.0,0.0,0.0,events/second
1775394152,9,0.004650438390347447,0.0,0.0,0.0,events/second
1775394182,9,0.004579375660306123,0.0,0.0,0.0,events/second
1775394212,9,0.0045104971869614485,0.0,0.0,0.0,events/second
1775394242,9,0.004443662299314294,0.0,0.0,0.0,events/second
1775394272,9,0.004378762368429404,0.0,0.0,0.0,events/second
1775394302,9,0.004315724236676743,0.0,0.0,0.0,events/second
1775394332,9,0.0042544770984033935,0.0,0.0,0.0,events/second
1775394362,9,0.004194953086368372,0.0,0.0,0.0,events/second
1775394392,9,0.004137082380413158,0.0,0.0,0.0,events/second
1775394422,9,0.004080750583369447,0.0,0.0,0.0,events/second
1775394452,28,0.012525242642637267,0.0,0.0,0.0,events/second
1775394482,43,0.018980286891426546,0.0,0.0,0.0,events/second
1775394512,44,0.019167711873645566,0.0,0.0,0.0,events/second
1775394542,44,0.018920191698228155,0.0,0.0,0.0,events/second
1775394572,44,0.01867914766491208,0.0,0.0,0.0,events/second
1775394602,45,0.018863344947897796,0.0,0.0,0.0,events/second
1775394632,45,0.01862885195346274,0.0,0.0,0.0,events/second
1775394662,45,0.018400254812158758,0.0,0.0,0.0,events/second
1775394692,45,0.018176855077099124,0.0,0.0,0.0,events/second
1775394722,45,0.017959063878482645,0.0,0.0,0.0,events/second
1775394752,45,0.017746532497561758,0.0,0.0,0.0,events/second
1775394782,45,0.01753889832625005,0.0,0.0,0.0,events/second
1775394812,45,0.017336085222048974,0.0,0.0,0.0,events/second
1775394842,45,0.017137890195125495,0.0,0.0,0.0,events/second
