t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1775392230,0,0.0,0.0,0.0,0.0,events/second
1775392260,0,0.0,0.0,0.0,0.0,events/second
1775392290,0,0.0,0.0,0.0,0.0,events/second
1775392320,0,0.0,0.0,0.0,0.0,events/second
1775392350,0,0.0,0.0,0.0,0.0,events/second
1775392380,0,0.0,0.0,0.0,0.0,events/second
1775392410,0,0.0,0.0,0.0,0.0,events/second
1775392440,3,0.013416309396720179,0.0,0.0,0.0,events/second
1775392470,5,0.019710881111234507,0.0,0.0,0.0,events/second
1775392500,5,0.017622157696765128,0.0,0.0,0.0,events/second
1775392530,6,0.019120275676364148,0.0,0.0,0.0,events/second
1775392561,6,0.017450017846264126,0.0,0.0,0.0,events/second
1775392591,6,0.01604866354076308,0.0,0.0,0.0,events/second
1775392621,6,0.01485487857638592,0.0,0.0,0.0,events/second
1775392651,7,0.016131246219571873,0.0,0.0,0.0,events/second
1775392681,8,0.017242947656770327,0.0,0.0,0.0,events/second
1775392711,13,0.026316888001320666,0.0,0.0,0.0,events/second
1775392741,14,0.026717492380409245,0.0,0.0,0.0,events/second
1775392771,14,0.0252631170193934,0.0,0.0,0.0,events/second
1775392801,14,0.023964809125274007,0.0,0.0,0.0,events/second
1775392831,17,0.02767783342879787,0.0,0.0,0.0,events/second
1775392861,17,0.026388354622154983,0.0,0.0,0.0,events/second
1775392891,17,0.025213660761519242,0.0,0.0,0.0,events/second
1775392921,17,0.02413900174365239,0.0,0.0,0.0,events/second
1775392951,17,0.023152249791137426,0.0,0.0,0.0,events/second
1775392981,17,0.022242411010322743,0.0,0.0,0.0,events/second
1775393011,17,0.02140149033429832,0.0,0.0,0.0,events/second
1775393041,17,0.020621982874032524,0.0,0.0,0.0,events/second
1775393071,17,0.01989699587175292,0.0,0.0,0.0,events/second
1775393101,17,0.019221016104516934,0.0,0.0,0.0,events/second
1775393131,17,0.018589832932817133,0.0,0.0,0.0,events/second
1775393161,17,0.017999142282214223,0.0,0.0,0.0,events/second
1775393191,17,0.017444656294049336,0.0,0.0,0.0,events/second
1775393221,17,0.016923344309007108,0.0,0.0,0.0,events/second
1775393251,17,0.01643211243674559,0.0,0.0,0.0,events/second
1775393281,17,0.015968458568603825,0.0,0.0,0.0,events/second
1775393311,17,0.015530447737914366,0.0,0.0,0.0,events/second
1775393341,17,0.015115890111963504,0.0,0.0,0.0,events/second
1775393371,17,0.014722740049497028,0.0,0.0,0.0,events/second
1775393401,17,0.0143496251623666,0.0,0.0,0.0,events/second
1775393431,17,0.013995068347346477,0.0,0.0,0.0,events/second
1775393461,17,0.013657630291825481,0.0,0.0,0.0,events/second
1775393491,17,0.013336065054198298,0.0,0.0,0.0,events/second
1775393521,17,0.013028801618075014,0.0,0.0,0.0,events/second
1775393552,17,0.012735757379964626,0.0,0.0,0.0,events/second
1775393582,17,0.012454964328016906,0.0,0.0,0.0,events/second
1775393612,17,0.01218696668489636,0.0,0.0,0.0,events/second
1775393642,17,0.011930309867152966,0.0,0.0,0.0,events/second
1775393672,17,0.011684119697781973,0.0,0.0,0.0,events/second
1775393702,17,0.011447910829553704,0.0,0.0,0.0,events/second
1775393732,17,0.011221096598474289,0.0,0.0,0.0,events/second
1775393762,17,0.011003096559329305,0.0,0.0,0.0,events/second
1775393792,17,0.010792952784955616,0.0,0.0,0.0,events/second
1775393822,17,0.010591133409206028,0.0,0.0,0.0,events/second
1775393852,17,0.010396751658286537,0.0,0.0,0.0,events/second
1775393882,17,0.010209328082568123,0.0,0.0,0.0,events/second
1775393912,17,0.010028491775138341,0.0,0.0,0.0,events/second
1775393942,17,0.009853874843812968,0.0,0.0,0.0,events/second
1775393972,17,0.009685371102589406,0.0,0.0,0.0,events/second
1775394002,17,0.009522528387913539,0.0,0.0,0.0,events/second
1775394032,17,0.009365097460598746,0.0,0.0,0.0,events/second
1775394062,17,0.00921274288354421,0.0,0.0,0.0,events/second
1775394092,17,0.009065318795422501,0.0,0.0,0.0,events/second
1775394122,17,0.008922520866602515,0.0,0.0,0.0,events/second
1775394152,17,0.008784106906074021,0.0,0.0,0.0,events/second
1775394182,17,0.00864987894142066,0.0,0.0,0.0,events/second
1775394212,17,0.008519776677727344,0.0,0.0,0.0,events/second
1775394242,17,0.008393534459931528,0.0,0.0,0.0,events/second
1775394272,17,0.008270945475252652,0.0,0.0,0.0,events/second
1775394302,17,0.008151876512625581,0.0,0.0,0.0,events/second
1775394332,17,0.008036188913456612,0.0,0.0,0.0,events/second
1775394362,17,0.007923755489184354,0.0,0.0,0.0,events/second
1775394392,17,0.007814445578245061,0.0,0.0,0.0,events/second
1775394422,17,0.0077080424293843935,0.0,0.0,0.0,events/second
1775394452,89,0.039812164117987076,0.0,0.0,0.0,events/second
1775394482,1258,0.5552807990898728,0.0,0.0,0.0,events/second
1775394512,1259,0.5484550588788304,0.0,0.0,0.0,events/second
1775394542,1259,0.5413726871791249,0.0,0.0,0.0,events/second
1775394572,1260,0.53490013679922,0.0,0.0,0.0,events/second
1775394602,1261,0.5285901775895747,0.0,0.0,0.0,events/second
1775394632,1261,0.52201922750349,0.0,0.0,0.0,events/second
1775394662,1261,0.5156134836906799,0.0,0.0,0.0,events/second
1775394692,1261,0.5093534027773895,0.0,0.0,0.0,events/second
1775394722,1261,0.5032504682148671,0.0,0.0,0.0,events/second
1775394752,1261,0.497294922819507,0.0,0.0,0.0,events/second
1775394782,1262,0.49186634970192117,0.0,0.0,0.0,events/second
1775394812,1262,0.48617862906388526,0.0,0.0,0.0,events/second
1775394842,1262,0.4806203632916417,0.0,0.0,0.0,events/second
