t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1775392230,0,0.0,0.0,0.0,0.0,events/second
1775392260,0,0.0,0.0,0.0,0.0,events/second
1775392290,0,0.0,0.0,0.0,0.0,events/second
1775392320,0,0.0,0.0,0.0,0.0,events/second
1775392350,0,0.0,0.0,0.0,0.0,events/second
1775392380,0,0.0,0.0,0.0,0.0,events/second
1775392410,0,0.0,0.0,0.0,0.0,events/second
1775392440,0,0.0,0.0,0.0,0.0,events/second
1775392470,0,0.0,0.0,0.0,0.0,events/second
1775392500,0,0.0,0.0,0.0,0.0,events/second
1775392530,0,0.0,0.0,0.0,0.0,events/second
1775392561,0,0.0,0.0,0.0,0.0,events/second
1775392591,0,0.0,0.0,0.0,0.0,events/second
1775392621,0,0.0,0.0,0.0,0.0,events/second
1775392651,0,0.0,0.0,0.0,0.0,events/second
1775392681,0,0.0,0.0,0.0,0.0,events/second
1775392711,2,0.004023895391749187,0.02942507589548365,0.0065021413358446346,0.0022037834843897696,events/second
1775392741,2,0.0037946868103310286,0.017847210694982008,0.005883380778030544,0.0021315348680781203,events/second
1775392771,2,0.0035892528414181485,0.010824880476857807,0.005323503072515552,0.0020616548431439457,events/second
1775392801,2,0.0034057542162168643,0.006565621896938975,0.00481690477504147,0.001994065757925528,events/second
1775392831,2,0.003240117481417366,0.0039822509805741094,0.004358515679573608,0.0019286925064854244,events/second
1775392861,2,0.003089876706669008,0.0024153573143888968,0.003943748073974628,0.0018654624451516979,events/second
1775392891,2,0.0029529487211468752,0.0014649882653380325,0.003568450824639491,0.0018043053117952528,events/second
1775392921,2,0.002827630654637322,8.885602990467436E-4,0.003228867830555088,0.001745153147753574,events/second
1775392951,2,0.0027125215604589747,5.389390643752765E-4,0.0029216004309788363,0.0016879402223141094,events/second
1775392981,2,0.0026063485567681278,3.2688306626044595E-4,0.0026435733904996367,0.0016326029596733828,events/second
1775393011,2,0.0025081870325488614,1.982646018278368E-4,0.002392004121048259,0.0015790798682906704,events/second
1775393041,2,0.0024171683472680424,1.2025355974430047E-4,0.0021643748328206815,0.0015273114725577418,events/second
1775393071,2,0.0023324924062604582,7.293747092450317E-5,0.001958407335391477,0.0014772402467087289,events/second
1775393101,2,0.002253521115334259,4.4238812357609945E-5,0.0017720402368183077,0.001428810550896693,events/second
1775393131,2,0.0021797657308137387,2.6832196044164572E-5,0.001603408312538508,0.0013819685693658458,events/second
1775393161,2,0.0021107268447640307,1.6274549568205854E-5,0.0014508238375747385,0.0013366622506507297,events/second
1775393191,2,0.0020459062806080976,9.871013286129855E-6,0.001312759695216149,0.0012928412497359004,events/second
1775393221,2,0.001984952073566408,5.987072200468513E-6,0.0011878340931210532,0.0012504568721118405,events/second
1775393251,2,0.0019275045355497244,3.6313428514973366E-6,0.0010747967338747394,0.0012094620196649404,events/second
1775393281,2,0.0018732728081080762,2.2025207753614363E-6,9.725163015927018E-4,0.0011698111383414145,events/second
1775393311,2,0.001822032244220207,1.3358963789107535E-6,8.799691393310209E-4,0.0011314601675269987,events/second
1775393341,2,0.0017735280165234342,8.102621120084577E-7,7.962290039836065E-4,0.0010943664910861807,events/second
1775393371,2,0.0017275217583602605,4.914488133366417E-7,7.204577961298703E-4,0.001058488890006551,events/second
1775393401,2,0.0016838541055199166,2.9807877296806424E-7,6.518971720540297E-4,0.001023787496595663,events/second
1775393431,2,0.0016423522793614438,1.8079391481465236E-7,5.898609539863119E-4,9.902237501794918E-4,events/second
1775393461,2,0.0016028506258558635,1.0965705242456078E-7,5.337282626052025E-4,9.57760354253276E-4,events/second
1775393491,2,0.0015652020874796905,6.65103643492117E-8,4.8293730306851003E-4,9.263612350371178E-4,events/second
1775393521,2,0.0015292236004434455,4.034057516645501E-8,4.369797423817603E-4,8.95991501390296E-4,events/second
1775393552,2,0.0014949069362687655,2.446779566889704E-8,3.953956218307307E-4,8.666174060397398E-4,events/second
1775393582,2,0.00146202127919266,1.4840468248770042E-8,3.577687535600411E-4,8.38206308079588E-4,events/second
1775393612,2,0.0014306312813291673,9.001198997370885E-9,3.2372255522521116E-4,8.10726636700158E-4,events/second
1775393642,2,0.0014005666473746712,5.459503166080059E-9,2.9291628102998335E-4,7.841478561060186E-4,events/second
1775393672,2,0.0013717254749017161,3.31135605702575E-9,2.650416114278657E-4,7.584404315841883E-4,events/second
1775393702,2,0.0013440512018176253,2.008438973811253E-9,2.3981956735648E-4,7.335757966847481E-4,events/second
1775393732,2,0.0013174751550620895,1.218179815778304E-9,2.1699771812133824E-4,7.095263214774027E-4,events/second
1775393762,2,0.0012919303779985387,7.388634073126293E-10,1.9634765498460663E-4,6.862652818487154E-4,events/second
1775393792,2,0.001267303934492826,4.481433098748534E-10,1.776627051736869E-4,6.637668298058991E-4,events/second
1775393822,2,0.0012436512451174167,2.71812657384198E-10,1.6075586343064277E-4,6.42005964754165E-4,events/second
1775393852,2,0.0012208689084761226,1.6486271040148166E-10,1.4545792040072416E-4,6.209585057157116E-4,events/second
1775393882,2,0.001198900316285915,9.999428850182354E-11,1.3161576912827137E-4,6.006010644594838E-4,events/second
1775393912,2,0.001177702603920072,6.064960177250646E-11,1.1909087271084203E-4,5.809110195118437E-4,events/second
1775393942,2,0.0011572324838150809,3.678584297438685E-11,1.0775787777532743E-4,5.61866491019272E-4,events/second
1775393972,2,0.001137477931460783,2.2311741607340206E-11,9.750335989926178E-5,5.43446316435168E-4,events/second
1775394002,2,0.0011183858075490011,1.3532755356437872E-11,8.822468842107896E-5,5.256300270037335E-4,events/second
1775394032,2,0.001099927210358984,8.208031034069938E-12,7.982899927795613E-5,5.083978250148024E-4,events/second
1775394062,2,0.0010820627285639038,4.978422478036208E-12,7.223226559106029E-5,4.917305618043502E-4,events/second
1775394092,2,0.0010647754822475822,3.0195658699315056E-12,6.535845669630268E-5,4.7560971647622963E-4,events/second
1775394122,2,0.001048029860806775,1.831459279135309E-12,5.913877720389758E-5,4.6001737532149124E-4,events/second
1775394152,2,0.0010317974976987616,1.1108362048107633E-12,5.351097847097855E-5,4.4493621191241995E-4,events/second
1775394182,2,0.0010160552780492792,6.737562161365505E-13,4.8418735596258056E-5,4.3034946784916616E-4,events/second
1775394212,2,0.0010007961891628666,4.0865380225878974E-13,4.381108370148395E-5,4.1624093413757677E-4,events/second
1775394242,2,9.859891128972294E-4,2.4786106027809985E-13,3.964190785780804E-5,4.025949331775344E-4,events/second
