t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1775392230,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775392260,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775392290,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775392320,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775392350,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775392380,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775392410,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775392440,3,13766,8356.666666666666,5635,4684.650929720734,5669.0,13766.0,13766.0,13766.0,13766.0,13766.0
1775392470,5,13766,5343.8,112,5314.778048046785,5635.0,9717.5,13766.0,13766.0,13766.0,13766.0
1775392500,5,13766,5343.8,112,5314.778048046785,5635.0,9717.5,13766.0,13766.0,13766.0,13766.0
1775392530,6,13766,4457.666666666667,27,5225.790492037225,3586.0,7693.25,13766.0,13766.0,13766.0,13766.0
1775392561,6,13766,4457.666666666667,27,5225.790492037225,3586.0,7693.25,13766.0,13766.0,13766.0,13766.0
1775392591,6,13766,4457.666666666667,27,5225.790492037225,3586.0,7693.25,13766.0,13766.0,13766.0,13766.0
1775392621,6,13766,4457.666666666667,27,5225.790492037225,3586.0,7693.25,13766.0,13766.0,13766.0,13766.0
1775392651,7,13766,3833.285714285714,27,5048.402345108326,1537.0,5669.0,13766.0,13766.0,13766.0,13766.0
1775392681,8,13766,3381.25,27,4845.631751529265,877.0,5660.5,13766.0,13766.0,13766.0,13766.0
1775392711,12,13766,2305.9166666666665,27,4180.627213889699,164.5,4610.5,13766.0,13766.0,13766.0,13766.0
1775392741,13,13766,2255.3846153846152,27,4006.790351774962,217.0,3642.0,13766.0,13766.0,13766.0,13766.0
1775392771,13,13766,2255.3846153846152,27,4006.790351774962,217.0,3642.0,13766.0,13766.0,13766.0,13766.0
1775392801,13,13766,2255.3846153846152,27,4006.790351774962,217.0,3642.0,13766.0,13766.0,13766.0,13766.0
1775392831,16,13766,1903.1875,27,3669.228024507789,164.5,1621.0,13766.0,13766.0,13766.0,13766.0
1775392861,16,13766,1903.1875,27,3669.228024507789,164.5,1621.0,13766.0,13766.0,13766.0,13766.0
1775392891,16,13766,1903.1875,27,3669.228024507789,164.5,1621.0,13766.0,13766.0,13766.0,13766.0
1775392921,16,13766,1903.1875,27,3669.228024507789,164.5,1621.0,13766.0,13766.0,13766.0,13766.0
1775392951,16,13766,1903.1875,27,3669.228024507789,164.5,1621.0,13766.0,13766.0,13766.0,13766.0
1775392981,16,13766,1903.1875,27,3669.228024507789,164.5,1621.0,13766.0,13766.0,13766.0,13766.0
1775393011,16,13766,1903.1875,27,3669.228024507789,164.5,1621.0,13766.0,13766.0,13766.0,13766.0
1775393041,16,13766,1903.1875,27,3669.228024507789,164.5,1621.0,13766.0,13766.0,13766.0,13766.0
1775393071,16,13766,1903.1875,27,3669.228024507789,164.5,1621.0,13766.0,13766.0,13766.0,13766.0
1775393101,16,13766,1903.1875,27,3669.228024507789,164.5,1621.0,13766.0,13766.0,13766.0,13766.0
1775393131,16,13766,1903.1875,27,3669.228024507789,164.5,1621.0,13766.0,13766.0,13766.0,13766.0
1775393161,16,13766,1903.1875,27,3669.228024507789,164.5,1621.0,13766.0,13766.0,13766.0,13766.0
1775393191,16,13766,1903.1875,27,3669.228024507789,164.5,1621.0,13766.0,13766.0,13766.0,13766.0
1775393221,16,13766,1903.1875,27,3669.228024507789,164.5,1621.0,13766.0,13766.0,13766.0,13766.0
1775393251,16,13766,1903.1875,27,3669.228024507789,164.5,1621.0,13766.0,13766.0,13766.0,13766.0
