t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1775392230,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775392260,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775392290,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775392320,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775392350,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775392380,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775392410,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775392440,1,13766,13766.0,13766,0.0,13766.0,13766.0,13766.0,13766.0,13766.0,13766.0
1775392470,3,13766,5138.333333333333,112,7505.673209868209,1537.0,13766.0,13766.0,13766.0,13766.0,13766.0
1775392500,3,13766,5138.333333333333,112,7505.673209868209,1537.0,13766.0,13766.0,13766.0,13766.0,13766.0
1775392530,4,13766,3860.5,27,6639.893498141869,824.5,10708.75,13766.0,13766.0,13766.0,13766.0
1775392561,4,13766,3860.5,27,6639.893498141869,824.5,10708.75,13766.0,13766.0,13766.0,13766.0
1775392591,4,13766,3860.5,27,6639.893498141869,824.5,10708.75,13766.0,13766.0,13766.0,13766.0
1775392621,4,13766,3860.5,27,6639.893498141869,824.5,10708.75,13766.0,13766.0,13766.0,13766.0
1775392651,5,13766,3105.8,27,5992.829023090848,112.0,7651.5,13766.0,13766.0,13766.0,13766.0
1775392681,6,13766,2624.3333333333335,27,5488.3568275638445,164.5,4594.25,13766.0,13766.0,13766.0,13766.0
1775392711,8,13766,2037.375,27,4765.363093271518,164.5,1272.5,13766.0,13766.0,13766.0,13766.0
1775392741,9,13766,1994.2222222222222,27,4459.468487885573,217.0,1593.0,13766.0,13766.0,13766.0,13766.0
1775392771,9,13766,1994.2222222222222,27,4459.468487885573,217.0,1593.0,13766.0,13766.0,13766.0,13766.0
1775392801,9,13766,1994.2222222222222,27,4459.468487885573,217.0,1593.0,13766.0,13766.0,13766.0,13766.0
1775392831,12,13766,1589.9166666666667,27,3880.9011010409176,164.5,1417.25,13766.0,13766.0,13766.0,13766.0
1775392861,12,13766,1589.9166666666667,27,3880.9011010409176,164.5,1417.25,13766.0,13766.0,13766.0,13766.0
1775392891,12,13766,1589.9166666666667,27,3880.9011010409176,164.5,1417.25,13766.0,13766.0,13766.0,13766.0
1775392921,12,13766,1589.9166666666667,27,3880.9011010409176,164.5,1417.25,13766.0,13766.0,13766.0,13766.0
1775392951,12,13766,1589.9166666666667,27,3880.9011010409176,164.5,1417.25,13766.0,13766.0,13766.0,13766.0
1775392981,12,13766,1589.9166666666667,27,3880.9011010409176,164.5,1417.25,13766.0,13766.0,13766.0,13766.0
1775393011,12,13766,1589.9166666666667,27,3880.9011010409176,164.5,1417.25,13766.0,13766.0,13766.0,13766.0
1775393041,12,13766,1589.9166666666667,27,3880.9011010409176,164.5,1417.25,13766.0,13766.0,13766.0,13766.0
1775393071,12,13766,1589.9166666666667,27,3880.9011010409176,164.5,1417.25,13766.0,13766.0,13766.0,13766.0
1775393101,12,13766,1589.9166666666667,27,3880.9011010409176,164.5,1417.25,13766.0,13766.0,13766.0,13766.0
1775393131,12,13766,1589.9166666666667,27,3880.9011010409176,164.5,1417.25,13766.0,13766.0,13766.0,13766.0
1775393161,12,13766,1589.9166666666667,27,3880.9011010409176,164.5,1417.25,13766.0,13766.0,13766.0,13766.0
1775393191,12,13766,1589.9166666666667,27,3880.9011010409176,164.5,1417.25,13766.0,13766.0,13766.0,13766.0
1775393221,12,13766,1589.9166666666667,27,3880.9011010409176,164.5,1417.25,13766.0,13766.0,13766.0,13766.0
1775393251,12,13766,1589.9166666666667,27,3880.9011010409176,164.5,1417.25,13766.0,13766.0,13766.0,13766.0
