t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1775392230,0,0.0,0.0,0.0,0.0,events/second
1775392260,0,0.0,0.0,0.0,0.0,events/second
1775392290,0,0.0,0.0,0.0,0.0,events/second
1775392320,0,0.0,0.0,0.0,0.0,events/second
1775392350,0,0.0,0.0,0.0,0.0,events/second
1775392380,0,0.0,0.0,0.0,0.0,events/second
1775392410,0,0.0,0.0,0.0,0.0,events/second
1775392440,1,0.004411884614418107,0.015991117074135343,0.0033057092356765017,0.0011080303990206543,events/second
1775392470,3,0.011685944540891143,0.03361113336270948,0.009228131383865303,0.003245100182810106,events/second
1775392500,3,0.010460648506899962,0.020386182892173487,0.00834995857467329,0.0031387131444910346,events/second
1775392530,4,0.012624010623109989,0.023822981033281492,0.010647869037873499,0.0041194929617966725,events/second
1775392561,4,0.011531014775856748,0.014449368402437778,0.009634590327814496,0.003984439918472045,events/second
1775392591,4,0.01061249164856934,0.008763984949561468,0.008717737836053898,0.0038538144405493727,events/second
1775392621,4,0.009828916653037112,0.0053156255731691094,0.007888135394689402,0.003727471375169406,events/second
1775392651,5,0.011441856095625768,0.015677984385202726,0.010281967957468078,0.004694986595553042,events/second
1775392681,6,0.012847714911196661,0.020967314286790467,0.012396023419422784,0.005624745700416539,events/second
1775392711,8,0.01609558499640677,0.043420973988646326,0.017773165728342616,0.007650266743775352,events/second
1775392741,9,0.01707609414560481,0.038790046498221875,0.01922631328177799,0.008489177434964959,events/second
1775392771,9,0.016151639812514218,0.023527352492850248,0.017396687668234476,0.008210869094946643,events/second
1775392801,9,0.015325894320080812,0.014270060628780133,0.0157411739521033,0.007941684787582507,events/second
1775392831,12,0.01944070726638332,0.04818150051452009,0.023782361482012064,0.010962615847828159,events/second
1775392861,12,0.01853926347083381,0.029223557293016462,0.02151917055818165,0.010603218551418589,events/second
1775392891,12,0.01771769067620317,0.017724983484083218,0.019471350726140525,0.010255603699861547,events/second
1775392921,12,0.01696578457785771,0.01075074592599653,0.0176184067167136,0.009919385018668916,events/second
1775392951,12,0.01627513181510003,0.006520657018897582,0.015941793643458546,0.009594188896936579,events/second
1775392981,12,0.015638093345918213,0.003954978403431766,0.014424731399209103,0.009279653972182757,events/second
1775393011,12,0.0150491232314213,0.002398815660182687,0.0130520367151226,0.008975430728796962,events/second
1775393041,12,0.014503011948599235,0.001454955244899602,0.011809971201422081,0.008681181109653366,events/second
1775393071,12,0.013994954274347127,8.824749645413121E-4,0.010686103848973796,0.008396578140456981,events/second
1775393101,12,0.013521128159143173,5.352481224231251E-4,0.00966918661556958,0.008121305566405253,events/second
1775393131,12,0.01307859598419668,3.246443968032465E-4,0.008749041851739837,0.007855057500761294,events/second
1775393161,12,0.012664360006026748,1.9690678016508312E-4,0.007916460439416824,0.007597538084948268,events/second
1775393191,12,0.012275439087543428,1.1942999927541839E-4,0.007163109623985738,0.007348461159787189,events/second
1775393221,12,0.01190971379007249,7.243795624999887E-5,0.006481449617275788,0.007107549947512844,events/second
1775393251,12,0.01156502852961998,4.3935841392546705E-5,0.005864658136825982,0.006874536744214458,events/second
1775393281,12,0.011239637977191538,2.664843486485099E-5,0.005306562126189203,0.006649162622359372,events/second
1775393311,12,0.010932194614636641,1.6163092778887215E-5,0.0048015759729084515,0.006431177143069139,events/second
1775393341,12,0.010641169199402207,9.803411326174968E-6,0.004344645605829984,0.006220338077828338,events/second
1775393371,12,0.010365131278040049,5.946069539099207E-6,0.003931197912260479,0.00601641113931686,events/second
1775393401,12,0.010103125630033809,3.606473480247038E-6,0.0035570949687181268,0.0058191697210665545,events/second
1775393431,12,0.009854114516114497,2.187436739210354E-6,0.003218592627203612,0.005628394645652954,events/second
1775393461,12,0.009617104460361452,1.3267474485129082E-6,0.0029123030425084926,0.005443873921142251,events/second
1775393491,12,0.009391213337006,8.047130052185876E-7,0.002635160765521654,0.005265402505522894,events/second
1775393521,12,0.009175340909521969,4.880831099345658E-7,0.002384392063184276,0.005092782078860037,events/second
1775393552,12,0.008969442126464456,2.960373706632061E-7,0.0021574871580370943,0.004925820822919648,events/second
1775393582,12,0.008772119140743174,1.7955574172794783E-7,0.0019521751095240246,0.004764333208017408,events/second
1775393612,12,0.008583788343125601,1.0890606248544342E-7,0.0017664010856557849,0.004608139786855523,events/second
1775393642,12,0.008403400542752812,6.605486592600129E-8,0.0015983057975606963,0.004457066995118381,events/second
1775393672,12,0.008230353499701944,4.006430140732713E-8,0.0014462068910967255,0.004310946958605451,events/second
1775393702,12,0.008064307464534657,2.4300227163511917E-8,0.0013085821092857733,0.004169617306687127,events/second
1775393732,12,0.007904850467450496,1.4738832812651742E-8,0.0011840540570541892,0.004032920991876206,events/second
1775393762,12,0.007751582843825291,8.939553989251873E-9,0.001071376415799915,0.0039007061153145265,events/second
1775393792,12,0.007603823083221066,5.422113578637644E-9,9.694214698170158E-4,0.0037728257579808296,events/second
1775393822,12,0.007461907853968954,3.288678125887919E-9,8.771688197378537E-4,0.003649137817432286,events/second
1775393852,12,0.007325213959273446,1.9946841132773073E-9,7.936951700332496E-4,0.0035295048498982734,events/second
1775393882,12,0.007193399224223221,1.2098370711443949E-9,7.181650883604976E-4,0.0034137939175509354,events/second
1775393912,12,0.007066215902304111,7.338032769060102E-10,6.498226442756795E-4,0.0033018764407828053,events/second
1775393942,12,0.006943393153243083,4.450741856410948E-10,5.879838436277057E-4,0.0031936280553273495,events/second
1775393972,12,0.006824867952855809,2.699511394379564E-10,5.320297829149525E-4,0.0030889284740636498,events/second
1775394002,12,0.006710314948483921,1.6373364269348086E-10,4.814004550909977E-4,0.002987661353351676,events/second
1775394032,12,0.006599563711488462,9.93094743200296E-11,4.355891448258744E-4,0.0028897141637496,events/second
1775394062,12,0.006492376780950189,6.023424097504239E-11,3.941373571287359E-4,0.0027949780649695086,events/second
1775394092,12,0.00638865330605599,3.6533913915882207E-11,3.566302285758823E-4,0.0027033477849325504,events/second
1775394122,12,0.006288179530596745,2.2158938909284594E-11,3.226923752181754E-4,0.002614721502789129,events/second
1775394152,12,0.006190785193790762,1.344007583518033E-11,2.919841356123049E-4,0.0025290007357741512,events/second
1775394182,12,0.006096331800851771,8.15181806289975E-12,2.641981713748994E-4,0.0024460902297715986,events/second
1775394212,12,0.006004777347114607,4.944327587547949E-12,2.3905639123668595E-4,0.002365897853466819,events/second
1775394242,12,0.005915934956203046,2.998886273510832E-12,2.1630716781159714E-4,0.0022883344959689243,events/second
