t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1775392230,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775392260,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775392290,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775392320,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775392350,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775392380,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775392410,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775392440,2,5669,5652.0,5635,24.041630560342615,5652.0,5669.0,5669.0,5669.0,5669.0,5669.0
1775392470,2,5669,5652.0,5635,24.041630560342615,5652.0,5669.0,5669.0,5669.0,5669.0,5669.0
1775392500,2,5669,5652.0,5635,24.041630560342615,5652.0,5669.0,5669.0,5669.0,5669.0,5669.0
1775392530,2,5669,5652.0,5635,24.041630560342615,5652.0,5669.0,5669.0,5669.0,5669.0,5669.0
1775392561,2,5669,5652.0,5635,24.041630560342615,5652.0,5669.0,5669.0,5669.0,5669.0,5669.0
1775392591,2,5669,5652.0,5635,24.041630560342615,5652.0,5669.0,5669.0,5669.0,5669.0,5669.0
1775392621,2,5669,5652.0,5635,24.041630560342615,5652.0,5669.0,5669.0,5669.0,5669.0,5669.0
1775392651,2,5669,5652.0,5635,24.041630560342615,5652.0,5669.0,5669.0,5669.0,5669.0,5669.0
1775392681,2,5669,5652.0,5635,24.041630560342615,5652.0,5669.0,5669.0,5669.0,5669.0,5669.0
1775392711,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
1775392741,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
1775392771,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
1775392801,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
1775392831,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
1775392861,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
1775392891,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
1775392921,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
1775392951,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
1775392981,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
1775393011,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
1775393041,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
1775393071,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
1775393101,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
1775393131,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
1775393161,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
1775393191,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
1775393221,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
1775393251,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
1775393281,4,5669,2843.0,30,3243.585156376608,2836.5,5660.5,5669.0,5669.0,5669.0,5669.0
