t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1775392230,0,0.0,0.0,0.0,0.0,events/second
1775392260,0,0.0,0.0,0.0,0.0,events/second
1775392290,0,0.0,0.0,0.0,0.0,events/second
1775392320,0,0.0,0.0,0.0,0.0,events/second
1775392350,0,0.0,0.0,0.0,0.0,events/second
1775392380,0,0.0,0.0,0.0,0.0,events/second
1775392410,0,0.0,0.0,0.0,0.0,events/second
1775392440,2,0.008823757853665092,0.027072376727683665,0.006394670392516757,0.002191574188921952,events/second
1775392470,2,0.007790622923527536,0.01642022651663092,0.005786137047155858,0.002119725840926105,events/second
1775392500,2,0.006973757058300787,0.009959370821763031,0.005235513306150717,0.0020502329619514876,events/second
1775392530,2,0.0063120028453726145,0.006040663754846687,0.004737288342030325,0.0019830183305383896,events/second
1775392561,2,0.005765498190137473,0.003663847772329355,0.004286475751894571,0.0019180072568476785,events/second
1775392591,2,0.005306246818200296,0.002222236006437587,0.0038785636518180316,0.0018551274996644008,events/second
1775392621,2,0.0049144522849280375,0.0013478542710217579,0.0035094695203991503,0.001794309186122335,events/second
1775392651,2,0.004576742491664065,8.175149401993177E-4,0.003175499339513865,0.0017354847340602863,events/second
1775392681,2,0.004282572527493121,4.958478760040265E-4,0.0028733106233406205,0.0016785887769238408,events/second
1775392711,4,0.008047794062325872,0.029725822834833483,0.009102020301483453,0.003827341575518906,events/second
1775392741,4,0.0075893766157900215,0.01802962293451242,0.008235848548505176,0.0037018663938860525,events/second
1775392771,4,0.007178507601076194,0.010935519092839848,0.0074521039359646294,0.0035805047779998533,events/second
1775392801,4,0.006811509537834026,0.006632727609680255,0.006742942484353848,0.0034631218691342073,events/second
1775392831,4,0.006480236627875261,0.004022952652793564,0.006101266667507715,0.0033495872297579425,events/second
1775392861,4,0.006179755447876427,0.0024400441264915695,0.005520654378176545,0.003239774698590801,events/second
1775392891,4,0.005905897568732392,0.0014799615737688683,0.00499529465341818,0.0031335622504112606,events/second
1775392921,4,0.005655261879353503,8.976420696873791E-4,0.004519929516527739,0.0030308318604603977,events/second
1775392951,4,0.0054250446932745415,5.444474367132998E-4,0.004089801353439482,0.0029314693732911284,events/second
1775392981,4,0.005212698365496188,3.3022406296857003E-4,0.003700605296926154,0.0028353643759170748,events/second
1775393011,4,0.005016375030137644,2.0029101876531307E-4,0.003348446142040856,0.002742410075120109,events/second
1775393041,4,0.00483433790280733,1.2148264374624082E-4,0.0030297993615967175,0.002652503178780236,events/second
1775393071,4,0.004664984975192495,7.368294805504228E-5,0.0027414758315141728,0.002565543781095945,events/second
1775393101,4,0.004507043227550299,4.4690967093396515E-5,0.0024805899129952697,0.0024814352515674805,events/second
1775393131,4,0.004359532468919983,2.710644175435339E-5,0.002244530572080686,0.002400084127619683,events/second
1775393161,4,0.004221453748781794,1.644088799973004E-5,0.002030935247544263,0.002321400010745067,events/second
1775393191,4,0.004091813212516277,9.971902644737784E-6,0.0018376662055861737,0.00224529546605173,events/second
1775393221,4,0.003969904994240465,6.048264689702964E-6,0.0016627891446745321,0.0021716859251044818,events/second
1775393251,4,0.003855009896261922,3.668457972362166E-6,0.0015045538364055252,0.002100489591951214,events/second
1775393281,4,0.003746546150309013,2.2250322341048946E-6,0.0013613766086292727,0.0020316273522300926,events/second
1775393311,4,0.0036440652144811465,1.3495502688335166E-6,0.0012318244955266623,0.0019650226852565727,events/second
1775393341,4,0.003547056720002716,8.185436148709549E-7,0.0011146008960057935,0.0019006015789925419,events/second
1775393371,4,0.0034550440118211755,4.964717987312441E-7,0.0010085325968824492,0.0018382924478031093,events/second
1775393401,4,0.003367708835954318,3.011253676131793E-7,9.125580309682165E-4,0.0017780260529096448,events/second
1775393431,4,0.003284704753469476,1.8264176787463095E-7,8.257166525492603E-4,0.001719735425450679,events/second
1775393461,4,0.003205701690519213,1.1077783196008159E-7,7.471393239219682E-4,0.001663355792065169,events/second
1775393491,4,0.0031304045919251958,6.719015150028356E-8,6.760396167706861E-4,0.0016088245029154307,events/second
1775393521,4,0.003058447029940736,4.075288691565879E-8,6.117059413288073E-4,0.0015560809620697642,events/second
1775393552,4,0.0029898141860725327,2.471787538614887E-8,5.534944245492141E-4,0.0015050665601674053,events/second
1775393582,4,0.0029240394605008365,1.4992149264655544E-8,5.008224660064103E-4,0.0014557246092909838,events/second
1775393612,4,0.002861262991647948,9.093198184001804E-9,4.531629070356424E-4,0.0014080002799741168,events/second
1775393642,4,0.0028011335797679523,5.515303493440336E-9,4.100387547518003E-4,0.0013618405402741375,events/second
1775393672,4,0.0027434507018045174,3.3452006663917595E-9,3.71018408144299E-4,0.0013171940968422593,events/second
1775393702,4,0.002688102612824913,2.0289667670577357E-9,3.3571133846909936E-4,0.0012740113379256875,events/second
1775393732,4,0.002634950084825044,1.2306305517585379E-9,3.037641807057759E-4,0.0012322442782383464,events/second
1775393762,4,0.0025838611191898292,7.464151604206283E-10,2.748571969616229E-4,0.001191846505638957,events/second
1775393792,4,0.0025346052170633726,4.527236796694349E-10,2.48701076427356E-4,0.0011527731295572171,events/second
1775393822,4,0.002487302652635028,2.7459079209743337E-10,2.2503403985729264E-4,0.0011149807311107694,events/second
1775393852,4,0.002441738137861435,1.6654773428187087E-10,2.0361921959467392E-4,0.0010784273148575342,events/second
1775393882,4,0.0023977997342209357,1.0101630714762753E-10,1.842422889205418E-4,0.0010430722621297846,events/second
1775393912,4,0.002355405425873958,6.126948741598455E-11,1.667093169998983E-4,0.001008876285898115,events/second
1775393942,4,0.002314464382941256,3.716182262267201E-11,1.508448279567263E-4,9.758013871151441E-4,events/second
1775393972,4,0.002274956103966973,2.253978479145312E-11,1.3649004465244278E-4,9.438108124904418E-4,events/second
1775394002,4,0.0022367717202891784,1.3671070539340848E-11,1.2350129959092917E-4,9.128690136497588E-4,events/second
1775394032,4,0.002199854698376253,8.291923433204355E-12,1.1174859704594188E-4,8.829416076331747E-4,events/second
1775394062,4,0.002164125714834069,5.0293057902280826E-12,1.011143120201909E-4,8.539953386882725E-4,events/second
1775394092,4,0.002129551220381854,3.0504281588436073E-12,9.149201301483193E-5,8.259980413158806E-4,events/second
1775394122,4,0.0020960599541377826,1.8501782035894076E-12,8.278539682725294E-5,7.989186045273206E-4,events/second
1775394152,4,0.002063595157749963,1.1221898064090186E-12,7.490732471625385E-5,7.727269372734408E-4,events/second
1775394182,4,0.0020321106560318176,6.806425236040546E-13,6.777895028823637E-5,7.473939350070209E-4,events/second
