t,value
1775392230,0
1775392260,0
1775392290,0
1775392320,0
1775392350,0
1775392380,0
1775392410,0
1775392440,0
1775392470,0
1775392500,0
1775392530,0
1775392561,0
1775392591,0
1775392621,0
1775392651,0
1775392681,0
1775392711,0
1775392741,0
1775392771,0
1775392801,0
1775392831,256
1775392861,256
1775392891,256
1775392921,256
1775392951,256
1775392981,256
1775393011,256
1775393041,256
1775393071,256
1775393101,256
1775393131,256
1775393161,256
1775393191,256
1775393221,256
1775393251,256
1775393281,256
1775393311,256
1775393341,256
1775393371,256
1775393401,256
1775393431,256
1775393461,256
1775393491,256
1775393521,256
1775393552,256
1775393582,256
1775393612,256
1775393642,256
1775393672,256
1775393702,256
1775393732,256
1775393762,256
1775393792,256
1775393822,256
1775393852,256
1775393882,256
1775393912,256
1775393942,256
1775393972,256
1775394002,256
1775394032,256
1775394062,256
1775394092,256
1775394122,256
1775394152,256
1775394182,256
1775394212,256
1775394242,256
1775394272,256
1775394302,256
1775394332,256
1775394362,256
1775394392,256
1775394422,256
1775394452,768
1775394482,3072
1775394512,3072
1775394542,3072
1775394572,3072
1775394602,3072
1775394632,3072
1775394662,3072
1775394692,3072
1775394722,3072
1775394752,3072
1775394782,3072
1775394812,3072
1775394842,3072
