t,value
1775392230,41960
1775392260,41960
1775392290,41960
1775392320,41960
1775392350,41960
1775392380,41960
1775392410,41960
1775392440,41960
1775392470,41960
1775392500,41960
1775392530,41960
1775392561,41960
1775392591,41960
1775392621,41960
1775392651,41960
1775392681,41960
1775392711,41960
1775392741,41960
1775392771,41960
1775392801,41960
1775392831,910879
1775392861,910879
1775392891,910879
1775392921,910879
1775392951,910879
1775392981,910879
1775393011,910879
1775393041,910879
1775393071,910879
1775393101,910879
1775393131,910879
1775393161,910879
1775393191,910879
1775393221,910879
1775393251,910879
1775393281,910879
1775393311,910879
1775393341,910879
1775393371,910879
1775393401,910879
1775393431,960084
1775393461,960084
1775393491,960084
1775393521,960084
1775393552,960084
1775393582,960084
1775393612,960084
1775393642,960084
1775393672,960084
1775393702,960084
1775393732,960084
1775393762,960084
1775393792,960084
1775393822,960084
1775393852,960084
1775393882,960084
1775393912,960084
1775393942,960084
1775393972,960084
1775394002,960084
1775394032,960084
1775394062,960084
1775394092,960084
1775394122,960084
1775394152,960084
1775394182,960084
1775394212,960084
1775394242,960084
1775394272,960084
1775394302,960084
1775394332,960084
1775394362,960084
1775394392,960084
1775394422,960084
1775394452,960084
1775394482,960084
1775394512,960084
1775394542,960084
1775394572,960084
1775394602,960084
1775394632,1013366
1775394662,1013366
1775394692,1013366
1775394722,1013366
1775394752,1013366
1775394782,1013366
1775394812,1013366
1775394842,1013366
