t,value
1775392230,41960
1775392260,41960
1775392290,41960
1775392320,41960
1775392350,41960
1775392380,41960
1775392410,41960
1775392440,41960
1775392470,41960
1775392500,41960
1775392530,41960
1775392561,41960
1775392591,41960
1775392621,41960
1775392651,41960
1775392681,41960
1775392711,41960
1775392741,41960
1775392771,41960
1775392801,41960
1775392831,912857
1775392861,912857
1775392891,912857
1775392921,912857
1775392951,912857
1775392981,912857
1775393011,912857
1775393041,912857
1775393071,912857
1775393101,912857
1775393131,912857
1775393161,912857
1775393191,912857
1775393221,912857
1775393251,912857
1775393281,912857
1775393311,912857
1775393341,912857
1775393371,912857
1775393401,912857
1775393431,962398
1775393461,962398
1775393491,962398
1775393521,962398
1775393552,962398
1775393582,962398
1775393612,962398
1775393642,962398
1775393672,962398
1775393702,962398
1775393732,962398
1775393762,962398
1775393792,962398
1775393822,962398
1775393852,962398
1775393882,962398
1775393912,962398
1775393942,962398
1775393972,962398
1775394002,962398
1775394032,962398
1775394062,962398
1775394092,962398
1775394122,962398
1775394152,962398
1775394182,962398
1775394212,962398
1775394242,962398
1775394272,962398
1775394302,962398
1775394332,962398
1775394362,962398
1775394392,962398
1775394422,962398
1775394452,962398
1775394482,962398
1775394512,962398
1775394542,962398
1775394572,962398
1775394602,962398
1775394632,1529875
1775394662,1529875
1775394692,1529875
1775394722,1529875
1775394752,1529875
1775394782,1529875
1775394812,1529875
1775394842,1529875
