t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1775392230,1,0.07690459615704656,0.0,0.0,0.0,events/second
1775392260,1,0.0231762491356302,0.0,0.0,0.0,events/second
1775392290,1,0.0136655908753669,0.0,0.0,0.0,events/second
1775392320,1,0.009688780068300552,0.0,0.0,0.0,events/second
1775392350,1,0.007505257772682678,0.0,0.0,0.0,events/second
1775392380,1,0.0061240959702155715,0.0,0.0,0.0,events/second
1775392410,1,0.005168968210583955,0.0,0.0,0.0,events/second
1775392440,4,0.01789183043572709,0.0,0.0,0.0,events/second
1775392470,8,0.03154271319957802,0.0,0.0,0.0,events/second
1775392500,8,0.028199366412969516,0.0,0.0,0.0,events/second
1775392530,9,0.02868422294029392,0.0,0.0,0.0,events/second
1775392561,9,0.02617832259325812,0.0,0.0,0.0,events/second
1775392591,9,0.024075827190108038,0.0,0.0,0.0,events/second
1775392621,9,0.022284524497972653,0.0,0.0,0.0,events/second
1775392651,10,0.02304693289560595,0.0,0.0,0.0,events/second
1775392681,11,0.023711307222801657,0.0,0.0,0.0,events/second
1775392711,15,0.03036835117855054,0.0,0.0,0.0,events/second
1775392741,16,0.03053684668724669,0.0,0.0,0.0,events/second
1775392771,16,0.028874425651783775,0.0,0.0,0.0,events/second
1775392801,16,0.027390411306315598,0.0,0.0,0.0,events/second
1775392831,19,0.030936256797009055,0.0,0.0,0.0,events/second
1775392861,19,0.02949488535177472,0.0,0.0,0.0,events/second
1775392891,19,0.028181807007933962,0.0,0.0,0.0,events/second
1775392921,19,0.02698056525784335,0.0,0.0,0.0,events/second
1775392951,19,0.02587759868310916,0.0,0.0,0.0,events/second
1775392981,19,0.02486058888643704,0.0,0.0,0.0,events/second
1775393011,19,0.023920637490790514,0.0,0.0,0.0,events/second
1775393041,19,0.02304933003991776,0.0,0.0,0.0,events/second
1775393071,19,0.022238956430892392,0.0,0.0,0.0,events/second
1775393101,19,0.021483382355106443,0.0,0.0,0.0,events/second
1775393131,19,0.020777874561554915,0.0,0.0,0.0,events/second
1775393161,19,0.020117623605224576,0.0,0.0,0.0,events/second
1775393191,19,0.01949784922021654,0.0,0.0,0.0,events/second
1775393221,19,0.018915157027824703,0.0,0.0,0.0,events/second
1775393251,19,0.018366085527416948,0.0,0.0,0.0,events/second
1775393281,19,0.017847838736873612,0.0,0.0,0.0,events/second
1775393311,19,0.017358257634975217,0.0,0.0,0.0,events/second
1775393341,19,0.01689489310412755,0.0,0.0,0.0,events/second
1775393371,19,0.016455454617491882,0.0,0.0,0.0,events/second
1775393401,19,0.01603841227562437,0.0,0.0,0.0,events/second
1775393431,19,0.015642106296204192,0.0,0.0,0.0,events/second
1775393461,19,0.015264949848383528,0.0,0.0,0.0,events/second
1775393491,19,0.014905528086356151,0.0,0.0,0.0,events/second
1775393521,19,0.014562086605497742,0.0,0.0,0.0,events/second
1775393552,19,0.01423455053449189,0.0,0.0,0.0,events/second
1775393582,19,0.013920685221657509,0.0,0.0,0.0,events/second
1775393612,19,0.01362115845872382,0.0,0.0,0.0,events/second
1775393642,19,0.01333428809456161,0.0,0.0,0.0,events/second
1775393672,19,0.013059114923232723,0.0,0.0,0.0,events/second
1775393702,19,0.012795102989225093,0.0,0.0,0.0,events/second
1775393732,19,0.01254158536565251,0.0,0.0,0.0,events/second
1775393762,19,0.012297929809907493,0.0,0.0,0.0,events/second
1775393792,19,0.01206303408408433,0.0,0.0,0.0,events/second
1775393822,19,0.011837471533046753,0.0,0.0,0.0,events/second
1775393852,19,0.011620212570497078,0.0,0.0,0.0,events/second
1775393882,19,0.011410720883927174,0.0,0.0,0.0,events/second
1775393912,19,0.011208605530403001,0.0,0.0,0.0,events/second
1775393942,19,0.011013430633057512,0.0,0.0,0.0,events/second
1775393972,19,0.010825098101115496,0.0,0.0,0.0,events/second
1775394002,19,0.010643087421385951,0.0,0.0,0.0,events/second
1775394032,19,0.010467128283536324,0.0,0.0,0.0,events/second
1775394062,19,0.010296841034236412,0.0,0.0,0.0,events/second
1775394092,19,0.010132065165690441,0.0,0.0,0.0,events/second
1775394122,19,0.009972460153763966,0.0,0.0,0.0,events/second
1775394152,19,0.009817754538061236,0.0,0.0,0.0,events/second
1775394182,19,0.009667728298754742,0.0,0.0,0.0,events/second
1775394212,19,0.00952231333402606,0.0,0.0,0.0,events/second
1775394242,19,0.009381212991900423,0.0,0.0,0.0,events/second
1775394272,19,0.009244196392195885,0.0,0.0,0.0,events/second
1775394302,19,0.009111113443577465,0.0,0.0,0.0,events/second
1775394332,19,0.00898181036284198,0.0,0.0,0.0,events/second
1775394362,19,0.008856142600383208,0.0,0.0,0.0,events/second
1775394392,19,0.008733969348179898,0.0,0.0,0.0,events/second
1775394422,19,0.008615042532707793,0.0,0.0,0.0,events/second
1775394452,108,0.04831234265566068,0.0,0.0,0.0,events/second
1775394482,1277,0.563678312869342,0.0,0.0,0.0,events/second
1775394512,1278,0.5567426266512628,0.0,0.0,0.0,events/second
1775394542,1278,0.5495531527413722,0.0,0.0,0.0,events/second
1775394572,1279,0.5429762416615616,0.0,0.0,0.0,events/second
1775394602,1280,0.5365645501611533,0.0,0.0,0.0,events/second
1775394632,1280,0.5298943380452213,0.0,0.0,0.0,events/second
1775394662,1280,0.5233918572048315,0.0,0.0,0.0,events/second
1775394692,1280,0.517037255543863,0.0,0.0,0.0,events/second
1775394722,1280,0.5108421433430117,0.0,0.0,0.0,events/second
1775394752,1280,0.5047966462350074,0.0,0.0,0.0,events/second
1775394782,1281,0.49928019781405975,0.0,0.0,0.0,events/second
1775394812,1281,0.49350664250960613,0.0,0.0,0.0,events/second
1775394842,1281,0.4878644538031251,0.0,0.0,0.0,events/second
