t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1775392230,0,0.0,0.0,0.0,0.0,events/second
1775392260,0,0.0,0.0,0.0,0.0,events/second
1775392290,0,0.0,0.0,0.0,0.0,events/second
1775392320,0,0.0,0.0,0.0,0.0,events/second
1775392350,0,0.0,0.0,0.0,0.0,events/second
1775392380,0,0.0,0.0,0.0,0.0,events/second
1775392410,0,0.0,0.0,0.0,0.0,events/second
1775392440,3,0.013418847617581966,0.0,0.0,0.0,events/second
1775392470,4,0.015771367338959695,0.0,0.0,0.0,events/second
1775392500,4,0.014099668942522665,0.0,0.0,0.0,events/second
1775392530,5,0.01593568951832677,0.0,0.0,0.0,events/second
1775392561,5,0.014543518334598493,0.0,0.0,0.0,events/second
1775392591,5,0.013375466344796305,0.0,0.0,0.0,events/second
1775392621,5,0.012380296436531636,0.0,0.0,0.0,events/second
1775392651,6,0.01382816601569081,0.0,0.0,0.0,events/second
1775392681,6,0.01293344596835751,0.0,0.0,0.0,events/second
1775392711,10,0.020245575777094214,0.0,0.0,0.0,events/second
1775392741,11,0.020994090343544904,0.0,0.0,0.0,events/second
1775392771,11,0.019851174632117236,0.0,0.0,0.0,events/second
1775392801,11,0.018830914136607715,0.0,0.0,0.0,events/second
1775392831,13,0.021166919338272364,0.0,0.0,0.0,events/second
1775392861,13,0.020180717471154606,0.0,0.0,0.0,events/second
1775392891,13,0.019282294588250263,0.0,0.0,0.0,events/second
1775392921,13,0.018460391919584727,0.0,0.0,0.0,events/second
1775392951,13,0.01770573038482553,0.0,0.0,0.0,events/second
1775392981,13,0.01700988114685877,0.0,0.0,0.0,events/second
1775393011,13,0.01636675619149691,0.0,0.0,0.0,events/second
1775393041,13,0.015770598163657064,0.0,0.0,0.0,events/second
1775393071,13,0.01521613121173892,0.0,0.0,0.0,events/second
1775393101,13,0.014699159743779187,0.0,0.0,0.0,events/second
1775393131,13,0.014216443729419244,0.0,0.0,0.0,events/second
1775393161,13,0.013764692834557698,0.0,0.0,0.0,events/second
1775393191,13,0.013340636467052148,0.0,0.0,0.0,events/second
1775393221,13,0.012941952211086646,0.0,0.0,0.0,events/second
1775393251,13,0.01256627148662405,0.0,0.0,0.0,events/second
1775393281,13,0.012211681496521246,0.0,0.0,0.0,events/second
1775393311,13,0.011876704826462936,0.0,0.0,0.0,events/second
1775393341,13,0.011559665814112533,0.0,0.0,0.0,events/second
1775393371,13,0.011258997190452532,0.0,0.0,0.0,events/second
1775393401,13,0.01097365239220573,0.0,0.0,0.0,events/second
1775393431,13,0.010702495594042304,0.0,0.0,0.0,events/second
1775393461,13,0.010444441056589133,0.0,0.0,0.0,events/second
1775393491,13,0.010198520873936821,0.0,0.0,0.0,events/second
1775393521,13,0.009963534232667,0.0,0.0,0.0,events/second
1775393552,13,0.00973943074175818,0.0,0.0,0.0,events/second
1775393582,13,0.009524680561778019,0.0,0.0,0.0,events/second
1775393612,13,0.0093197413904678,0.0,0.0,0.0,events/second
1775393642,13,0.009123461595501798,0.0,0.0,0.0,events/second
1775393672,13,0.00893518516671659,0.0,0.0,0.0,events/second
1775393702,13,0.00875454532432496,0.0,0.0,0.0,events/second
1775393732,13,0.008581085409806047,0.0,0.0,0.0,events/second
1775393762,13,0.008414374159569112,0.0,0.0,0.0,events/second
1775393792,13,0.008253655833967418,0.0,0.0,0.0,events/second
1775393822,13,0.00809932364718218,0.0,0.0,0.0,events/second
1775393852,13,0.00795067277017219,0.0,0.0,0.0,events/second
1775393882,13,0.007807335661411002,0.0,0.0,0.0,events/second
1775393912,13,0.007669046166554995,0.0,0.0,0.0,events/second
1775393942,13,0.007535505956661357,0.0,0.0,0.0,events/second
1775393972,13,0.007406646918645701,0.0,0.0,0.0,events/second
1775394002,13,0.0072821131894356145,0.0,0.0,0.0,events/second
1775394032,13,0.007161720174904195,0.0,0.0,0.0,events/second
1775394062,13,0.007045207816056845,0.0,0.0,0.0,events/second
1775394092,13,0.006932466413803891,0.0,0.0,0.0,events/second
1775394122,13,0.0068232629525156385,0.0,0.0,0.0,events/second
1775394152,13,0.006717411695323992,0.0,0.0,0.0,events/second
1775394182,13,0.00661476198690809,0.0,0.0,0.0,events/second
1775394212,13,0.006515267673360585,0.0,0.0,0.0,events/second
1775394242,13,0.006418725315684569,0.0,0.0,0.0,events/second
1775394272,13,0.0063249771208025735,0.0,0.0,0.0,events/second
1775394302,13,0.006233920327209202,0.0,0.0,0.0,events/second
1775394332,13,0.0061454497990219795,0.0,0.0,0.0,events/second
1775394362,13,0.00605946651196646,0.0,0.0,0.0,events/second
1775394392,13,0.0059758743386682765,0.0,0.0,0.0,events/second
1775394422,13,0.005894503321948823,0.0,0.0,0.0,events/second
1775394452,14,0.006262711644740653,0.0,0.0,0.0,events/second
1775394482,35,0.015449289539350751,0.0,0.0,0.0,events/second
1775394512,36,0.01568289229488388,0.0,0.0,0.0,events/second
1775394542,36,0.015480371886351577,0.0,0.0,0.0,events/second
1775394572,37,0.015707679993805162,0.0,0.0,0.0,events/second
1775394602,38,0.015929261428406127,0.0,0.0,0.0,events/second
1775394632,38,0.015731239166234794,0.0,0.0,0.0,events/second
1775394662,38,0.015538197079768954,0.0,0.0,0.0,events/second
1775394692,38,0.01534954481670511,0.0,0.0,0.0,events/second
1775394722,38,0.015165627397290712,0.0,0.0,0.0,events/second
1775394752,38,0.014986151661452575,0.0,0.0,0.0,events/second
1775394782,39,0.015200569272980838,0.0,0.0,0.0,events/second
1775394812,39,0.015024793589614891,0.0,0.0,0.0,events/second
1775394842,39,0.014853017200474187,0.0,0.0,0.0,events/second
