t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1775392230,1,0.07690879850883069,0.0,0.0,0.0,events/second
1775392260,1,0.023177780833639416,0.0,0.0,0.0,events/second
1775392290,1,0.013666129889783468,0.0,0.0,0.0,events/second
1775392320,1,0.009689020603674216,0.0,0.0,0.0,events/second
1775392350,1,0.0075054238170376535,0.0,0.0,0.0,events/second
1775392380,1,0.006124168692404387,0.0,0.0,0.0,events/second
1775392410,1,0.005168977869243002,0.0,0.0,0.0,events/second
1775392440,1,0.004473001827612634,0.0,0.0,0.0,events/second
1775392470,4,0.015771538856752903,0.0,0.0,0.0,events/second
1775392500,4,0.014099761286036011,0.0,0.0,0.0,events/second
1775392530,4,0.012748664757839902,0.0,0.0,0.0,events/second
1775392561,4,0.011634908005292634,0.0,0.0,0.0,events/second
1775392591,4,0.010700452523715544,0.0,0.0,0.0,events/second
1775392621,4,0.009904304608869105,0.0,0.0,0.0,events/second
1775392651,4,0.009218836460334197,0.0,0.0,0.0,events/second
1775392681,5,0.010777936408260167,0.0,0.0,0.0,events/second
1775392711,5,0.010122844997914854,0.0,0.0,0.0,events/second
1775392741,5,0.00954281911576995,0.0,0.0,0.0,events/second
1775392771,5,0.00902330348414134,0.0,0.0,0.0,events/second
1775392801,5,0.008559547176001353,0.0,0.0,0.0,events/second
1775392831,6,0.009769391599743759,0.0,0.0,0.0,events/second
1775392861,6,0.009314217564267018,0.0,0.0,0.0,events/second
1775392891,6,0.0088995572258619,0.0,0.0,0.0,events/second
1775392921,6,0.008520214517445406,0.0,0.0,0.0,events/second
1775392951,6,0.00817190661483601,0.0,0.0,0.0,events/second
1775392981,6,0.00785074299313926,0.0,0.0,0.0,events/second
1775393011,6,0.007553913997046923,0.0,0.0,0.0,events/second
1775393041,6,0.007278762225064657,0.0,0.0,0.0,events/second
1775393071,6,0.007022852469150163,0.0,0.0,0.0,events/second
1775393101,6,0.006784248975323204,0.0,0.0,0.0,events/second
1775393131,6,0.006561455577540331,0.0,0.0,0.0,events/second
1775393161,6,0.006352953911004073,0.0,0.0,0.0,events/second
1775393191,6,0.006157234452810553,0.0,0.0,0.0,events/second
1775393221,6,0.0059732253090455985,0.0,0.0,0.0,events/second
1775393251,6,0.00579983325423329,0.0,0.0,0.0,events/second
1775393281,6,0.005636175453073235,0.0,0.0,0.0,events/second
1775393311,6,0.005481570009798107,0.0,0.0,0.0,events/second
1775393341,6,0.00533524360758503,0.0,0.0,0.0,events/second
1775393371,6,0.005196472764961113,0.0,0.0,0.0,events/second
1775393401,6,0.005064774563413124,0.0,0.0,0.0,events/second
1775393431,6,0.004939624689293603,0.0,0.0,0.0,events/second
1775393461,6,0.004820522037095509,0.0,0.0,0.0,events/second
1775393491,6,0.004707019937028462,0.0,0.0,0.0,events/second
1775393521,6,0.004598563978865594,0.0,0.0,0.0,events/second
1775393552,6,0.0044951312362648335,0.0,0.0,0.0,events/second
1775393582,6,0.004396015275532659,0.0,0.0,0.0,events/second
1775393612,6,0.004301427703752256,0.0,0.0,0.0,events/second
1775393642,6,0.004210836668931342,0.0,0.0,0.0,events/second
1775393672,6,0.004123939516220741,0.0,0.0,0.0,events/second
1775393702,6,0.004040566944907485,0.0,0.0,0.0,events/second
1775393732,6,0.003960508109435313,0.0,0.0,0.0,events/second
1775393762,6,0.0038835643155562967,0.0,0.0,0.0,events/second
1775393792,6,0.0038093862887438592,0.0,0.0,0.0,events/second
1775393822,6,0.0037381553706084193,0.0,0.0,0.0,events/second
1775393852,6,0.003669547536882662,0.0,0.0,0.0,events/second
