t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1775392230,1,0.07685766927288717,0.0,0.0,0.0,events/second
1775392260,1,0.02317429508301758,0.0,0.0,0.0,events/second
1775392290,1,0.013664908045383374,0.0,0.0,0.0,events/second
1775392320,1,0.009688401044912654,0.0,0.0,0.0,events/second
1775392350,1,0.007505062919197822,0.0,0.0,0.0,events/second
1775392380,1,0.006123915931158898,0.0,0.0,0.0,events/second
1775392410,1,0.005168789933983807,0.0,0.0,0.0,events/second
1775392440,4,0.017891399239714025,0.0,0.0,0.0,events/second
1775392470,4,0.015771142105484817,0.0,0.0,0.0,events/second
1775392500,4,0.014099431101420016,0.0,0.0,0.0,events/second
1775392530,4,0.012748402592646715,0.0,0.0,0.0,events/second
1775392561,4,0.011634691229461461,0.0,0.0,0.0,events/second
1775392591,4,0.010700269547761609,0.0,0.0,0.0,events/second
1775392621,4,0.009904146064959585,0.0,0.0,0.0,events/second
1775392651,4,0.009218701082367118,0.0,0.0,0.0,events/second
1775392681,4,0.008622230945850604,0.0,0.0,0.0,events/second
1775392711,4,0.008098171630724607,0.0,0.0,0.0,events/second
1775392741,4,0.007634162201602967,0.0,0.0,0.0,events/second
1775392771,4,0.007218558598706263,0.0,0.0,0.0,events/second
1775392801,4,0.006847563047963127,0.0,0.0,0.0,events/second
1775392831,4,0.006512860195560787,0.0,0.0,0.0,events/second
1775392861,4,0.00620941699883459,0.0,0.0,0.0,events/second
1775392891,4,0.005932982090964574,0.0,0.0,0.0,events/second
1775392921,4,0.0056800915816274744,0.0,0.0,0.0,events/second
1775392951,4,0.005447890664432151,0.0,0.0,0.0,events/second
1775392981,4,0.0052337851391463545,0.0,0.0,0.0,events/second
1775393011,4,0.0050359023579625755,0.0,0.0,0.0,events/second
1775393041,4,0.0048524700121223095,0.0,0.0,0.0,events/second
1775393071,4,0.00468186647594656,0.0,0.0,0.0,events/second
1775393101,4,0.004522800169365027,0.0,0.0,0.0,events/second
1775393131,4,0.004374273354458904,0.0,0.0,0.0,events/second
1775393161,4,0.004235273882853769,0.0,0.0,0.0,events/second
1775393191,4,0.004104796223810857,0.0,0.0,0.0,events/second
1775393221,4,0.003982125046251275,0.0,0.0,0.0,events/second
1775393251,4,0.0038665317746762098,0.0,0.0,0.0,events/second
