t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1775392230,0,0.0,0.0,0.0,0.0,events/second
1775392260,0,0.0,0.0,0.0,0.0,events/second
1775392290,0,0.0,0.0,0.0,0.0,events/second
1775392320,0,0.0,0.0,0.0,0.0,events/second
1775392350,0,0.0,0.0,0.0,0.0,events/second
1775392380,0,0.0,0.0,0.0,0.0,events/second
1775392410,0,0.0,0.0,0.0,0.0,events/second
1775392440,1,0.004472950422303282,0.0,0.0,0.0,events/second
1775392470,1,0.003942890175624987,0.0,0.0,0.0,events/second
1775392500,1,0.00352494082845741,0.0,0.0,0.0,events/second
1775392530,1,0.003187168948382855,0.0,0.0,0.0,events/second
1775392561,1,0.0029087297645880414,0.0,0.0,0.0,events/second
1775392591,1,0.002675110177555917,0.0,0.0,0.0,events/second
1775392621,1,0.0024760775745992156,0.0,0.0,0.0,events/second
1775392651,1,0.0023047110134810124,0.0,0.0,0.0,events/second
1775392681,1,0.002155589028758704,0.0,0.0,0.0,events/second
1775392711,2,0.004049141012664491,0.0,0.0,0.0,events/second
1775392741,2,0.0038171301043467497,0.0,0.0,0.0,events/second
1775392771,2,0.0036093225296288133,0.0,0.0,0.0,events/second
1775392801,2,0.0034238207419043814,0.0,0.0,0.0,events/second
1775392831,2,0.003256465774872388,0.0,0.0,0.0,events/second
1775392861,2,0.0031047405829115983,0.0,0.0,0.0,events/second
1775392891,2,0.002966520642170045,0.0,0.0,0.0,events/second
1775392921,2,0.0028400729117207045,0.0,0.0,0.0,events/second
1775392951,2,0.002723970317772021,0.0,0.0,0.0,events/second
1775392981,2,0.0026169156154345775,0.0,0.0,0.0,events/second
1775393011,2,0.0025179725290584484,0.0,0.0,0.0,events/second
1775393041,2,0.0024262547867248594,0.0,0.0,0.0,events/second
1775393071,2,0.002340951611081618,0.0,0.0,0.0,events/second
1775393101,2,0.0022614172417932867,0.0,0.0,0.0,events/second
1775393131,2,0.0021871527857702643,0.0,0.0,0.0,events/second
1775393161,2,0.00211765195974283,0.0,0.0,0.0,events/second
1775393191,2,0.0020524122972623363,0.0,0.0,0.0,events/second
1775393221,2,0.0019910758774571466,0.0,0.0,0.0,events/second
1775393251,2,0.001933278469584068,0.0,0.0,0.0,events/second
1775393281,2,0.0018787258340038453,0.0,0.0,0.0,events/second
1775393311,2,0.001827190636936959,0.0,0.0,0.0,events/second
1775393341,2,0.0017784124487599494,0.0,0.0,0.0,events/second
1775393371,2,0.001732158123736547,0.0,0.0,0.0,events/second
1775393401,2,0.0016882586727687166,0.0,0.0,0.0,events/second
1775393431,2,0.001646542095286797,0.0,0.0,0.0,events/second
1775393461,2,0.001606841127385316,0.0,0.0,0.0,events/second
1775393491,2,0.0015690070567938317,0.0,0.0,0.0,events/second
1775393521,2,0.0015328549144407342,0.0,0.0,0.0,events/second
1775393552,2,0.0014983773856648076,0.0,0.0,0.0,events/second
1775393582,2,0.0014653382280630863,0.0,0.0,0.0,events/second
1775393612,2,0.0014338096378311187,0.0,0.0,0.0,events/second
1775393642,2,0.0014036126057729475,0.0,0.0,0.0,events/second
1775393672,2,0.0013746466165185198,0.0,0.0,0.0,events/second
1775393702,2,0.0013468559828078914,0.0,0.0,0.0,events/second
1775393732,2,0.0013201693508147372,0.0,0.0,0.0,events/second
1775393762,2,0.0012945217658835956,0.0,0.0,0.0,events/second
1775393792,2,0.001269795633628063,0.0,0.0,0.0,events/second
1775393822,2,0.0012460520809356623,0.0,0.0,0.0,events/second
1775393852,2,0.001223182802028667,0.0,0.0,0.0,events/second
1775393882,2,0.001201130756721889,0.0,0.0,0.0,events/second
1775393912,2,0.0011798554447751647,0.0,0.0,0.0,events/second
1775393942,2,0.0011593106296881172,0.0,0.0,0.0,events/second
1775393972,2,0.0011394861288962785,0.0,0.0,0.0,events/second
1775394002,2,0.0011203269771527201,0.0,0.0,0.0,events/second
1775394032,2,0.0011018050387817228,0.0,0.0,0.0,events/second
1775394062,2,0.0010838799947616492,0.0,0.0,0.0,events/second
1775394092,2,0.0010665351056080997,0.0,0.0,0.0,events/second
1775394122,2,0.0010497345129092703,0.0,0.0,0.0,events/second
1775394152,2,0.0010334488415021357,0.0,0.0,0.0,events/second
1775394182,2,0.001017657338542173,0.0,0.0,0.0,events/second
1775394212,2,0.0010023503632539768,0.0,0.0,0.0,events/second
1775394242,2,9.87497672939515E-4,0.0,0.0,0.0,events/second
1775394272,2,9.730749114275567E-4,0.0,0.0,0.0,events/second
1775394302,2,9.590661213181666E-4,0.0,0.0,0.0,events/second
1775394332,2,9.454552412030245E-4,0.0,0.0,0.0,events/second
1775394362,2,9.322269386097987E-4,0.0,0.0,0.0,events/second
1775394392,2,9.193666306818002E-4,0.0,0.0,0.0,events/second
1775394422,2,9.068479640163337E-4,0.0,0.0,0.0,events/second
1775394452,2,8.946743417944121E-4,0.0,0.0,0.0,events/second
1775394482,2,8.828177678922496E-4,0.0,0.0,0.0,events/second
1775394512,2,8.712730035452226E-4,0.0,0.0,0.0,events/second
1775394542,2,8.600217478033877E-4,0.0,0.0,0.0,events/second
1775394572,2,8.490649329403762E-4,0.0,0.0,0.0,events/second
1775394602,2,8.38383292829199E-4,0.0,0.0,0.0,events/second
1775394632,2,8.279610397854016E-4,0.0,0.0,0.0,events/second
1775394662,2,8.178009135371782E-4,0.0,0.0,0.0,events/second
1775394692,2,8.0787182270567E-4,0.0,0.0,0.0,events/second
1775394722,2,7.981919260389059E-4,0.0,0.0,0.0,events/second
1775394752,2,7.887458174691444E-4,0.0,0.0,0.0,events/second
1775394782,2,7.795173257023525E-4,0.0,0.0,0.0,events/second
1775394812,2,7.705031819787353E-4,0.0,0.0,0.0,events/second
1775394842,2,7.616940877371673E-4,0.0,0.0,0.0,events/second
