t,value
1775392230,237
1775392260,237
1775392290,237
1775392320,237
1775392350,237
1775392380,237
1775392410,237
1775392440,237
1775392470,237
1775392500,237
1775392530,237
1775392561,237
1775392591,237
1775392621,237
1775392651,237
1775392681,237
1775392711,237
1775392741,237
1775392771,237
1775392801,237
1775392831,237
1775392861,237
1775392891,237
1775392921,237
1775392951,237
1775392981,237
1775393011,237
1775393041,237
1775393071,237
1775393101,237
1775393131,176
1775393161,176
1775393191,176
1775393221,176
1775393251,176
1775393281,176
1775393311,176
1775393341,176
1775393371,176
1775393401,176
1775393431,176
1775393461,176
1775393491,176
1775393521,176
1775393552,176
1775393582,176
1775393612,176
1775393642,176
1775393672,176
1775393702,176
1775393732,176
1775393762,176
1775393792,176
1775393822,176
1775393852,176
1775393882,176
1775393912,176
1775393942,176
1775393972,176
1775394002,176
1775394032,176
1775394062,176
1775394092,176
1775394122,176
1775394152,176
1775394182,176
1775394212,176
1775394242,176
1775394272,176
1775394302,176
1775394332,176
1775394362,176
1775394392,176
1775394422,176
1775394452,176
1775394482,176
1775394512,176
1775394542,176
1775394572,176
1775394602,176
1775394632,176
1775394662,176
1775394692,176
1775394722,176
1775394752,176
1775394782,176
1775394812,176
1775394842,176
