t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1775392230,1,0.043224434399306816,0.0,0.0,0.0,events/second
1775392260,1,0.018773209436158483,0.0,0.0,0.0,events/second
1775392290,1,0.012005338990345107,0.0,0.0,0.0,events/second
1775392320,1,0.008823372726830843,0.0,0.0,0.0,events/second
1775392350,1,0.006975477496110361,0.0,0.0,0.0,events/second
1775392380,1,0.005766646093022623,0.0,0.0,0.0,events/second
1775392410,1,0.004911942091424976,0.0,0.0,0.0,events/second
1775392440,1,0.0042791876052023295,0.0,0.0,0.0,events/second
1775392470,1,0.0037915588476085424,0.0,0.0,0.0,events/second
1775392500,1,0.0034034778130358112,0.0,0.0,0.0,events/second
1775392530,1,0.0030875432738718543,0.0,0.0,0.0,events/second
1775392561,1,0.002825534718353094,0.0,0.0,0.0,events/second
1775392591,1,0.002604579448421308,0.0,0.0,0.0,events/second
1775392621,1,0.002415528876677886,0.0,0.0,0.0,events/second
1775392651,1,0.002252168297606508,0.0,0.0,0.0,events/second
1775392681,1,0.0021095580688995402,0.0,0.0,0.0,events/second
1775392711,1,0.001983912302772354,0.0,0.0,0.0,events/second
1775392741,1,0.0018723908259585642,0.0,0.0,0.0,events/second
1775392771,1,0.001772285182117693,0.0,0.0,0.0,events/second
1775392801,1,0.0016827498790152478,0.0,0.0,0.0,events/second
1775392831,1,0.0016018312773332054,0.0,0.0,0.0,events/second
1775392861,1,0.00152835359560849,0.0,0.0,0.0,events/second
1775392891,1,0.001461319238866409,0.0,0.0,0.0,events/second
1775392921,1,0.0013999133456998804,0.0,0.0,0.0,events/second
1775392951,1,0.0013434630399975765,0.0,0.0,0.0,events/second
1775392981,1,0.0012913536723990308,0.0,0.0,0.0,events/second
1775393011,1,0.001243143164788966,0.0,0.0,0.0,events/second
1775393041,1,0.0011984108383915743,0.0,0.0,0.0,events/second
1775393071,1,0.0011567699235522245,0.0,0.0,0.0,events/second
1775393101,1,0.0011179132925308337,0.0,0.0,0.0,events/second
