t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1775392230,1277952,55249.18773510158,0.0,0.0,0.0,events/second
1775392260,1277952,23993.673272818614,0.0,0.0,0.0,events/second
1775392290,1277952,15343.232226115506,0.0,0.0,0.0,events/second
1775392320,1277952,11276.204494537456,0.0,0.0,0.0,events/second
1775392350,1277952,8914.660881222297,0.0,0.0,0.0,events/second
1775392380,1277952,7369.7209263452105,0.0,0.0,0.0,events/second
1775392410,1277952,6277.38934164579,0.0,0.0,0.0,events/second
1775392440,1277952,5468.707579349944,0.0,0.0,0.0,events/second
1775392470,1277952,4845.529688213829,0.0,0.0,0.0,events/second
1775392500,1277952,4349.56036949057,0.0,0.0,0.0,events/second
1775392530,1277952,3945.7970193006577,0.0,0.0,0.0,events/second
1775392561,1277952,3610.952954174817,0.0,0.0,0.0,events/second
1775392591,1277952,3328.574365443531,0.0,0.0,0.0,events/second
1775392621,1277952,3086.9695255589354,0.0,0.0,0.0,events/second
1775392651,1277952,2878.198052132388,0.0,0.0,0.0,events/second
1775392681,1277952,2695.9447855659832,0.0,0.0,0.0,events/second
1775392711,1277952,2535.371949463973,0.0,0.0,0.0,events/second
1775392741,1277952,2392.8498162113156,0.0,0.0,0.0,events/second
1775392771,1277952,2264.916963914185,0.0,0.0,0.0,events/second
1775392801,1277952,2150.4931366687747,0.0,0.0,0.0,events/second
1775392831,1277952,2047.0812246743774,0.0,0.0,0.0,events/second
1775392861,1277952,1953.1786516240643,0.0,0.0,0.0,events/second
1775392891,1277952,1867.5106115434364,0.0,0.0,0.0,events/second
1775392921,1277952,1789.0356012664147,0.0,0.0,0.0,events/second
1775392951,1277952,1716.8937824179538,0.0,0.0,0.0,events/second
1775392981,1277952,1650.29917690976,0.0,0.0,0.0,events/second
1775393011,1277952,1588.688000614974,0.0,0.0,0.0,events/second
1775393041,1277952,1531.5214632712741,0.0,0.0,0.0,events/second
1775393071,1277952,1478.3056567873111,0.0,0.0,0.0,events/second
1775393101,1277952,1428.6481830466646,0.0,0.0,0.0,events/second
1775393131,2572288,2782.211274605852,0.0,0.0,0.0,events/second
1775393161,2572288,2694.7383292701893,0.0,0.0,0.0,events/second
1775393191,2572288,2612.573177973482,0.0,0.0,0.0,events/second
1775393221,2572288,2535.2747186718047,0.0,0.0,0.0,events/second
1775393251,2572288,2462.393092854734,0.0,0.0,0.0,events/second
1775393281,2572288,2393.5642141449275,0.0,0.0,0.0,events/second
1775393311,2572288,2328.507838801378,0.0,0.0,0.0,events/second
1775393341,2572288,2266.8999755530403,0.0,0.0,0.0,events/second
1775393371,2572288,2208.4536103493097,0.0,0.0,0.0,events/second
1775393401,2572288,2152.9570232517253,0.0,0.0,0.0,events/second
1775393431,2572288,2100.1972402381243,0.0,0.0,0.0,events/second
1775393461,2572288,2049.966160900178,0.0,0.0,0.0,events/second
1775393491,2572288,2002.078431893612,0.0,0.0,0.0,events/second
1775393521,2572288,1956.302567139222,0.0,0.0,0.0,events/second
1775393552,2572288,1912.6318375355288,0.0,0.0,0.0,events/second
1775393582,2572288,1870.7673395575596,0.0,0.0,0.0,events/second
1775393612,2572288,1830.8066757367344,0.0,0.0,0.0,events/second
1775393642,2572288,1792.5204816024784,0.0,0.0,0.0,events/second
1775393672,2572288,1755.7841069662393,0.0,0.0,0.0,events/second
1775393702,2572288,1720.5284045536234,0.0,0.0,0.0,events/second
1775393732,2572288,1686.6638227636463,0.0,0.0,0.0,events/second
1775393762,2572288,1654.1095406150341,0.0,0.0,0.0,events/second
1775393792,2572288,1622.7164269226846,0.0,0.0,0.0,events/second
1775393822,2572288,1592.5640398625728,0.0,0.0,0.0,events/second
1775393852,2572288,1563.5148305880116,0.0,0.0,0.0,events/second
1775393882,2572288,1535.4969931600076,0.0,0.0,0.0,events/second
1775393912,2572288,1508.4608583513716,0.0,0.0,0.0,events/second
1775393942,2572288,1482.347028179808,0.0,0.0,0.0,events/second
1775393972,2572288,1457.1439527270363,0.0,0.0,0.0,events/second
1775394002,2572288,1432.781671516647,0.0,0.0,0.0,events/second
1775394032,2572288,1409.2254815807441,0.0,0.0,0.0,events/second
1775394062,2572288,1386.4241214505228,0.0,0.0,0.0,events/second
1775394092,2572288,1364.3567973454303,0.0,0.0,0.0,events/second
1775394122,2572288,1342.978287203038,0.0,0.0,0.0,events/second
1775394152,2572288,1322.2509272159537,0.0,0.0,0.0,events/second
1775394182,2572288,1302.1504950416497,0.0,0.0,0.0,events/second
1775394212,2572288,1282.6631817691164,0.0,0.0,0.0,events/second
