t,value
1775392230,57
1775392260,57
1775392290,57
1775392320,57
1775392350,57
1775392380,57
1775392410,57
1775392440,57
1775392470,57
1775392500,57
1775392530,57
1775392561,57
1775392591,57
1775392621,57
1775392651,57
1775392681,57
1775392711,57
1775392741,57
1775392771,57
1775392801,57
1775392831,57
1775392861,57
1775392891,57
1775392921,57
1775392951,57
1775392981,57
1775393011,57
1775393041,57
1775393071,57
1775393101,57
1775393131,111
1775393161,111
1775393191,111
1775393221,111
1775393251,111
1775393281,111
1775393311,111
1775393341,111
1775393371,111
1775393401,111
1775393431,111
1775393461,111
1775393491,111
1775393521,111
1775393552,111
1775393582,111
1775393612,111
1775393642,111
1775393672,111
1775393702,111
1775393732,111
1775393762,111
1775393792,111
1775393822,111
1775393852,111
1775393882,111
1775393912,111
1775393942,111
1775393972,111
1775394002,111
1775394032,111
1775394062,111
1775394092,111
1775394122,111
1775394152,111
1775394182,111
1775394212,111
1775394242,111
1775394272,111
1775394302,111
1775394332,111
1775394362,111
1775394392,111
1775394422,111
1775394452,111
1775394482,111
1775394512,111
1775394542,111
1775394572,111
1775394602,111
1775394632,111
1775394662,111
1775394692,111
1775394722,111
1775394752,111
1775394782,111
1775394812,111
1775394842,111
