t,value
1775392230,0
1775392260,0
1775392290,0
1775392320,0
1775392350,0
1775392380,0
1775392410,0
1775392440,0
1775392470,0
1775392500,0
1775392530,0
1775392561,0
1775392591,0
1775392621,0
1775392651,0
1775392681,0
1775392711,0
1775392741,0
1775392771,0
1775392801,0
1775392831,0
1775392861,0
1775392891,0
1775392921,0
1775392951,0
1775392981,0
1775393011,0
1775393041,0
1775393071,0
1775393101,0
1775393131,22
1775393161,22
1775393191,22
1775393221,22
1775393251,22
1775393281,22
1775393311,22
1775393341,22
1775393371,22
1775393401,22
1775393431,22
1775393461,22
1775393491,22
1775393521,22
1775393552,22
1775393582,22
1775393612,22
1775393642,22
1775393672,22
1775393702,22
1775393732,22
1775393762,22
1775393792,22
1775393822,22
1775393852,22
1775393882,22
1775393912,22
1775393942,22
1775393972,22
1775394002,22
1775394032,22
1775394062,22
1775394092,22
1775394122,22
1775394152,22
1775394182,22
1775394212,22
1775394242,22
1775394272,22
1775394302,22
1775394332,22
1775394362,22
1775394392,22
1775394422,22
1775394452,22
1775394482,22
1775394512,22
1775394542,22
1775394572,22
1775394602,22
1775394632,22
1775394662,22
1775394692,22
1775394722,22
1775394752,22
1775394782,22
1775394812,22
1775394842,22
