t,value
1775392230,74
1775392260,74
1775392290,74
1775392320,74
1775392350,74
1775392380,74
1775392410,74
1775392440,74
1775392470,74
1775392500,74
1775392530,74
1775392561,74
1775392591,74
1775392621,74
1775392651,74
1775392681,74
1775392711,74
1775392741,74
1775392771,74
1775392801,74
1775392831,74
1775392861,74
1775392891,74
1775392921,74
1775392951,74
1775392981,74
1775393011,74
1775393041,74
1775393071,74
1775393101,74
1775393131,113
1775393161,113
1775393191,113
1775393221,113
1775393251,113
1775393281,113
1775393311,113
1775393341,113
1775393371,113
1775393401,113
1775393431,113
1775393461,113
1775393491,113
1775393521,113
1775393552,113
1775393582,113
1775393612,113
1775393642,113
1775393672,113
1775393702,113
1775393732,113
1775393762,113
1775393792,113
1775393822,113
1775393852,113
1775393882,113
1775393912,113
1775393942,113
1775393972,113
1775394002,113
1775394032,113
1775394062,113
1775394092,113
1775394122,113
1775394152,113
1775394182,113
1775394212,113
1775394242,113
1775394272,113
1775394302,113
1775394332,113
1775394362,113
1775394392,113
1775394422,113
1775394452,113
1775394482,113
1775394512,113
1775394542,113
1775394572,113
1775394602,113
1775394632,113
1775394662,113
1775394692,113
1775394722,113
1775394752,113
1775394782,113
1775394812,113
1775394842,113
