t,value
1775392230,0
1775392260,0
1775392290,0
1775392320,0
1775392350,0
1775392380,0
1775392410,1
1775392440,15
1775392470,15
1775392500,15
1775392530,15
1775392561,15
1775392591,15
1775392621,15
1775392651,15
1775392681,15
1775392711,15
1775392741,15
1775392771,15
1775392801,15
1775392831,16
1775392861,16
1775392891,16
1775392921,16
1775392951,16
1775392981,16
1775393011,16
1775393041,16
1775393071,16
1775393101,16
1775393131,16
1775393161,16
1775393191,16
1775393221,16
1775393251,16
1775393281,16
1775393311,16
1775393341,16
1775393371,16
1775393401,16
1775393431,16
1775393461,16
1775393491,16
1775393521,16
1775393552,16
1775393582,16
1775393612,16
1775393642,16
1775393672,16
1775393702,16
1775393732,16
1775393762,16
1775393792,16
1775393822,16
1775393852,16
1775393882,16
1775393912,16
1775393942,16
1775393972,16
1775394002,16
1775394032,16
1775394062,16
1775394092,16
1775394122,16
1775394152,16
1775394182,16
1775394212,16
1775394242,16
1775394272,16
1775394302,16
1775394332,16
1775394362,16
1775394392,16
1775394422,16
1775394452,16
1775394482,16
1775394512,16
1775394542,16
1775394572,16
1775394602,16
1775394632,16
1775394662,16
1775394692,16
1775394722,16
1775394752,16
1775394782,16
1775394812,16
1775394842,16
