t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1775392230,0,0.0,0.0,0.0,0.0,events/second
1775392260,0,0.0,0.0,0.0,0.0,events/second
1775392290,0,0.0,0.0,0.0,0.0,events/second
1775392320,0,0.0,0.0,0.0,0.0,events/second
1775392350,0,0.0,0.0,0.0,0.0,events/second
1775392380,0,0.0,0.0,0.0,0.0,events/second
1775392410,2,0.009823179203609391,0.0,0.0,0.0,events/second
1775392440,30,0.1283665730886615,0.0,0.0,0.0,events/second
1775392470,30,0.11374127238193933,0.0,0.0,0.0,events/second
1775392500,30,0.10209968679757139,0.0,0.0,0.0,events/second
1775392530,30,0.09262217154024815,0.0,0.0,0.0,events/second
1775392561,30,0.08476299838164437,0.0,0.0,0.0,events/second
1775392591,30,0.0781347812944573,0.0,0.0,0.0,events/second
1775392621,30,0.07246356523546264,0.0,0.0,0.0,events/second
1775392651,30,0.06756310666779908,0.0,0.0,0.0,events/second
1775392681,30,0.06328502969839873,0.0,0.0,0.0,events/second
1775392711,35,0.06943516924218517,0.0,0.0,0.0,events/second
1775392741,35,0.06553089945914617,0.0,0.0,0.0,events/second
1775392771,35,0.062028576581890385,0.0,0.0,0.0,events/second
1775392801,35,0.05889498464768618,0.0,0.0,0.0,events/second
1775392831,37,0.05926654485587005,0.0,0.0,0.0,events/second
1775392861,37,0.05654797185019709,0.0,0.0,0.0,events/second
1775392891,37,0.05406779898902881,0.0,0.0,0.0,events/second
1775392921,37,0.05179586485433917,0.0,0.0,0.0,events/second
1775392951,37,0.04970728786103976,0.0,0.0,0.0,events/second
1775392981,37,0.04777929126961748,0.0,0.0,0.0,events/second
1775393011,37,0.04599557382181453,0.0,0.0,0.0,events/second
1775393041,37,0.04434052591602002,0.0,0.0,0.0,events/second
1775393071,37,0.042799849215761056,0.0,0.0,0.0,events/second
1775393101,37,0.04136220678937647,0.0,0.0,0.0,events/second
1775393131,37,0.04001876912719716,0.0,0.0,0.0,events/second
1775393161,37,0.03876060014691971,0.0,0.0,0.0,events/second
1775393191,37,0.03757877505056853,0.0,0.0,0.0,events/second
1775393221,37,0.03646694831774903,0.0,0.0,0.0,events/second
1775393251,37,0.035418649321886826,0.0,0.0,0.0,events/second
1775393281,37,0.03442864211519962,0.0,0.0,0.0,events/second
1775393311,37,0.03349289846217697,0.0,0.0,0.0,events/second
1775393341,37,0.03260675393338771,0.0,0.0,0.0,events/second
1775393371,37,0.03176607270373778,0.0,0.0,0.0,events/second
1775393401,37,0.030967838931399226,0.0,0.0,0.0,events/second
1775393431,37,0.03020896235290325,0.0,0.0,0.0,events/second
1775393461,37,0.02948645459620522,0.0,0.0,0.0,events/second
1775393491,37,0.028797646820432857,0.0,0.0,0.0,events/second
1775393521,37,0.0281392245817027,0.0,0.0,0.0,events/second
1775393552,37,0.02751107976914075,0.0,0.0,0.0,events/second
1775393582,37,0.02690891009687115,0.0,0.0,0.0,events/second
1775393612,37,0.026334127201955687,0.0,0.0,0.0,events/second
1775393642,37,0.02578343580301951,0.0,0.0,0.0,events/second
1775393672,37,0.02525502997338388,0.0,0.0,0.0,events/second
1775393702,37,0.024747920901614498,0.0,0.0,0.0,events/second
1775393732,37,0.024260815931041926,0.0,0.0,0.0,events/second
1775393762,37,0.023792569930007307,0.0,0.0,0.0,events/second
1775393792,37,0.023341016745206757,0.0,0.0,0.0,events/second
1775393822,37,0.022907314442375752,0.0,0.0,0.0,events/second
1775393852,37,0.022489477638398137,0.0,0.0,0.0,events/second
1775393882,37,0.022086471011275487,0.0,0.0,0.0,events/second
1775393912,37,0.021697593316835757,0.0,0.0,0.0,events/second
1775393942,37,0.02132197619554438,0.0,0.0,0.0,events/second
1775393972,37,0.020959462191221453,0.0,0.0,0.0,events/second
1775394002,37,0.020609033692064585,0.0,0.0,0.0,events/second
1775394032,37,0.020270213492202947,0.0,0.0,0.0,events/second
1775394062,37,0.019942242467817457,0.0,0.0,0.0,events/second
1775394092,37,0.019624830441445095,0.0,0.0,0.0,events/second
1775394122,37,0.019317326240928346,0.0,0.0,0.0,events/second
1775394152,37,0.019019177678261907,0.0,0.0,0.0,events/second
1775394182,37,0.01873006695842314,0.0,0.0,0.0,events/second
1775394212,37,0.018449765323986463,0.0,0.0,0.0,events/second
1775394242,37,0.018177733779026244,0.0,0.0,0.0,events/second
1775394272,37,0.01791355095532537,0.0,0.0,0.0,events/second
1775394302,37,0.01765690627272747,0.0,0.0,0.0,events/second
1775394332,37,0.017407518686861218,0.0,0.0,0.0,events/second
1775394362,37,0.017165104942738176,0.0,0.0,0.0,events/second
1775394392,37,0.01692940855411595,0.0,0.0,0.0,events/second
1775394422,37,0.016699940460781,0.0,0.0,0.0,events/second
1775394452,37,0.016476770694669008,0.0,0.0,0.0,events/second
1775394482,37,0.01625938538228305,0.0,0.0,0.0,events/second
1775394512,37,0.01604769528889548,0.0,0.0,0.0,events/second
1775394542,37,0.0158413617970736,0.0,0.0,0.0,events/second
1775394572,37,0.015640403877775096,0.0,0.0,0.0,events/second
1775394602,37,0.015444472465021541,0.0,0.0,0.0,events/second
1775394632,37,0.015253278857407144,0.0,0.0,0.0,events/second
1775394662,37,0.015066875150368128,0.0,0.0,0.0,events/second
1775394692,37,0.014884691008375311,0.0,0.0,0.0,events/second
1775394722,37,0.014707061582792036,0.0,0.0,0.0,events/second
1775394752,37,0.014533705468243837,0.0,0.0,0.0,events/second
1775394782,37,0.014364326288587836,0.0,0.0,0.0,events/second
1775394812,37,0.014198867628932148,0.0,0.0,0.0,events/second
1775394842,37,0.014037156113220659,0.0,0.0,0.0,events/second
