t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1775392230,0,0.0,0.0,0.0,0.0,events/second
1775392260,0,0.0,0.0,0.0,0.0,events/second
1775392290,0,0.0,0.0,0.0,0.0,events/second
1775392320,0,0.0,0.0,0.0,0.0,events/second
1775392350,0,0.0,0.0,0.0,0.0,events/second
1775392380,0,0.0,0.0,0.0,0.0,events/second
1775392410,2,0.009823109462451936,0.0,0.0,0.0,events/second
1775392440,2,0.008557719132274356,0.0,0.0,0.0,events/second
1775392470,2,0.007582713279071184,0.0,0.0,0.0,events/second
1775392500,2,0.006806593250522711,0.0,0.0,0.0,events/second
1775392530,2,0.0061747799593620135,0.0,0.0,0.0,events/second
1775392561,2,0.005650844710785984,0.0,0.0,0.0,events/second
1775392591,2,0.005208968488363361,0.0,0.0,0.0,events/second
1775392621,2,0.0048308891947839066,0.0,0.0,0.0,events/second
1775392651,2,0.004504194387677538,0.0,0.0,0.0,events/second
1775392681,2,0.004218990883416332,0.0,0.0,0.0,events/second
1775392711,2,0.003967714267006003,0.0,0.0,0.0,events/second
1775392741,2,0.003744614255887831,0.0,0.0,0.0,events/second
1775392771,2,0.0035444823664260994,0.0,0.0,0.0,events/second
1775392801,2,0.0033654206476329174,0.0,0.0,0.0,events/second
1775392831,2,0.0032035906571941633,0.0,0.0,0.0,events/second
1775392861,2,0.0030566412852807852,0.0,0.0,0.0,events/second
1775392891,2,0.0029225783881492206,0.0,0.0,0.0,events/second
1775392921,2,0.0027997715942973647,0.0,0.0,0.0,events/second
1775392951,2,0.0026868760139198687,0.0,0.0,0.0,events/second
1775392981,2,0.002582658612608593,0.0,0.0,0.0,events/second
1775393011,2,0.0024862434388403924,0.0,0.0,0.0,events/second
1775393041,2,0.0023967816256009592,0.0,0.0,0.0,events/second
1775393071,2,0.0023135017114083796,0.0,0.0,0.0,events/second
1775393101,2,0.0022357918406045365,0.0,0.0,0.0,events/second
1775393131,2,0.002163173847233725,0.0,0.0,0.0,events/second
1775393161,2,0.002095164854540321,0.0,0.0,0.0,events/second
1775393191,2,0.002031282612274079,0.0,0.0,0.0,events/second
1775393221,2,0.001971184024967053,0.0,0.0,0.0,events/second
1775393251,2,0.0019145193435817216,0.0,0.0,0.0,events/second
1775393281,2,0.0018610055588718043,0.0,0.0,0.0,events/second
1775393311,2,0.0018104249397872013,0.0,0.0,0.0,events/second
1775393341,2,0.0017625253355140695,0.0,0.0,0.0,events/second
1775393371,2,0.0017170831704880272,0.0,0.0,0.0,events/second
1775393401,2,0.0016739355185079983,0.0,0.0,0.0,events/second
1775393431,2,0.001632915255961104,0.0,0.0,0.0,events/second
1775393461,2,0.0015938608422929057,0.0,0.0,0.0,events/second
1775393491,2,0.0015566280216201536,0.0,0.0,0.0,events/second
1775393521,2,0.0015210376819684275,0.0,0.0,0.0,events/second
1775393552,2,0.0014870840168698597,0.0,0.0,0.0,events/second
1775393582,2,0.0014545343104853813,0.0,0.0,0.0,events/second
1775393612,2,0.0014234650952743195,0.0,0.0,0.0,events/second
1775393642,2,0.0013936980457917563,0.0,0.0,0.0,events/second
1775393672,2,0.0013651356169399383,0.0,0.0,0.0,events/second
1775393702,2,0.0013377243133300605,0.0,0.0,0.0,events/second
1775393732,2,0.0013113942943804191,0.0,0.0,0.0,events/second
1775393762,2,0.0012860838505622519,0.0,0.0,0.0,events/second
1775393792,2,0.0012616755673856355,0.0,0.0,0.0,events/second
1775393822,2,0.0012382322329136692,0.0,0.0,0.0,events/second
1775393852,2,0.0012156465174721655,0.0,0.0,0.0,events/second
1775393882,2,0.001193862391196786,0.0,0.0,0.0,events/second
1775393912,2,0.0011728420325831743,0.0,0.0,0.0,events/second
1775393942,2,0.0011525382092022868,0.0,0.0,0.0,events/second
1775393972,2,0.0011329431029547643,0.0,0.0,0.0,events/second
1775394002,2,0.0011140010321033524,0.0,0.0,0.0,events/second
1775394032,2,0.0010956864834716536,0.0,0.0,0.0,events/second
1775394062,2,0.0010779583388495584,0.0,0.0,0.0,events/second
1775394092,2,0.0010608009600073867,0.0,0.0,0.0,events/second
1775394122,2,0.0010441791311722227,0.0,0.0,0.0,events/second
1775394152,2,0.001028063004160221,0.0,0.0,0.0,events/second
1775394182,2,0.001012435425720699,0.0,0.0,0.0,events/second
1775394212,2,9.972840051176482E-4,0.0,0.0,0.0,events/second
1775394242,2,9.825795388261754E-4,0.0,0.0,0.0,events/second
1775394272,2,9.682994790441807E-4,0.0,0.0,0.0,events/second
1775394302,2,9.544268057341337E-4,0.0,0.0,0.0,events/second
1775394332,2,9.409464159643462E-4,0.0,0.0,0.0,events/second
1775394362,2,9.278429654729637E-4,0.0,0.0,0.0,events/second
1775394392,2,9.151026546420499E-4,0.0,0.0,0.0,events/second
1775394422,2,9.026989806571818E-4,0.0,0.0,0.0,events/second
1775394452,2,8.906357636275306E-4,0.0,0.0,0.0,events/second
1775394482,2,8.788852251514358E-4,0.0,0.0,0.0,events/second
1775394512,2,8.67442528574395E-4,0.0,0.0,0.0,events/second
1775394542,2,8.562893827869507E-4,0.0,0.0,0.0,events/second
1775394572,2,8.454267970671845E-4,0.0,0.0,0.0,events/second
1775394602,2,8.348359187795242E-4,0.0,0.0,0.0,events/second
1775394632,2,8.24501140217777E-4,0.0,0.0,0.0,events/second
1775394662,2,8.144252789321595E-4,0.0,0.0,0.0,events/second
1775394692,2,8.045774976905693E-4,0.0,0.0,0.0,events/second
1775394722,2,7.94975916829252E-4,0.0,0.0,0.0,events/second
1775394752,2,7.856053247247916E-4,0.0,0.0,0.0,events/second
1775394782,2,7.764497007846801E-4,0.0,0.0,0.0,events/second
1775394812,2,7.675059982247737E-4,0.0,0.0,0.0,events/second
1775394842,2,7.587648295803352E-4,0.0,0.0,0.0,events/second
