t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1775392230,0,0.0,0.0,0.0,0.0,events/second
1775392260,0,0.0,0.0,0.0,0.0,events/second
1775392290,0,0.0,0.0,0.0,0.0,events/second
1775392320,0,0.0,0.0,0.0,0.0,events/second
1775392350,0,0.0,0.0,0.0,0.0,events/second
1775392380,0,0.0,0.0,0.0,0.0,events/second
1775392410,1,0.004911540476768076,0.0,0.0,0.0,events/second
1775392440,30,0.12836546874413798,0.0,0.0,0.0,events/second
1775392470,30,0.11374042604465673,0.0,0.0,0.0,events/second
1775392500,30,0.1020986733874557,0.0,0.0,0.0,events/second
1775392530,30,0.09262155289370913,0.0,0.0,0.0,events/second
1775392561,30,0.08476255062939904,0.0,0.0,0.0,events/second
1775392591,30,0.07813442089501937,0.0,0.0,0.0,events/second
1775392621,30,0.07246324862096158,0.0,0.0,0.0,events/second
1775392651,30,0.06756284299230163,0.0,0.0,0.0,events/second
1775392681,30,0.06328479934527571,0.0,0.0,0.0,events/second
1775392711,35,0.06943493473773088,0.0,0.0,0.0,events/second
1775392741,35,0.06553069235190509,0.0,0.0,0.0,events/second
1775392771,35,0.06202838969073673,0.0,0.0,0.0,events/second
1775392801,35,0.058894813893012384,0.0,0.0,0.0,events/second
1775392831,37,0.059266381903715075,0.0,0.0,0.0,events/second
1775392861,37,0.05654782249332978,0.0,0.0,0.0,events/second
1775392891,37,0.05406765505111676,0.0,0.0,0.0,events/second
1775392921,37,0.05179573993713093,0.0,0.0,0.0,events/second
1775392951,37,0.049707175011853615,0.0,0.0,0.0,events/second
1775392981,37,0.047779154415597005,0.0,0.0,0.0,events/second
1775393011,37,0.04599547688212554,0.0,0.0,0.0,events/second
1775393041,37,0.04434043473250156,0.0,0.0,0.0,events/second
1775393071,37,0.0427997554957315,0.0,0.0,0.0,events/second
1775393101,37,0.04136212739304548,0.0,0.0,0.0,events/second
1775393131,37,0.040018695960336824,0.0,0.0,0.0,events/second
1775393161,37,0.038760530485147535,0.0,0.0,0.0,events/second
1775393191,37,0.037578710476602814,0.0,0.0,0.0,events/second
1775393221,37,0.03646688770238151,0.0,0.0,0.0,events/second
1775393251,37,0.03541859196508691,0.0,0.0,0.0,events/second
1775393281,37,0.03442858785914309,0.0,0.0,0.0,events/second
1775393311,37,0.033492847212331395,0.0,0.0,0.0,events/second
1775393341,37,0.032606705221640976,0.0,0.0,0.0,events/second
1775393371,37,0.03176602578143015,0.0,0.0,0.0,events/second
1775393401,37,0.030967794902670678,0.0,0.0,0.0,events/second
1775393431,37,0.030208920179368968,0.0,0.0,0.0,events/second
1775393461,37,0.029486414408824633,0.0,0.0,0.0,events/second
1775393491,37,0.028797607159561905,0.0,0.0,0.0,events/second
1775393521,37,0.02813918646544605,0.0,0.0,0.0,events/second
1775393552,37,0.027511044528170648,0.0,0.0,0.0,events/second
1775393582,37,0.026908874863116407,0.0,0.0,0.0,events/second
1775393612,37,0.026334095526540497,0.0,0.0,0.0,events/second
1775393642,37,0.02578340542055842,0.0,0.0,0.0,events/second
1775393672,37,0.025255000852782886,0.0,0.0,0.0,events/second
1775393702,37,0.024747891928999267,0.0,0.0,0.0,events/second
1775393732,37,0.02426078615492978,0.0,0.0,0.0,events/second
1775393762,37,0.02379254368351757,0.0,0.0,0.0,events/second
1775393792,37,0.023340990713956476,0.0,0.0,0.0,events/second
1775393822,37,0.022907289684363525,0.0,0.0,0.0,events/second
1775393852,37,0.022489454147149847,0.0,0.0,0.0,events/second
1775393882,37,0.022086447726837075,0.0,0.0,0.0,events/second
1775393912,37,0.0216975715920127,0.0,0.0,0.0,events/second
1775393942,37,0.021321949876378903,0.0,0.0,0.0,events/second
1775393972,37,0.020959441784019258,0.0,0.0,0.0,events/second
1775394002,37,0.020609013447278227,0.0,0.0,0.0,events/second
1775394032,37,0.020270194759352822,0.0,0.0,0.0,events/second
1775394062,37,0.019942224212649035,0.0,0.0,0.0,events/second
1775394092,37,0.019624812913701512,0.0,0.0,0.0,events/second
1775394122,37,0.019317309206735037,0.0,0.0,0.0,events/second
1775394152,37,0.019019161006474695,0.0,0.0,0.0,events/second
1775394182,37,0.01873005095272085,0.0,0.0,0.0,events/second
1775394212,37,0.018449749808480263,0.0,0.0,0.0,events/second
1775394242,37,0.018177716776185737,0.0,0.0,0.0,events/second
1775394272,37,0.017913532744101526,0.0,0.0,0.0,events/second
1775394302,37,0.017656891933172738,0.0,0.0,0.0,events/second
1775394332,37,0.017407504864168498,0.0,0.0,0.0,events/second
1775394362,37,0.017165090952884546,0.0,0.0,0.0,events/second
1775394392,37,0.016929395490366032,0.0,0.0,0.0,events/second
1775394422,37,0.016699927569381063,0.0,0.0,0.0,events/second
1775394452,37,0.01647675815945642,0.0,0.0,0.0,events/second
1775394482,37,0.01625937334356247,0.0,0.0,0.0,events/second
1775394512,37,0.016047683528202825,0.0,0.0,0.0,events/second
1775394542,37,0.015841350446737883,0.0,0.0,0.0,events/second
1775394572,37,0.01564039261590449,0.0,0.0,0.0,events/second
1775394602,37,0.015444461437772018,0.0,0.0,0.0,events/second
1775394632,37,0.015253268116581103,0.0,0.0,0.0,events/second
1775394662,37,0.01506686480298089,0.0,0.0,0.0,events/second
1775394692,37,0.014884680920488412,0.0,0.0,0.0,events/second
1775394722,37,0.014707051734824608,0.0,0.0,0.0,events/second
1775394752,37,0.014533695848785827,0.0,0.0,0.0,events/second
1775394782,37,0.014364316151467736,0.0,0.0,0.0,events/second
1775394812,37,0.014198858426902342,0.0,0.0,0.0,events/second
1775394842,37,0.014037146259542351,0.0,0.0,0.0,events/second
