t,value
1775392230,0
1775392260,0
1775392290,0
1775392320,0
1775392350,0
1775392380,0
1775392410,2
1775392440,26
1775392470,26
1775392500,26
1775392530,26
1775392561,26
1775392591,26
1775392621,26
1775392651,26
1775392681,26
1775392711,26
1775392741,26
1775392771,26
1775392801,26
1775392831,28
1775392861,28
1775392891,28
1775392921,28
1775392951,28
1775392981,28
1775393011,28
1775393041,28
1775393071,28
1775393101,28
1775393131,28
1775393161,28
1775393191,28
1775393221,28
1775393251,28
1775393281,28
1775393311,28
1775393341,28
1775393371,28
1775393401,28
1775393431,28
1775393461,28
1775393491,28
1775393521,28
1775393552,28
1775393582,28
1775393612,28
1775393642,28
1775393672,28
1775393702,28
1775393732,28
1775393762,28
1775393792,28
1775393822,28
1775393852,28
1775393882,28
1775393912,28
1775393942,28
1775393972,28
1775394002,28
1775394032,28
1775394062,28
1775394092,28
1775394122,28
1775394152,28
1775394182,28
1775394212,28
1775394242,28
1775394272,28
1775394302,28
1775394332,28
1775394362,28
1775394392,28
1775394422,28
1775394452,28
1775394482,28
1775394512,28
1775394542,28
1775394572,28
1775394602,28
1775394632,28
1775394662,28
1775394692,28
1775394722,28
1775394752,28
1775394782,28
1775394812,28
1775394842,28
