t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1775392230,0,0.0,0.0,0.0,0.0,events/second
1775392260,0,0.0,0.0,0.0,0.0,events/second
1775392290,0,0.0,0.0,0.0,0.0,events/second
1775392320,0,0.0,0.0,0.0,0.0,events/second
1775392350,0,0.0,0.0,0.0,0.0,events/second
1775392380,0,0.0,0.0,0.0,0.0,events/second
1775392410,0,0.0,0.0,0.0,0.0,events/second
1775392440,26,0.11124982647540888,0.0,0.0,0.0,events/second
1775392470,28,0.10615750896703947,0.0,0.0,0.0,events/second
1775392500,30,0.10209851122285588,0.0,0.0,0.0,events/second
1775392530,32,0.09879615535514756,0.0,0.0,0.0,events/second
1775392561,34,0.096064132876216,0.0,0.0,0.0,events/second
1775392591,36,0.0937612137679157,0.0,0.0,0.0,events/second
1775392621,38,0.09178670026500473,0.0,0.0,0.0,events/second
1775392651,40,0.09008370591466146,0.0,0.0,0.0,events/second
1775392681,42,0.08859866288307118,0.0,0.0,0.0,events/second
1775392711,96,0.19044999729101741,0.0,0.0,0.0,events/second
1775392741,98,0.1834858431151368,0.0,0.0,0.0,events/second
1775392771,100,0.17722387936661035,0.0,0.0,0.0,events/second
1775392801,102,0.17163622639689366,0.0,0.0,0.0,events/second
1775392831,104,0.1665865060675402,0.0,0.0,0.0,events/second
1775392861,106,0.16200178875986776,0.0,0.0,0.0,events/second
1775392891,108,0.15781901394098496,0.0,0.0,0.0,events/second
1775392921,110,0.15398726866215975,0.0,0.0,0.0,events/second
1775392951,112,0.15046490444660415,0.0,0.0,0.0,events/second
1775392981,114,0.14721139313620438,0.0,0.0,0.0,events/second
1775393011,116,0.14420198484594368,0.0,0.0,0.0,events/second
1775393041,118,0.1414099838298834,0.0,0.0,0.0,events/second
1775393071,120,0.13880996115939045,0.0,0.0,0.0,events/second
1775393101,122,0.1363831871679093,0.0,0.0,0.0,events/second
1775393131,124,0.1341166696038109,0.0,0.0,0.0,events/second
1775393161,126,0.13199527850626006,0.0,0.0,0.0,events/second
1775393191,126,0.12797070663911206,0.0,0.0,0.0,events/second
1775393221,128,0.12615568460547497,0.0,0.0,0.0,events/second
1775393251,130,0.12444364833354124,0.0,0.0,0.0,events/second
1775393281,132,0.12282628092788282,0.0,0.0,0.0,events/second
1775393311,134,0.12129838839553056,0.0,0.0,0.0,events/second
1775393341,136,0.11985164255372732,0.0,0.0,0.0,events/second
1775393371,138,0.11847865699188714,0.0,0.0,0.0,events/second
1775393401,140,0.1171754117510009,0.0,0.0,0.0,events/second
1775393431,142,0.1159369101165223,0.0,0.0,0.0,events/second
1775393461,144,0.1147579100882745,0.0,0.0,0.0,events/second
1775393491,146,0.11363376957941186,0.0,0.0,0.0,events/second
1775393521,148,0.11255670845394397,0.0,0.0,0.0,events/second
1775393552,150,0.11153123655639652,0.0,0.0,0.0,events/second
1775393582,152,0.11054453832820207,0.0,0.0,0.0,events/second
1775393612,154,0.10960674889002792,0.0,0.0,0.0,events/second
1775393642,156,0.1087083904310159,0.0,0.0,0.0,events/second
1775393672,158,0.10784565837468896,0.0,0.0,0.0,events/second
1775393702,160,0.10701788972773946,0.0,0.0,0.0,events/second
1775393732,162,0.10622287449114141,0.0,0.0,0.0,events/second
1775393762,164,0.10545882309496983,0.0,0.0,0.0,events/second
1775393792,166,0.10471901736831324,0.0,0.0,0.0,events/second
1775393822,168,0.10401145919753552,0.0,0.0,0.0,events/second
1775393852,170,0.10332990671709716,0.0,0.0,0.0,events/second
1775393882,172,0.10267211469405278,0.0,0.0,0.0,events/second
1775393912,174,0.10203702387268632,0.0,0.0,0.0,events/second
1775393942,176,0.1014232256319647,0.0,0.0,0.0,events/second
1775393972,178,0.100831892050435,0.0,0.0,0.0,events/second
1775394002,180,0.10026004485710605,0.0,0.0,0.0,events/second
1775394032,182,0.09970742648787281,0.0,0.0,0.0,events/second
1775394062,184,0.09917212325823556,0.0,0.0,0.0,events/second
1775394092,186,0.0986544502870777,0.0,0.0,0.0,events/second
1775394122,188,0.09815279561785617,0.0,0.0,0.0,events/second
1775394152,188,0.09663788501068558,0.0,0.0,0.0,events/second
1775394182,190,0.09618132892694713,0.0,0.0,0.0,events/second
1775394212,192,0.09573922875820307,0.0,0.0,0.0,events/second
1775394242,194,0.09531017475322362,0.0,0.0,0.0,events/second
1775394272,196,0.09489327173527547,0.0,0.0,0.0,events/second
1775394302,198,0.09448821938575765,0.0,0.0,0.0,events/second
1775394332,200,0.09409460839911732,0.0,0.0,0.0,events/second
1775394362,202,0.09371210380235657,0.0,0.0,0.0,events/second
1775394392,204,0.0933404387808951,0.0,0.0,0.0,events/second
1775394422,206,0.092977962690015,0.0,0.0,0.0,events/second
1775394452,208,0.09262608782950403,0.0,0.0,0.0,events/second
1775394482,210,0.09228291857081654,0.0,0.0,0.0,events/second
1775394512,212,0.09194887812273614,0.0,0.0,0.0,events/second
1775394542,214,0.09162293514533079,0.0,0.0,0.0,events/second
1775394572,216,0.09130606439498444,0.0,0.0,0.0,events/second
1775394602,218,0.09099708588043645,0.0,0.0,0.0,events/second
1775394632,220,0.09069509665677784,0.0,0.0,0.0,events/second
1775394662,222,0.09040117839258661,0.0,0.0,0.0,events/second
1775394692,224,0.0901126526289918,0.0,0.0,0.0,events/second
1775394722,226,0.0898322519319691,0.0,0.0,0.0,events/second
1775394752,228,0.0895589807363908,0.0,0.0,0.0,events/second
1775394782,230,0.08929168472429877,0.0,0.0,0.0,events/second
1775394812,232,0.08903066830428236,0.0,0.0,0.0,events/second
1775394842,234,0.08877545412596052,0.0,0.0,0.0,events/second
