t,value
1775392230,0
1775392260,0
1775392290,0
1775392320,0
1775392350,0
1775392380,0
1775392410,1
1775392440,26
1775392470,26
1775392500,26
1775392530,26
1775392561,26
1775392591,26
1775392621,26
1775392651,26
1775392681,26
1775392711,27
1775392741,27
1775392771,27
1775392801,27
1775392831,29
1775392861,29
1775392891,29
1775392921,29
1775392951,29
1775392981,29
1775393011,29
1775393041,29
1775393071,29
1775393101,29
1775393131,29
1775393161,29
1775393191,29
1775393221,29
1775393251,29
1775393281,29
1775393311,29
1775393341,29
1775393371,29
1775393401,29
1775393431,29
1775393461,29
1775393491,29
1775393521,29
1775393552,29
1775393582,29
1775393612,29
1775393642,29
1775393672,29
1775393702,29
1775393732,29
1775393762,29
1775393792,29
1775393822,29
1775393852,29
1775393882,29
1775393912,29
1775393942,29
1775393972,29
1775394002,29
1775394032,29
1775394062,29
1775394092,29
1775394122,29
1775394152,29
1775394182,29
1775394212,29
1775394242,29
1775394272,29
1775394302,29
1775394332,29
1775394362,29
1775394392,29
1775394422,29
1775394452,29
1775394482,29
1775394512,29
1775394542,29
1775394572,29
1775394602,29
1775394632,29
1775394662,29
1775394692,29
1775394722,29
1775394752,29
1775394782,29
1775394812,29
1775394842,29
