t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1775392230,0,0.0,0.0,0.0,0.0,events/second
1775392260,0,0.0,0.0,0.0,0.0,events/second
1775392290,0,0.0,0.0,0.0,0.0,events/second
1775392320,0,0.0,0.0,0.0,0.0,events/second
1775392350,0,0.0,0.0,0.0,0.0,events/second
1775392380,0,0.0,0.0,0.0,0.0,events/second
1775392410,2,0.009823076336352128,0.0,0.0,0.0,events/second
1775392440,2,0.008557701431518603,0.0,0.0,0.0,events/second
1775392470,2,0.007582712922586449,0.0,0.0,0.0,events/second
1775392500,2,0.00680642324557546,0.0,0.0,0.0,events/second
1775392530,2,0.006174756015128924,0.0,0.0,0.0,events/second
1775392561,2,0.005650845850760255,0.0,0.0,0.0,events/second
1775392591,2,0.005208974754818708,0.0,0.0,0.0,events/second
1775392621,2,0.00483088632777491,0.0,0.0,0.0,events/second
1775392651,2,0.004504198683616315,0.0,0.0,0.0,events/second
1775392681,2,0.004218996506407205,0.0,0.0,0.0,events/second
1775392711,2,0.003967719861202414,0.0,0.0,0.0,events/second
1775392741,2,0.003744619732942135,0.0,0.0,0.0,events/second
1775392771,2,0.0035444861272704827,0.0,0.0,0.0,events/second
1775392801,2,0.0033654238495120325,0.0,0.0,0.0,events/second
1775392831,2,0.0032035936683591686,0.0,0.0,0.0,events/second
1775392861,2,0.0030566440447548503,0.0,0.0,0.0,events/second
1775392891,2,0.002922580091745295,0.0,0.0,0.0,events/second
1775392921,2,0.0027997736115936626,0.0,0.0,0.0,events/second
1775392951,2,0.002686878593379205,0.0,0.0,0.0,events/second
1775392981,2,0.002582658146033398,0.0,0.0,0.0,events/second
1775393011,2,0.002486245502813715,0.0,0.0,0.0,events/second
1775393041,2,0.002396782973850457,0.0,0.0,0.0,events/second
1775393071,2,0.0023135008435348544,0.0,0.0,0.0,events/second
1775393101,2,0.0022357832575077784,0.0,0.0,0.0,events/second
1775393131,2,0.0021631755788178815,0.0,0.0,0.0,events/second
1775393161,2,0.002095166284052236,0.0,0.0,0.0,events/second
1775393191,2,0.0020312841152104123,0.0,0.0,0.0,events/second
1775393221,2,0.0019711854803070453,0.0,0.0,0.0,events/second
1775393251,2,0.001914520451994581,0.0,0.0,0.0,events/second
1775393281,2,0.0018610068344214234,0.0,0.0,0.0,events/second
1775393311,2,0.0018104261482533091,0.0,0.0,0.0,events/second
1775393341,2,0.0017625260848011168,0.0,0.0,0.0,events/second
1775393371,2,0.0017170841267938662,0.0,0.0,0.0,events/second
1775393401,2,0.0016739365101576622,0.0,0.0,0.0,events/second
1775393431,2,0.0016329162210695824,0.0,0.0,0.0,events/second
1775393461,2,0.0015938616989136783,0.0,0.0,0.0,events/second
1775393491,2,0.0015566285872909058,0.0,0.0,0.0,events/second
1775393521,2,0.0015210379395828907,0.0,0.0,0.0,events/second
1775393552,2,0.0014870839024289418,0.0,0.0,0.0,events/second
1775393582,2,0.0014545345656352354,0.0,0.0,0.0,events/second
1775393612,2,0.0014234657596829481,0.0,0.0,0.0,events/second
1775393642,2,0.001393698705137794,0.0,0.0,0.0,events/second
1775393672,2,0.0013651360793912569,0.0,0.0,0.0,events/second
1775393702,2,0.0013377248202973986,0.0,0.0,0.0,events/second
1775393732,2,0.0013113943477788138,0.0,0.0,0.0,events/second
1775393762,2,0.001286084452291979,0.0,0.0,0.0,events/second
1775393792,2,0.0012616758727773813,0.0,0.0,0.0,events/second
1775393822,2,0.0012382328079477457,0.0,0.0,0.0,events/second
1775393852,2,0.0012156470634443113,0.0,0.0,0.0,events/second
1775393882,2,0.0011938626247334507,0.0,0.0,0.0,events/second
1775393912,2,0.0011728403587372832,0.0,0.0,0.0,events/second
1775393942,2,0.0011525373461112088,0.0,0.0,0.0,events/second
1775393972,2,0.0011329435267222814,0.0,0.0,0.0,events/second
1775394002,2,0.0011140013030133471,0.0,0.0,0.0,events/second
1775394032,2,0.0010956869085790913,0.0,0.0,0.0,events/second
1775394062,2,0.0010779586790234618,0.0,0.0,0.0,events/second
1775394092,2,0.001060801385989372,0.0,0.0,0.0,events/second
1775394122,2,0.001044179456793423,0.0,0.0,0.0,events/second
1775394152,2,0.001028063355478402,0.0,0.0,0.0,events/second
1775394182,2,0.0010124358085166134,0.0,0.0,0.0,events/second
1775394212,2,9.972843797743372E-4,0.0,0.0,0.0,events/second
1775394242,2,9.825795543701229E-4,0.0,0.0,0.0,events/second
1775394272,2,9.682993916126266E-4,0.0,0.0,0.0,events/second
1775394302,2,9.54427118684419E-4,0.0,0.0,0.0,events/second
1775394332,2,9.409467489559414E-4,0.0,0.0,0.0,events/second
1775394362,2,9.278431685575652E-4,0.0,0.0,0.0,events/second
1775394392,2,9.151029671227686E-4,0.0,0.0,0.0,events/second
1775394422,2,9.026992511111055E-4,0.0,0.0,0.0,events/second
1775394452,2,8.906360284084722E-4,0.0,0.0,0.0,events/second
1775394482,2,8.788855287201616E-4,0.0,0.0,0.0,events/second
1775394512,2,8.674428066447987E-4,0.0,0.0,0.0,events/second
1775394542,2,8.562896335521995E-4,0.0,0.0,0.0,events/second
1775394572,2,8.454270411174369E-4,0.0,0.0,0.0,events/second
1775394602,2,8.348361256346357E-4,0.0,0.0,0.0,events/second
1775394632,2,8.245013674756917E-4,0.0,0.0,0.0,events/second
1775394662,2,8.144255133383953E-4,0.0,0.0,0.0,events/second
1775394692,2,8.045777338744435E-4,0.0,0.0,0.0,events/second
1775394722,2,7.949761568262769E-4,0.0,0.0,0.0,events/second
1775394752,2,7.856055574001095E-4,0.0,0.0,0.0,events/second
1775394782,2,7.764498682028642E-4,0.0,0.0,0.0,events/second
1775394812,2,7.67506194678154E-4,0.0,0.0,0.0,events/second
1775394842,2,7.587649362908059E-4,0.0,0.0,0.0,events/second
