t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1775392230,0,0.0,0.0,0.0,0.0,events/second
1775392260,0,0.0,0.0,0.0,0.0,events/second
1775392290,0,0.0,0.0,0.0,0.0,events/second
1775392320,0,0.0,0.0,0.0,0.0,events/second
1775392350,0,0.0,0.0,0.0,0.0,events/second
1775392380,0,0.0,0.0,0.0,0.0,events/second
1775392410,1,0.0049115221311202975,0.0,0.0,0.0,events/second
1775392440,30,0.128365129908727,0.0,0.0,0.0,events/second
1775392470,30,0.1137400306085948,0.0,0.0,0.0,events/second
1775392500,30,0.1020958970629961,0.0,0.0,0.0,events/second
1775392530,30,0.0926211751156051,0.0,0.0,0.0,events/second
1775392561,30,0.08476255335958133,0.0,0.0,0.0,events/second
1775392591,30,0.07813451116754222,0.0,0.0,0.0,events/second
1775392621,30,0.07246319310125127,0.0,0.0,0.0,events/second
1775392651,30,0.06756289725186129,0.0,0.0,0.0,events/second
1775392681,30,0.06328487438507442,0.0,0.0,0.0,events/second
1775392711,34,0.0674511651669607,0.0,0.0,0.0,events/second
1775392741,34,0.06365844926300689,0.0,0.0,0.0,events/second
1775392771,34,0.06025620561138556,0.0,0.0,0.0,events/second
1775392801,34,0.05721215254047612,0.0,0.0,0.0,events/second
1775392831,36,0.05766463536714887,0.0,0.0,0.0,events/second
1775392861,36,0.05501954637242321,0.0,0.0,0.0,events/second
1775392891,36,0.052606397626130695,0.0,0.0,0.0,events/second
1775392921,36,0.050395886157607095,0.0,0.0,0.0,events/second
1775392951,36,0.04836377966644371,0.0,0.0,0.0,events/second
1775392981,36,0.04648781388765798,0.0,0.0,0.0,events/second
1775393011,36,0.0447523828893884,0.0,0.0,0.0,events/second
1775393041,36,0.04314206510405249,0.0,0.0,0.0,events/second
1775393071,36,0.04164298627648516,0.0,0.0,0.0,events/second
1775393101,36,0.04024406834887702,0.0,0.0,0.0,events/second
1775393131,36,0.03893713774036908,0.0,0.0,0.0,events/second
1775393161,36,0.037712971518155405,0.0,0.0,0.0,events/second
1775393191,36,0.036563094065440754,0.0,0.0,0.0,events/second
1775393221,36,0.03548131980012311,0.0,0.0,0.0,events/second
1775393251,36,0.03446135058932981,0.0,0.0,0.0,events/second
1775393281,36,0.03349810622201748,0.0,0.0,0.0,events/second
1775393311,36,0.03258765477757154,0.0,0.0,0.0,events/second
1775393341,36,0.03172545427227868,0.0,0.0,0.0,events/second
1775393371,36,0.030907499839077528,0.0,0.0,0.0,events/second
1775393401,36,0.030130843526987933,0.0,0.0,0.0,events/second
1775393431,36,0.029392479054076232,0.0,0.0,0.0,events/second
1775393461,36,0.028689498181545127,0.0,0.0,0.0,events/second
1775393491,36,0.028019302803734544,0.0,0.0,0.0,events/second
1775393521,36,0.027378670987733403,0.0,0.0,0.0,events/second
1775393552,36,0.026767499313125893,0.0,0.0,0.0,events/second
1775393582,36,0.02618161120428088,0.0,0.0,0.0,events/second
1775393612,36,0.025622373844934952,0.0,0.0,0.0,events/second
1775393642,36,0.02508656727341675,0.0,0.0,0.0,events/second
1775393672,36,0.024572440378675838,0.0,0.0,0.0,events/second
1775393702,36,0.024079037950778346,0.0,0.0,0.0,events/second
1775393732,36,0.02360508872570003,0.0,0.0,0.0,events/second
1775393762,36,0.023149512154855553,0.0,0.0,0.0,events/second
1775393792,36,0.022710157615560497,0.0,0.0,0.0,events/second
1775393822,36,0.022288183131627375,0.0,0.0,0.0,events/second
1775393852,36,0.02188163998916311,0.0,0.0,0.0,events/second
1775393882,36,0.021489520019320744,0.0,0.0,0.0,events/second
1775393912,36,0.021111119799314276,0.0,0.0,0.0,events/second
1775393942,36,0.020745665456255072,0.0,0.0,0.0,events/second
1775393972,36,0.02039297717820491,0.0,0.0,0.0,events/second
1775394002,36,0.02005201720407532,0.0,0.0,0.0,events/second
1775394032,36,0.01972235855874768,0.0,0.0,0.0,events/second
1775394062,36,0.019403250534342678,0.0,0.0,0.0,events/second
1775394092,36,0.019094419521390602,0.0,0.0,0.0,events/second
1775394122,36,0.01879522491748525,0.0,0.0,0.0,events/second
1775394152,36,0.0185051352772289,0.0,0.0,0.0,events/second
1775394182,36,0.018223839591968258,0.0,0.0,0.0,events/second
1775394212,36,0.017951114013040777,0.0,0.0,0.0,events/second
1775394242,36,0.017686426282048633,0.0,0.0,0.0,events/second
1775394272,36,0.01742938450071286,0.0,0.0,0.0,events/second
1775394302,36,0.017179683692798663,0.0,0.0,0.0,events/second
1775394332,36,0.016937037198178486,0.0,0.0,0.0,events/second
1775394362,36,0.01670117268428961,0.0,0.0,0.0,events/second
1775394392,36,0.016471849364006357,0.0,0.0,0.0,events/second
1775394422,36,0.016248582511349394,0.0,0.0,0.0,events/second
1775394452,36,0.016031444624831314,0.0,0.0,0.0,events/second
1775394482,36,0.015819935805313427,0.0,0.0,0.0,events/second
1775394512,36,0.015613966879596377,0.0,0.0,0.0,events/second
1775394542,36,0.015413209860890367,0.0,0.0,0.0,events/second
1775394572,36,0.015217683240713934,0.0,0.0,0.0,events/second
1775394602,36,0.015027046840996048,0.0,0.0,0.0,events/second
1775394632,36,0.014841021277684626,0.0,0.0,0.0,events/second
1775394662,36,0.014659656027849924,0.0,0.0,0.0,events/second
1775394692,36,0.014482396081120681,0.0,0.0,0.0,events/second
1775394722,36,0.014309567778718217,0.0,0.0,0.0,events/second
1775394752,36,0.014140897052056923,0.0,0.0,0.0,events/second
1775394782,36,0.013976094678692062,0.0,0.0,0.0,events/second
1775394812,36,0.01381510822146189,0.0,0.0,0.0,events/second
1775394842,36,0.013657765928786342,0.0,0.0,0.0,events/second
