t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1775392230,0,0.0,0.0,0.0,0.0,events/second
1775392260,0,0.0,0.0,0.0,0.0,events/second
1775392290,0,0.0,0.0,0.0,0.0,events/second
1775392320,0,0.0,0.0,0.0,0.0,events/second
1775392350,0,0.0,0.0,0.0,0.0,events/second
1775392380,0,0.0,0.0,0.0,0.0,events/second
1775392410,0,0.0,0.0,0.0,0.0,events/second
1775392440,0,0.0,0.0,0.0,0.0,events/second
1775392470,0,0.0,0.0,0.0,0.0,events/second
1775392500,0,0.0,0.0,0.0,0.0,events/second
1775392530,0,0.0,0.0,0.0,0.0,events/second
1775392561,0,0.0,0.0,0.0,0.0,events/second
1775392591,0,0.0,0.0,0.0,0.0,events/second
1775392621,0,0.0,0.0,0.0,0.0,events/second
1775392651,0,0.0,0.0,0.0,0.0,events/second
1775392681,0,0.0,0.0,0.0,0.0,events/second
1775392711,1,0.001983856398316545,0.0,0.0,0.0,events/second
1775392741,1,0.0018723060591072148,0.0,0.0,0.0,events/second
1775392771,1,0.0017722402020155482,0.0,0.0,0.0,events/second
1775392801,1,0.0016827093234431452,0.0,0.0,0.0,events/second
1775392831,1,0.001601794486775515,0.0,0.0,0.0,events/second
1775392861,1,0.0015283198681014473,0.0,0.0,0.0,events/second
1775392891,1,0.0014612880352123422,0.0,0.0,0.0,events/second
1775392921,1,0.0013998849858415311,0.0,0.0,0.0,events/second
1775392951,1,0.0013434376914764799,0.0,0.0,0.0,events/second
1775392981,1,0.0012913275022046198,0.0,0.0,0.0,events/second
1775393011,1,0.0012431210322027153,0.0,0.0,0.0,events/second
1775393041,1,0.001198390173861894,0.0,0.0,0.0,events/second
1775393071,1,0.0011567490390059524,0.0,0.0,0.0,events/second
1775393101,1,0.0011178902492319698,0.0,0.0,0.0,events/second
1775393131,1,0.0010815867500140776,0.0,0.0,0.0,events/second
1775393161,1,0.0010475821411705135,0.0,0.0,0.0,events/second
1775393191,1,0.0010156411385138868,0.0,0.0,0.0,events/second
1775393221,1,9.855918769744148E-4,0.0,0.0,0.0,events/second
1775393251,1,9.572594274014238E-4,0.0,0.0,0.0,events/second
1775393281,1,9.305026463570169E-4,0.0,0.0,0.0,events/second
1775393311,1,9.052123461627656E-4,0.0,0.0,0.0,events/second
1775393341,1,8.812623391675896E-4,0.0,0.0,0.0,events/second
1775393371,1,8.585413980959758E-4,0.0,0.0,0.0,events/second
1775393401,1,8.369676265064219E-4,0.0,0.0,0.0,events/second
1775393431,1,8.164575193909284E-4,0.0,0.0,0.0,events/second
1775393461,1,7.969302588154125E-4,0.0,0.0,0.0,events/second
1775393491,1,7.783137551740816E-4,0.0,0.0,0.0,events/second
1775393521,1,7.605183984012794E-4,0.0,0.0,0.0,events/second
1775393552,1,7.435414432519809E-4,0.0,0.0,0.0,events/second
1775393582,1,7.272667559630777E-4,0.0,0.0,0.0,events/second
1775393612,1,7.117324290000735E-4,0.0,0.0,0.0,events/second
1775393642,1,6.96848920386037E-4,0.0,0.0,0.0,events/second
1775393672,1,6.825675979303604E-4,0.0,0.0,0.0,events/second
1775393702,1,6.688619973542664E-4,0.0,0.0,0.0,events/second
1775393732,1,6.556967130383484E-4,0.0,0.0,0.0,events/second
1775393762,1,6.43041860154423E-4,0.0,0.0,0.0,events/second
1775393792,1,6.308375525996736E-4,0.0,0.0,0.0,events/second
1775393822,1,6.191160645957042E-4,0.0,0.0,0.0,events/second
1775393852,1,6.078232040206739E-4,0.0,0.0,0.0,events/second
1775393882,1,5.969309384017818E-4,0.0,0.0,0.0,events/second
1775393912,1,5.864198746490879E-4,0.0,0.0,0.0,events/second
1775393942,1,5.762682564213325E-4,0.0,0.0,0.0,events/second
1775393972,1,5.664714721533807E-4,0.0,0.0,0.0,events/second
1775394002,1,5.570003550632183E-4,0.0,0.0,0.0,events/second
1775394032,1,5.478431851909228E-4,0.0,0.0,0.0,events/second
1775394062,1,5.389790780630022E-4,0.0,0.0,0.0,events/second
1775394092,1,5.304004450913043E-4,0.0,0.0,0.0,events/second
1775394122,1,5.220894846033444E-4,0.0,0.0,0.0,events/second
1775394152,1,5.140313760167789E-4,0.0,0.0,0.0,events/second
1775394182,1,5.062176770100855E-4,0.0,0.0,0.0,events/second
1775394212,1,4.986419693400084E-4,0.0,0.0,0.0,events/second
1775394242,1,4.912895251994571E-4,0.0,0.0,0.0,events/second
1775394272,1,4.84149487728699E-4,0.0,0.0,0.0,events/second
1775394302,1,4.7721332637168807E-4,0.0,0.0,0.0,events/second
1775394332,1,4.704731786539572E-4,0.0,0.0,0.0,events/second
1775394362,1,4.639213615228399E-4,0.0,0.0,0.0,events/second
1775394392,1,4.5755129868150666E-4,0.0,0.0,0.0,events/second
1775394422,1,4.513494406014323E-4,0.0,0.0,0.0,events/second
1775394452,1,4.453178348940938E-4,0.0,0.0,0.0,events/second
1775394482,1,4.3944258998187137E-4,0.0,0.0,0.0,events/second
1775394512,1,4.3372123580671934E-4,0.0,0.0,0.0,events/second
1775394542,1,4.281446436967711E-4,0.0,0.0,0.0,events/second
1775394572,1,4.227133600802357E-4,0.0,0.0,0.0,events/second
1775394602,1,4.1741790447002964E-4,0.0,0.0,0.0,events/second
1775394632,1,4.122505291338192E-4,0.0,0.0,0.0,events/second
1775394662,1,4.07212609468858E-4,0.0,0.0,0.0,events/second
1775394692,1,4.022887236635677E-4,0.0,0.0,0.0,events/second
1775394722,1,3.97487939107433E-4,0.0,0.0,0.0,events/second
1775394752,1,3.928026421498919E-4,0.0,0.0,0.0,events/second
1775394782,1,3.88224798153303E-4,0.0,0.0,0.0,events/second
1775394812,1,3.8375295481466956E-4,0.0,0.0,0.0,events/second
1775394842,1,3.793823301011763E-4,0.0,0.0,0.0,events/second
