t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1775392230,0,0.0,0.0,0.0,0.0,events/second
1775392260,0,0.0,0.0,0.0,0.0,events/second
1775392290,0,0.0,0.0,0.0,0.0,events/second
1775392320,0,0.0,0.0,0.0,0.0,events/second
1775392350,0,0.0,0.0,0.0,0.0,events/second
1775392380,0,0.0,0.0,0.0,0.0,events/second
1775392410,1,0.004911509507560864,0.0,0.0,0.0,events/second
1775392440,30,0.1283648385303788,0.0,0.0,0.0,events/second
1775392470,30,0.11373985859260992,0.0,0.0,0.0,events/second
1775392500,30,0.10209522589359456,0.0,0.0,0.0,events/second
1775392530,30,0.09262098249599739,0.0,0.0,0.0,events/second
1775392561,30,0.08476248759576574,0.0,0.0,0.0,events/second
1775392591,30,0.07813446045535989,0.0,0.0,0.0,events/second
1775392621,30,0.0724631104519536,0.0,0.0,0.0,events/second
1775392651,30,0.06756285889280855,0.0,0.0,0.0,events/second
1775392681,30,0.06328483926146031,0.0,0.0,0.0,events/second
1775392711,34,0.06745113228899485,0.0,0.0,0.0,events/second
1775392741,34,0.06365841896538564,0.0,0.0,0.0,events/second
1775392771,34,0.06025617861525508,0.0,0.0,0.0,events/second
1775392801,34,0.05721212690339187,0.0,0.0,0.0,events/second
1775392831,36,0.0576646112593852,0.0,0.0,0.0,events/second
1775392861,36,0.05501952324836674,0.0,0.0,0.0,events/second
1775392891,36,0.05260637727781818,0.0,0.0,0.0,events/second
1775392921,36,0.05039586679205631,0.0,0.0,0.0,events/second
1775392951,36,0.04836376426766865,0.0,0.0,0.0,events/second
1775392981,36,0.04648779670078235,0.0,0.0,0.0,events/second
1775393011,36,0.04475236307304354,0.0,0.0,0.0,events/second
1775393041,36,0.043142051129263344,0.0,0.0,0.0,events/second
1775393071,36,0.04164296910370596,0.0,0.0,0.0,events/second
1775393101,36,0.040244053916579973,0.0,0.0,0.0,events/second
1775393131,36,0.03893712772989568,0.0,0.0,0.0,events/second
1775393161,36,0.03771296128967922,0.0,0.0,0.0,events/second
1775393191,36,0.036563085138189955,0.0,0.0,0.0,events/second
1775393221,36,0.03548131147374124,0.0,0.0,0.0,events/second
1775393251,36,0.03446134322960519,0.0,0.0,0.0,events/second
1775393281,36,0.03349809875054938,0.0,0.0,0.0,events/second
1775393311,36,0.03258764778046794,0.0,0.0,0.0,events/second
1775393341,36,0.03172544714846546,0.0,0.0,0.0,events/second
1775393371,36,0.030907493162778295,0.0,0.0,0.0,events/second
1775393401,36,0.030130837290442282,0.0,0.0,0.0,events/second
1775393431,36,0.029392473371417854,0.0,0.0,0.0,events/second
1775393461,36,0.028689491738602052,0.0,0.0,0.0,events/second
1775393491,36,0.02801929759384858,0.0,0.0,0.0,events/second
1775393521,36,0.027378663643819644,0.0,0.0,0.0,events/second
1775393552,36,0.026767493943364872,0.0,0.0,0.0,events/second
1775393582,36,0.026181604480898003,0.0,0.0,0.0,events/second
1775393612,36,0.02562236944634523,0.0,0.0,0.0,events/second
1775393642,36,0.025086563079593227,0.0,0.0,0.0,events/second
1775393672,36,0.02457243285627635,0.0,0.0,0.0,events/second
1775393702,36,0.024079033545909186,0.0,0.0,0.0,events/second
1775393732,36,0.02360508256399594,0.0,0.0,0.0,events/second
1775393762,36,0.02314950865959776,0.0,0.0,0.0,events/second
1775393792,36,0.022710153085546175,0.0,0.0,0.0,events/second
1775393822,36,0.022288179846091865,0.0,0.0,0.0,events/second
1775393852,36,0.021881636841013005,0.0,0.0,0.0,events/second
1775393882,36,0.021489514752242516,0.0,0.0,0.0,events/second
1775393912,36,0.021111116777360918,0.0,0.0,0.0,events/second
1775393942,36,0.020745658102692154,0.0,0.0,0.0,events/second
1775393972,36,0.020392974233589784,0.0,0.0,0.0,events/second
1775394002,36,0.020052013780782564,0.0,0.0,0.0,events/second
1775394032,36,0.019722355909420425,0.0,0.0,0.0,events/second
1775394062,36,0.019403247918810217,0.0,0.0,0.0,events/second
1775394092,36,0.01909441718898377,0.0,0.0,0.0,events/second
1775394122,36,0.018795222534939874,0.0,0.0,0.0,events/second
1775394152,36,0.01850513044026472,0.0,0.0,0.0,events/second
1775394182,36,0.018223837425884185,0.0,0.0,0.0,events/second
1775394212,36,0.017951111920255045,0.0,0.0,0.0,events/second
1775394242,36,0.01768642390035085,0.0,0.0,0.0,events/second
1775394272,36,0.017429382530339908,0.0,0.0,0.0,events/second
1775394302,36,0.017179680656120775,0.0,0.0,0.0,events/second
1775394332,36,0.016937034290501418,0.0,0.0,0.0,events/second
1775394362,36,0.01670116956260791,0.0,0.0,0.0,events/second
1775394392,36,0.016471847604183066,0.0,0.0,0.0,events/second
1775394422,36,0.016248580653700644,0.0,0.0,0.0,events/second
1775394452,36,0.01603144282435318,0.0,0.0,0.0,events/second
1775394482,36,0.015819933879622213,0.0,0.0,0.0,events/second
1775394512,36,0.015613965259707822,0.0,0.0,0.0,events/second
1775394542,36,0.015413207917460257,0.0,0.0,0.0,events/second
1775394572,36,0.015217681670487393,0.0,0.0,0.0,events/second
1775394602,36,0.015027045235221023,0.0,0.0,0.0,events/second
1775394632,36,0.014841019705302307,0.0,0.0,0.0,events/second
1775394662,36,0.014659654622009815,0.0,0.0,0.0,events/second
1775394692,36,0.014482394725386068,0.0,0.0,0.0,events/second
1775394722,36,0.014309566465386525,0.0,0.0,0.0,events/second
1775394752,36,0.014140895753951114,0.0,0.0,0.0,events/second
1775394782,36,0.013976093327651238,0.0,0.0,0.0,events/second
1775394812,36,0.01381510698248058,0.0,0.0,0.0,events/second
1775394842,36,0.013657764346351589,0.0,0.0,0.0,events/second
