t,value
1775392230,0
1775392260,0
1775392290,0
1775392320,0
1775392350,0
1775392380,0
1775392410,2
1775392440,30
1775392470,30
1775392500,30
1775392530,30
1775392561,30
1775392591,30
1775392621,30
1775392651,30
1775392681,30
1775392711,30
1775392741,30
1775392771,30
1775392801,30
1775392831,32
1775392861,32
1775392891,32
1775392921,32
1775392951,32
1775392981,32
1775393011,32
1775393041,32
1775393071,32
1775393101,32
1775393131,32
1775393161,32
1775393191,32
1775393221,32
1775393251,32
1775393281,32
1775393311,32
1775393341,32
1775393371,32
1775393401,32
1775393431,32
1775393461,32
1775393491,32
1775393521,32
1775393552,32
1775393582,32
1775393612,32
1775393642,32
1775393672,32
1775393702,32
1775393732,32
1775393762,32
1775393792,32
1775393822,32
1775393852,32
1775393882,32
1775393912,32
1775393942,32
1775393972,32
1775394002,32
1775394032,32
1775394062,32
1775394092,32
1775394122,32
1775394152,32
1775394182,32
1775394212,32
1775394242,32
1775394272,32
1775394302,32
1775394332,32
1775394362,32
1775394392,32
1775394422,32
1775394452,32
1775394482,32
1775394512,32
1775394542,32
1775394572,32
1775394602,32
1775394632,32
1775394662,32
1775394692,32
1775394722,32
1775394752,32
1775394782,32
1775394812,32
1775394842,32
