t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1775392230,0,0.0,0.0,0.0,0.0,events/second
1775392260,0,0.0,0.0,0.0,0.0,events/second
1775392290,0,0.0,0.0,0.0,0.0,events/second
1775392320,0,0.0,0.0,0.0,0.0,events/second
1775392350,0,0.0,0.0,0.0,0.0,events/second
1775392380,0,0.0,0.0,0.0,0.0,events/second
1775392410,0,0.0,0.0,0.0,0.0,events/second
1775392440,13,0.05562393524770118,0.0,0.0,0.0,events/second
1775392470,14,0.053078060296529395,0.0,0.0,0.0,events/second
1775392500,15,0.05104681332549537,0.0,0.0,0.0,events/second
1775392530,16,0.04939734998382323,0.0,0.0,0.0,events/second
1775392561,17,0.04803170336083821,0.0,0.0,0.0,events/second
1775392591,18,0.046880346434925585,0.0,0.0,0.0,events/second
1775392621,19,0.04589298696005606,0.0,0.0,0.0,events/second
1775392651,20,0.045041642808324296,0.0,0.0,0.0,events/second
1775392681,21,0.04429913730191418,0.0,0.0,0.0,events/second
1775392711,50,0.0991923321686337,0.0,0.0,0.0,events/second
1775392741,51,0.09548713987485079,0.0,0.0,0.0,events/second
1775392771,52,0.09215608330861372,0.0,0.0,0.0,events/second
1775392801,53,0.08918321434678267,0.0,0.0,0.0,events/second
1775392831,54,0.08649654662881968,0.0,0.0,0.0,events/second
1775392861,55,0.08405725412107087,0.0,0.0,0.0,events/second
1775392891,56,0.08183182066662416,0.0,0.0,0.0,events/second
1775392921,57,0.07979316173401871,0.0,0.0,0.0,events/second
1775392951,58,0.07791912843706128,0.0,0.0,0.0,events/second
1775392981,59,0.07618807086605311,0.0,0.0,0.0,events/second
1775393011,60,0.07458703239277648,0.0,0.0,0.0,events/second
1775393041,61,0.07310157966774589,0.0,0.0,0.0,events/second
1775393071,62,0.07171821919728336,0.0,0.0,0.0,events/second
1775393101,63,0.07042689051535293,0.0,0.0,0.0,events/second
1775393131,64,0.06922136762122637,0.0,0.0,0.0,events/second
1775393161,65,0.06809265972452502,0.0,0.0,0.0,events/second
1775393191,65,0.06601650866036639,0.0,0.0,0.0,events/second
1775393221,66,0.06504890604378263,0.0,0.0,0.0,events/second
1775393251,67,0.06413623183820424,0.0,0.0,0.0,events/second
1775393281,68,0.06327403498617228,0.0,0.0,0.0,events/second
1775393311,69,0.062459511165013464,0.0,0.0,0.0,events/second
1775393341,70,0.06168821950991715,0.0,0.0,0.0,events/second
1775393371,71,0.060956309095662825,0.0,0.0,0.0,events/second
1775393401,72,0.06026154406514742,0.0,0.0,0.0,events/second
1775393431,73,0.05960127912937393,0.0,0.0,0.0,events/second
1775393461,74,0.058972722157643445,0.0,0.0,0.0,events/second
1775393491,75,0.05837341821044193,0.0,0.0,0.0,events/second
1775393521,76,0.057799277531876775,0.0,0.0,0.0,events/second
1775393552,77,0.057252582296790165,0.0,0.0,0.0,events/second
1775393582,78,0.056726696582063196,0.0,0.0,0.0,events/second
1775393612,79,0.05622676309755538,0.0,0.0,0.0,events/second
1775393642,80,0.055747817863269905,0.0,0.0,0.0,events/second
1775393672,81,0.055287873895273225,0.0,0.0,0.0,events/second
1775393702,82,0.05484659179224303,0.0,0.0,0.0,events/second
1775393732,83,0.05442272762158083,0.0,0.0,0.0,events/second
1775393762,84,0.05401543098402515,0.0,0.0,0.0,events/second
1775393792,85,0.053621103731931685,0.0,0.0,0.0,events/second
1775393822,86,0.05324390044363297,0.0,0.0,0.0,events/second
1775393852,87,0.05288053970614532,0.0,0.0,0.0,events/second
1775393882,88,0.05252972990859927,0.0,0.0,0.0,events/second
1775393912,89,0.05219128341322461,0.0,0.0,0.0,events/second
1775393942,90,0.051864060869054554,0.0,0.0,0.0,events/second
1775393972,91,0.051548828694692336,0.0,0.0,0.0,events/second
1775394002,92,0.051243957172693685,0.0,0.0,0.0,events/second
1775394032,93,0.0509493478293623,0.0,0.0,0.0,events/second
1775394062,94,0.05066396554874791,0.0,0.0,0.0,events/second
1775394092,95,0.05038797566693306,0.0,0.0,0.0,events/second
1775394122,96,0.0501205258361095,0.0,0.0,0.0,events/second
1775394152,96,0.04934694887061821,0.0,0.0,0.0,events/second
1775394182,97,0.0491030535992235,0.0,0.0,0.0,events/second
1775394212,98,0.04886685316686883,0.0,0.0,0.0,events/second
1775394242,99,0.04863760356513072,0.0,0.0,0.0,events/second
1775394272,100,0.048414888353814044,0.0,0.0,0.0,events/second
1775394302,101,0.04819848906836264,0.0,0.0,0.0,events/second
1775394332,102,0.04798820498700018,0.0,0.0,0.0,events/second
1775394362,103,0.04778384222334007,0.0,0.0,0.0,events/second
1775394392,104,0.047585281088335644,0.0,0.0,0.0,events/second
1775394422,105,0.04739163779623345,0.0,0.0,0.0,events/second
1775394452,106,0.04720363807124084,0.0,0.0,0.0,events/second
1775394482,107,0.047020304593083366,0.0,0.0,0.0,events/second
1775394512,108,0.04684184351137007,0.0,0.0,0.0,events/second
1775394542,109,0.046667717060787976,0.0,0.0,0.0,events/second
1775394572,110,0.04649842092607425,0.0,0.0,0.0,events/second
1775394602,111,0.04633333917290634,0.0,0.0,0.0,events/second
1775394632,112,0.04617201031022606,0.0,0.0,0.0,events/second
1775394662,113,0.04601497878416611,0.0,0.0,0.0,events/second
1775394692,114,0.04586086925993722,0.0,0.0,0.0,events/second
1775394722,115,0.04571106841824517,0.0,0.0,0.0,events/second
1775394752,116,0.04556506256213716,0.0,0.0,0.0,events/second
1775394782,117,0.045422257575674044,0.0,0.0,0.0,events/second
1775394812,118,0.045282806116065555,0.0,0.0,0.0,events/second
1775394842,119,0.04514645284918819,0.0,0.0,0.0,events/second
