t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1775392230,0,0.0,0.0,0.0,0.0,events/second
1775392260,0,0.0,0.0,0.0,0.0,events/second
1775392290,0,0.0,0.0,0.0,0.0,events/second
1775392320,0,0.0,0.0,0.0,0.0,events/second
1775392350,0,0.0,0.0,0.0,0.0,events/second
1775392380,0,0.0,0.0,0.0,0.0,events/second
1775392410,1,0.004911150406175,0.0,0.0,0.0,events/second
1775392440,15,0.06418141903967366,0.0,0.0,0.0,events/second
1775392470,15,0.0568693599122766,0.0,0.0,0.0,events/second
1775392500,15,0.051046719639292824,0.0,0.0,0.0,events/second
1775392530,15,0.04631002693341769,0.0,0.0,0.0,events/second
1775392561,15,0.04238092587820856,0.0,0.0,0.0,events/second
1775392591,15,0.03906696566956039,0.0,0.0,0.0,events/second
1775392621,15,0.036231311384463026,0.0,0.0,0.0,events/second
1775392651,15,0.03378123999554502,0.0,0.0,0.0,events/second
1775392681,15,0.031642247277747115,0.0,0.0,0.0,events/second
1775392711,15,0.02975770580200843,0.0,0.0,0.0,events/second
1775392741,15,0.02808445433461013,0.0,0.0,0.0,events/second
1775392771,15,0.026583490502431636,0.0,0.0,0.0,events/second
1775392801,15,0.02524053650334674,0.0,0.0,0.0,events/second
1775392831,16,0.02562861048906803,0.0,0.0,0.0,events/second
1775392861,16,0.024453022788991533,0.0,0.0,0.0,events/second
1775392891,16,0.023380523477189958,0.0,0.0,0.0,events/second
1775392921,16,0.022398083430941827,0.0,0.0,0.0,events/second
1775392951,16,0.021494935104242427,0.0,0.0,0.0,events/second
1775392981,16,0.020661174551040242,0.0,0.0,0.0,events/second
1775393011,16,0.019889878004759488,0.0,0.0,0.0,events/second
1775393041,16,0.01917418715167106,0.0,0.0,0.0,events/second
1775393071,16,0.01850792911262339,0.0,0.0,0.0,events/second
1775393101,16,0.017886196552036795,0.0,0.0,0.0,events/second
1775393131,16,0.01730534393799243,0.0,0.0,0.0,events/second
1775393161,16,0.01676127181557506,0.0,0.0,0.0,events/second
1775393191,16,0.016250219272460707,0.0,0.0,0.0,events/second
1775393221,16,0.015769433435866478,0.0,0.0,0.0,events/second
1775393251,16,0.015316116219696911,0.0,0.0,0.0,events/second
1775393281,16,0.014888009703261066,0.0,0.0,0.0,events/second
1775393311,16,0.014483366331628693,0.0,0.0,0.0,events/second
1775393341,16,0.014100165720640106,0.0,0.0,0.0,events/second
1775393371,16,0.013736634235035582,0.0,0.0,0.0,events/second
1775393401,16,0.013391455412438705,0.0,0.0,0.0,events/second
1775393431,16,0.013063295221503728,0.0,0.0,0.0,events/second
1775393461,16,0.0127508599098238,0.0,0.0,0.0,events/second
1775393491,16,0.01245299691034173,0.0,0.0,0.0,events/second
1775393521,16,0.012168269643515256,0.0,0.0,0.0,events/second
1775393552,16,0.011896641337934805,0.0,0.0,0.0,events/second
1775393582,16,0.011636246073042311,0.0,0.0,0.0,events/second
1775393612,16,0.011387699732970526,0.0,0.0,0.0,events/second
1775393642,16,0.011149564409434362,0.0,0.0,0.0,events/second
1775393672,16,0.01092106215721496,0.0,0.0,0.0,events/second
1775393702,16,0.010701774736210982,0.0,0.0,0.0,events/second
1775393732,16,0.01049112859936787,0.0,0.0,0.0,events/second
1775393762,16,0.010288654242575015,0.0,0.0,0.0,events/second
1775393792,16,0.010093384762287086,0.0,0.0,0.0,events/second
1775393822,16,0.009905842606576603,0.0,0.0,0.0,events/second
1775393852,16,0.00972515736833751,0.0,0.0,0.0,events/second
1775393882,16,0.0095508603294435,0.0,0.0,0.0,events/second
1775393912,16,0.009382703173099518,0.0,0.0,0.0,events/second
1775393942,16,0.009220277715243084,0.0,0.0,0.0,events/second
1775393972,16,0.009063530851851529,0.0,0.0,0.0,events/second
1775394002,16,0.008911992973214372,0.0,0.0,0.0,events/second
1775394032,16,0.008765479721319164,0.0,0.0,0.0,events/second
1775394062,16,0.00862365421194038,0.0,0.0,0.0,events/second
1775394092,16,0.008486396397829561,0.0,0.0,0.0,events/second
1775394122,16,0.008353421437155683,0.0,0.0,0.0,events/second
1775394152,16,0.00822449193417612,0.0,0.0,0.0,events/second
1775394182,16,0.008099472869337269,0.0,0.0,0.0,events/second
1775394212,16,0.007978262176754694,0.0,0.0,0.0,events/second
1775394242,16,0.00786062322320705,0.0,0.0,0.0,events/second
1775394272,16,0.007746381983968877,0.0,0.0,0.0,events/second
1775394302,16,0.007635404583058802,0.0,0.0,0.0,events/second
1775394332,16,0.007527561917906217,0.0,0.0,0.0,events/second
1775394362,16,0.007422733065949014,0.0,0.0,0.0,events/second
1775394392,16,0.0073208128405746805,0.0,0.0,0.0,events/second
1775394422,16,0.00722158323670316,0.0,0.0,0.0,events/second
1775394452,16,0.0071250777705745534,0.0,0.0,0.0,events/second
1775394482,16,0.007031073912761853,0.0,0.0,0.0,events/second
1775394512,16,0.006939532698018276,0.0,0.0,0.0,events/second
1775394542,16,0.00685030741264648,0.0,0.0,0.0,events/second
1775394572,16,0.006763406984065775,0.0,0.0,0.0,events/second
1775394602,16,0.0066786798047742905,0.0,0.0,0.0,events/second
1775394632,16,0.006596001746441192,0.0,0.0,0.0,events/second
1775394662,16,0.006515395512881976,0.0,0.0,0.0,events/second
1775394692,16,0.006436613494098945,0.0,0.0,0.0,events/second
1775394722,16,0.00635980110097603,0.0,0.0,0.0,events/second
1775394752,16,0.0062848364855427555,0.0,0.0,0.0,events/second
1775394782,16,0.006211591032544799,0.0,0.0,0.0,events/second
1775394812,16,0.006140041768336396,0.0,0.0,0.0,events/second
1775394842,16,0.006070111504351035,0.0,0.0,0.0,events/second
