t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1775392230,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775392260,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775392290,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775392320,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775392350,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775392380,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775392410,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775392440,28,18007,4600.964285714285,84,5392.9303549639935,1477.5,6788.0,17068.299999999996,18007.0,18007.0,18007.0
1775392470,29,18007,4444.0,49,5362.7875347488025,1474.0,6787.0,16964.0,18007.0,18007.0,18007.0
1775392500,30,18007,4296.366666666667,15,5331.196077761559,1473.5,6786.0,16859.699999999997,18007.0,18007.0,18007.0
1775392530,31,18007,4161.580645161291,15,5295.040004722618,1473.0,6785.0,16755.399999999998,18007.0,18007.0,18007.0
1775392561,32,18007,4032.03125,15,5260.235003240304,1471.5,6784.0,16651.099999999995,18007.0,18007.0,18007.0
1775392591,33,18007,3910.4242424242425,15,5224.308112266537,1470.0,6783.0,16546.799999999996,18007.0,18007.0,18007.0
1775392621,34,18007,3797.0588235294117,15,5186.837291389043,1400.0,6782.0,16442.5,18007.0,18007.0,18007.0
1775392651,35,18007,3688.9714285714285,14,5149.845540149235,1330.0,6781.0,16338.199999999992,18007.0,18007.0,18007.0
1775392681,36,18007,3587.277777777778,14,5112.285827081442,1063.0,6193.25,16233.899999999998,18007.0,18007.0,18007.0
1775392711,65,18007,2068.1384615384613,14,4153.972345376633,118.0,1473.5,14703.799999999985,17339.479999999985,18007.0,18007.0
1775392741,66,18007,2037.409090909091,14,4129.447983139458,111.5,1473.25,14521.099999999995,17297.759999999995,18007.0,18007.0
1775392771,67,18007,2007.2388059701493,14,4105.479062916658,105.0,1473.0,14338.39999999998,17256.04,18007.0,18007.0
1775392801,68,18007,1977.9558823529412,14,4081.8747025817465,102.5,1472.25,14155.69999999999,17214.32000000001,18007.0,18007.0
1775392831,70,18007,1928.9857142857143,14,4032.7740640862676,102.5,1470.75,13790.30000000001,17130.879999999997,18007.0,18007.0
1775392861,71,18007,1902.0704225352113,14,4010.2829088800627,100.0,1470.0,13607.59999999997,17089.160000000003,18007.0,18007.0
1775392891,72,18007,1876.0277777777778,14,3988.0682745657464,94.5,1435.0,13424.89999999998,17047.439999999984,18007.0,18007.0
1775392921,73,18007,1850.5616438356165,14,3966.2491551503163,89.0,1400.0,13242.19999999999,17005.71999999999,18007.0,18007.0
1775392951,74,18007,1825.7972972972973,14,3944.745820516925,86.5,1365.0,13059.5,16964.0,18007.0,18007.0
1775392981,75,18007,1801.6933333333334,14,3923.5584130863786,84.0,1330.0,12876.80000000001,16922.28000000001,18007.0,18007.0
1775393011,76,18007,1778.1842105263158,14,3902.6986482365464,83.0,1196.5,12694.09999999997,16880.559999999987,18007.0,18007.0
1775393041,77,18007,1755.2597402597403,13,3882.1532698484057,82.0,1063.0,12511.39999999998,16838.839999999997,18007.0,18007.0
1775393071,78,18007,1733.3333333333333,13,3861.720485512268,77.5,929.5,12328.69999999999,16797.120000000003,18007.0,18007.0
1775393101,79,18007,1711.5443037974683,12,3841.770484600211,73.0,796.0,12146.0,16755.400000000012,18007.0,18007.0
1775393131,80,18007,1690.3,12,3822.1042332228794,72.5,790.5,12142.550000000001,16713.67999999999,18007.0,18007.0
1775393161,81,18007,1669.6543209876543,12,3802.68333272866,72.0,785.0,12139.099999999999,16671.96,18007.0,18007.0
1775393191,81,18007,1669.6543209876543,12,3802.68333272866,72.0,785.0,12139.099999999999,16671.96,18007.0,18007.0
