t,value
1775392230,61
1775392260,61
1775392290,61
1775392320,61
1775392350,61
1775392380,61
1775392410,61
1775392440,61
1775392470,61
1775392500,61
1775392530,61
1775392561,61
1775392591,61
1775392621,61
1775392651,61
1775392681,61
1775392711,61
1775392741,61
1775392771,61
1775392801,61
1775392831,61
1775392861,61
1775392891,61
1775392921,61
1775392951,61
1775392981,61
1775393011,61
1775393041,61
1775393071,61
1775393101,61
1775393131,61
1775393161,61
1775393191,61
1775393221,61
1775393251,61
1775393281,61
1775393311,61
1775393341,61
1775393371,61
1775393401,61
1775393431,61
1775393461,61
1775393491,61
1775393521,61
1775393552,61
1775393582,61
1775393612,61
1775393642,61
1775393672,61
1775393702,61
1775393732,61
1775393762,61
1775393792,61
1775393822,61
1775393852,61
1775393882,61
1775393912,61
1775393942,61
1775393972,61
1775394002,61
1775394032,61
1775394062,61
1775394092,61
1775394122,61
1775394152,61
1775394182,61
1775394212,61
1775394242,61
1775394272,61
1775394302,61
1775394332,61
1775394362,61
1775394392,61
1775394422,61
1775394452,61
1775394482,61
1775394512,61
1775394542,61
1775394572,61
1775394602,61
1775394632,61
1775394662,61
1775394692,61
1775394722,61
1775394752,61
1775394782,61
1775394812,61
1775394842,61
