t,value
1775392230,220
1775392260,220
1775392290,220
1775392320,220
1775392350,220
1775392380,220
1775392410,220
1775392440,220
1775392470,220
1775392500,220
1775392530,220
1775392561,220
1775392591,220
1775392621,220
1775392651,220
1775392681,220
1775392711,220
1775392741,220
1775392771,220
1775392801,220
1775392831,220
1775392861,220
1775392891,220
1775392921,220
1775392951,220
1775392981,220
1775393011,220
1775393041,220
1775393071,220
1775393101,220
1775393131,220
1775393161,220
1775393191,220
1775393221,220
1775393251,220
1775393281,220
1775393311,220
1775393341,220
1775393371,220
1775393401,220
1775393431,220
1775393461,220
1775393491,220
1775393521,220
1775393552,220
1775393582,220
1775393612,220
1775393642,220
1775393672,220
1775393702,220
1775393732,220
1775393762,220
1775393792,220
1775393822,220
1775393852,220
1775393882,220
1775393912,220
1775393942,220
1775393972,220
1775394002,220
1775394032,220
1775394062,220
1775394092,220
1775394122,220
1775394152,220
1775394182,220
1775394212,220
1775394242,220
1775394272,220
1775394302,220
1775394332,220
1775394362,220
1775394392,220
1775394422,220
1775394452,220
1775394482,220
1775394512,220
1775394542,220
1775394572,220
1775394602,220
1775394632,220
1775394662,220
1775394692,220
1775394722,220
1775394752,220
1775394782,220
1775394812,220
1775394842,220
