t,value
1775392230,119
1775392260,119
1775392290,119
1775392320,119
1775392350,119
1775392380,119
1775392410,119
1775392440,119
1775392470,119
1775392500,119
1775392530,119
1775392561,119
1775392591,119
1775392621,119
1775392651,119
1775392681,119
1775392711,119
1775392741,119
1775392771,119
1775392801,119
1775392831,119
1775392861,119
1775392891,119
1775392921,119
1775392951,119
1775392981,119
1775393011,119
1775393041,119
1775393071,119
1775393101,119
1775393131,119
1775393161,119
1775393191,119
1775393221,119
1775393251,119
1775393281,119
1775393311,119
1775393341,119
1775393371,119
1775393401,119
1775393431,119
1775393461,119
1775393491,119
1775393521,119
1775393552,119
1775393582,119
1775393612,119
1775393642,119
1775393672,119
1775393702,119
1775393732,119
1775393762,119
1775393792,119
1775393822,119
1775393852,119
1775393882,119
1775393912,119
1775393942,119
1775393972,119
1775394002,119
1775394032,119
1775394062,119
1775394092,119
1775394122,119
1775394152,119
1775394182,119
1775394212,119
1775394242,119
1775394272,119
1775394302,119
1775394332,119
1775394362,119
1775394392,119
1775394422,119
1775394452,119
1775394482,119
1775394512,119
1775394542,119
1775394572,119
1775394602,119
1775394632,119
1775394662,119
1775394692,119
1775394722,119
1775394752,119
1775394782,119
1775394812,119
1775394842,119
