t,value
1775392230,11
1775392260,11
1775392290,11
1775392320,11
1775392350,11
1775392380,11
1775392410,11
1775392440,11
1775392470,11
1775392500,11
1775392530,11
1775392561,11
1775392591,11
1775392621,11
1775392651,11
1775392681,11
1775392711,11
1775392741,11
1775392771,11
1775392801,11
1775392831,11
1775392861,11
1775392891,11
1775392921,11
1775392951,11
1775392981,11
1775393011,11
1775393041,11
1775393071,11
1775393101,11
1775393131,11
1775393161,11
1775393191,11
1775393221,11
1775393251,11
1775393281,11
1775393311,11
1775393341,11
1775393371,11
1775393401,11
1775393431,11
1775393461,11
1775393491,11
1775393521,11
1775393552,11
1775393582,11
1775393612,11
1775393642,11
1775393672,11
1775393702,11
1775393732,11
1775393762,11
1775393792,11
1775393822,11
1775393852,11
1775393882,11
1775393912,11
1775393942,11
1775393972,11
1775394002,11
1775394032,11
1775394062,11
1775394092,11
1775394122,11
1775394152,11
1775394182,11
1775394212,11
1775394242,11
1775394272,11
1775394302,11
1775394332,11
1775394362,11
1775394392,11
1775394422,11
1775394452,11
1775394482,11
1775394512,11
1775394542,11
1775394572,11
1775394602,11
1775394632,11
1775394662,11
1775394692,11
1775394722,11
1775394752,11
1775394782,11
1775394812,11
1775394842,11
