t,value
1775392230,56
1775392260,56
1775392290,56
1775392320,56
1775392350,56
1775392380,56
1775392410,56
1775392440,56
1775392470,56
1775392500,56
1775392530,56
1775392561,56
1775392591,56
1775392621,56
1775392651,56
1775392681,56
1775392711,56
1775392741,56
1775392771,56
1775392801,56
1775392831,56
1775392861,56
1775392891,56
1775392921,56
1775392951,56
1775392981,56
1775393011,56
1775393041,56
1775393071,56
1775393101,56
1775393131,56
1775393161,56
1775393191,56
1775393221,56
1775393251,56
1775393281,56
1775393311,56
1775393341,56
1775393371,56
1775393401,56
1775393431,56
1775393461,56
1775393491,56
1775393521,56
1775393552,56
1775393582,56
1775393612,56
1775393642,56
1775393672,56
1775393702,56
1775393732,56
1775393762,56
1775393792,56
1775393822,56
1775393852,56
1775393882,56
1775393912,56
1775393942,56
1775393972,56
1775394002,56
1775394032,56
1775394062,56
1775394092,56
1775394122,56
1775394152,56
1775394182,56
1775394212,56
1775394242,56
1775394272,56
1775394302,56
1775394332,56
1775394362,56
1775394392,56
1775394422,56
1775394452,56
1775394482,56
1775394512,56
1775394542,56
1775394572,56
1775394602,56
1775394632,56
1775394662,56
1775394692,56
1775394722,56
1775394752,56
1775394782,56
1775394812,56
1775394842,56
