t,value
1775392230,108
1775392260,108
1775392290,108
1775392320,108
1775392350,108
1775392380,108
1775392410,108
1775392440,108
1775392470,108
1775392500,108
1775392530,108
1775392561,108
1775392591,108
1775392621,108
1775392651,108
1775392681,108
1775392711,108
1775392741,108
1775392771,108
1775392801,108
1775392831,108
1775392861,108
1775392891,108
1775392921,108
1775392951,108
1775392981,108
1775393011,108
1775393041,108
1775393071,108
1775393101,108
1775393131,108
1775393161,108
1775393191,108
1775393221,108
1775393251,108
1775393281,108
1775393311,108
1775393341,108
1775393371,108
1775393401,108
1775393431,108
1775393461,108
1775393491,108
1775393521,108
1775393552,108
1775393582,108
1775393612,108
1775393642,108
1775393672,108
1775393702,108
1775393732,108
1775393762,108
1775393792,108
1775393822,108
1775393852,108
1775393882,108
1775393912,108
1775393942,108
1775393972,108
1775394002,108
1775394032,108
1775394062,108
1775394092,108
1775394122,108
1775394152,108
1775394182,108
1775394212,108
1775394242,108
1775394272,108
1775394302,108
1775394332,108
1775394362,108
1775394392,108
1775394422,108
1775394452,108
1775394482,108
1775394512,108
1775394542,108
1775394572,108
1775394602,108
1775394632,108
1775394662,108
1775394692,108
1775394722,108
1775394752,108
1775394782,108
1775394812,108
1775394842,108
