t,value
1775392230,449
1775392260,449
1775392290,449
1775392320,449
1775392350,449
1775392380,449
1775392410,449
1775392440,449
1775392470,449
1775392500,449
1775392530,449
1775392561,449
1775392591,449
1775392621,449
1775392651,449
1775392681,449
1775392711,449
1775392741,449
1775392771,449
1775392801,449
1775392831,449
1775392861,449
1775392891,449
1775392921,449
1775392951,449
1775392981,449
1775393011,449
1775393041,449
1775393071,449
1775393101,449
1775393131,449
1775393161,449
1775393191,449
1775393221,449
1775393251,449
1775393281,449
1775393311,449
1775393341,449
1775393371,449
1775393401,449
1775393431,449
1775393461,449
1775393491,449
1775393521,449
1775393552,449
1775393582,449
1775393612,449
1775393642,449
1775393672,449
1775393702,449
1775393732,449
1775393762,449
1775393792,449
1775393822,449
1775393852,449
1775393882,449
1775393912,449
1775393942,449
1775393972,449
1775394002,449
1775394032,449
1775394062,449
1775394092,449
1775394122,449
1775394152,449
1775394182,449
1775394212,449
1775394242,449
1775394272,449
1775394302,449
1775394332,449
1775394362,449
1775394392,449
1775394422,449
1775394452,449
1775394482,449
1775394512,449
1775394542,449
1775394572,449
1775394602,449
1775394632,449
1775394662,449
1775394692,449
1775394722,449
1775394752,449
1775394782,449
1775394812,449
1775394842,449
