t,value
1775392230,73728
1775392260,73728
1775392290,73728
1775392320,73728
1775392350,73728
1775392380,73728
1775392410,73728
1775392440,73728
1775392470,73728
1775392500,73728
1775392530,73728
1775392561,73728
1775392591,73728
1775392621,73728
1775392651,73728
1775392681,73728
1775392711,73728
1775392741,73728
1775392771,73728
1775392801,73728
1775392831,1688686
1775392861,1688686
1775392891,1688686
1775392921,1688686
1775392951,1688686
1775392981,1688686
1775393011,1688686
1775393041,1688686
1775393071,1688686
1775393101,1688686
1775393131,1688686
1775393161,1688686
1775393191,1688686
1775393221,1688686
1775393251,1688686
1775393281,1688686
1775393311,1688686
1775393341,1688686
1775393371,1688686
1775393401,1688686
1775393431,1885295
1775393461,1885295
1775393491,1885295
1775393521,1885295
1775393552,1885295
1775393582,1885295
1775393612,1885295
1775393642,1885295
1775393672,1885295
1775393702,1885295
1775393732,1885295
1775393762,1885295
1775393792,1885295
1775393822,1885295
1775393852,1885295
1775393882,1885295
1775393912,1885295
1775393942,1885295
1775393972,1885295
1775394002,1885295
1775394032,1885295
1775394062,1885295
1775394092,1885295
1775394122,1885295
1775394152,1885295
1775394182,1885295
1775394212,1885295
1775394242,1885295
1775394272,1885295
1775394302,1885295
1775394332,1885295
1775394362,1885295
1775394392,1885295
1775394422,1885295
1775394452,1885295
1775394482,1885295
1775394512,1885295
1775394542,1885295
1775394572,1885295
1775394602,1885295
1775394632,1885295
1775394662,1885295
1775394692,1885295
1775394722,1885295
1775394752,1885295
1775394782,1885295
1775394812,1885295
1775394842,1885295
