t,value
1775392230,73728
1775392260,73728
1775392290,73728
1775392320,73728
1775392350,73728
1775392380,73728
1775392410,73728
1775392440,73728
1775392470,73728
1775392500,73728
1775392530,73728
1775392561,73728
1775392591,73728
1775392621,73728
1775392651,73728
1775392681,73728
1775392711,73728
1775392741,73728
1775392771,73728
1775392801,73728
1775392831,1765104
1775392861,1765104
1775392891,1765104
1775392921,1765104
1775392951,1765104
1775392981,1765104
1775393011,1765104
1775393041,1765104
1775393071,1765104
1775393101,1765104
1775393131,1765104
1775393161,1765104
1775393191,1765104
1775393221,1765104
1775393251,1765104
1775393281,1765104
1775393311,1765104
1775393341,1765104
1775393371,1765104
1775393401,1765104
1775393431,1961945
1775393461,1961945
1775393491,1961945
1775393521,1961945
1775393552,1961945
1775393582,1961945
1775393612,1961945
1775393642,1961945
1775393672,1961945
1775393702,1961945
1775393732,1961945
1775393762,1961945
1775393792,1961945
1775393822,1961945
1775393852,1961945
1775393882,1961945
1775393912,1961945
1775393942,1961945
1775393972,1961945
1775394002,1961945
1775394032,1961945
1775394062,1961945
1775394092,1961945
1775394122,1961945
1775394152,1961945
1775394182,1961945
1775394212,1961945
1775394242,1961945
1775394272,1961945
1775394302,1961945
1775394332,1961945
1775394362,1961945
1775394392,1961945
1775394422,1961945
1775394452,1961945
1775394482,1961945
1775394512,1961945
1775394542,1961945
1775394572,1961945
1775394602,1961945
1775394632,1961945
1775394662,1961945
1775394692,1961945
1775394722,1961945
1775394752,1961945
1775394782,1961945
1775394812,1961945
1775394842,1961945
