t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1775392230,185,7.991114122988422,0.0,0.0,0.0,events/second
1775392260,191,3.588438292303925,0.0,0.0,0.0,events/second
1775392290,197,2.366198660437525,0.0,0.0,0.0,events/second
1775392320,203,1.7917506381341963,0.0,0.0,0.0,events/second
1775392350,209,1.4582845249921863,0.0,0.0,0.0,events/second
1775392380,215,1.240084657268814,0.0,0.0,0.0,events/second
1775392410,224,1.1003971266911652,0.0,0.0,0.0,events/second
1775392440,248,1.0613938360209498,0.0,0.0,0.0,events/second
1775392470,255,0.9669944891116791,0.0,0.0,0.0,events/second
1775392500,262,0.8917898126199463,0.0,0.0,0.0,events/second
1775392530,269,0.830635441769921,0.0,0.0,0.0,events/second
1775392561,276,0.7799389739801745,0.0,0.0,0.0,events/second
1775392591,283,0.7371764600438692,0.0,0.0,0.0,events/second
1775392621,290,0.7005711539199275,0.0,0.0,0.0,events/second
1775392651,297,0.6689574754280776,0.0,0.0,0.0,events/second
1775392681,304,0.6413625777669874,0.0,0.0,0.0,events/second
1775392711,329,0.6527621752075946,0.0,0.0,0.0,events/second
1775392741,336,0.6291613565385757,0.0,0.0,0.0,events/second
1775392771,343,0.6079394554351204,0.0,0.0,0.0,events/second
1775392801,350,0.5890042915872504,0.0,0.0,0.0,events/second
1775392831,357,0.5718924047749065,0.0,0.0,0.0,events/second
1775392861,364,0.5563563978134116,0.0,0.0,0.0,events/second
1775392891,370,0.5407212150497671,0.0,0.0,0.0,events/second
1775392921,377,0.5277984150846953,0.0,0.0,0.0,events/second
1775392951,384,0.5159193794035235,0.0,0.0,0.0,events/second
1775392981,391,0.5049459598826919,0.0,0.0,0.0,events/second
1775393011,400,0.49728331977870577,0.0,0.0,0.0,events/second
1775393041,407,0.48777787625337965,0.0,0.0,0.0,events/second
1775393071,414,0.47892516588021394,0.0,0.0,0.0,events/second
1775393101,421,0.4706616084729936,0.0,0.0,0.0,events/second
1775393131,428,0.46294732547083556,0.0,0.0,0.0,events/second
1775393161,435,0.4557252145040571,0.0,0.0,0.0,events/second
1775393191,441,0.44792353331559964,0.0,0.0,0.0,events/second
1775393221,448,0.44156983193520427,0.0,0.0,0.0,events/second
1775393251,455,0.4355766839702689,0.0,0.0,0.0,events/second
1775393281,462,0.42991490151191325,0.0,0.0,0.0,events/second
1775393311,469,0.42456639071179586,0.0,0.0,0.0,events/second
1775393341,476,0.41950175056529415,0.0,0.0,0.0,events/second
1775393371,483,0.4146954895377632,0.0,0.0,0.0,events/second
1775393401,490,0.4101335780011921,0.0,0.0,0.0,events/second
1775393431,497,0.40579819023754476,0.0,0.0,0.0,events/second
1775393461,504,0.401670919112987,0.0,0.0,0.0,events/second
1775393491,511,0.3977358235831244,0.0,0.0,0.0,events/second
1775393521,518,0.39396529180351364,0.0,0.0,0.0,events/second
1775393552,525,0.39037565333155017,0.0,0.0,0.0,events/second
1775393582,532,0.38692166648232623,0.0,0.0,0.0,events/second
1775393612,539,0.3836392560295671,0.0,0.0,0.0,events/second
1775393642,548,0.38188830838510945,0.0,0.0,0.0,events/second
1775393672,555,0.37883962607788424,0.0,0.0,0.0,events/second
1775393702,562,0.37591466015832836,0.0,0.0,0.0,events/second
1775393732,569,0.3731050769270287,0.0,0.0,0.0,events/second
1775393762,576,0.3704056331200199,0.0,0.0,0.0,events/second
1775393792,583,0.36779124502430127,0.0,0.0,0.0,events/second
1775393822,590,0.3652913147332582,0.0,0.0,0.0,events/second
1775393852,597,0.36288297221306465,0.0,0.0,0.0,events/second
1775393882,604,0.36055763159197635,0.0,0.0,0.0,events/second
1775393912,611,0.35831433429584336,0.0,0.0,0.0,events/second
1775393942,618,0.35614506801801227,0.0,0.0,0.0,events/second
1775393972,625,0.354056014881028,0.0,0.0,0.0,events/second
1775394002,632,0.35203525991580165,0.0,0.0,0.0,events/second
1775394032,639,0.3500826863282677,0.0,0.0,0.0,events/second
1775394062,645,0.3476521349796695,0.0,0.0,0.0,events/second
1775394092,652,0.3458314829295843,0.0,0.0,0.0,events/second
1775394122,658,0.3435450299175798,0.0,0.0,0.0,events/second
1775394152,665,0.3418407835842103,0.0,0.0,0.0,events/second
1775394182,672,0.34018803343070997,0.0,0.0,0.0,events/second
1775394212,679,0.3385874707912987,0.0,0.0,0.0,events/second
1775394242,686,0.3370339886868893,0.0,0.0,0.0,events/second
1775394272,695,0.336493022145507,0.0,0.0,0.0,events/second
1775394302,702,0.3350128202080871,0.0,0.0,0.0,events/second
1775394332,709,0.3335743633000342,0.0,0.0,0.0,events/second
1775394362,716,0.332176371136038,0.0,0.0,0.0,events/second
1775394392,723,0.3308181778179898,0.0,0.0,0.0,events/second
1775394422,730,0.3294935036063321,0.0,0.0,0.0,events/second
1775394452,737,0.3282075154246555,0.0,0.0,0.0,events/second
1775394482,744,0.32695342285808043,0.0,0.0,0.0,events/second
1775394512,751,0.3257326590715753,0.0,0.0,0.0,events/second
1775394542,758,0.3245415233604368,0.0,0.0,0.0,events/second
1775394572,765,0.3233834539196528,0.0,0.0,0.0,events/second
1775394602,772,0.3222542418220451,0.0,0.0,0.0,events/second
1775394632,779,0.3211506509062429,0.0,0.0,0.0,events/second
1775394662,786,0.3200729269663641,0.0,0.0,0.0,events/second
1775394692,793,0.3190221957117558,0.0,0.0,0.0,events/second
1775394722,800,0.3179975284020522,0.0,0.0,0.0,events/second
1775394752,807,0.31699879666698993,0.0,0.0,0.0,events/second
1775394782,814,0.3160219294931191,0.0,0.0,0.0,events/second
1775394812,821,0.31506802684443275,0.0,0.0,0.0,events/second
1775394842,828,0.3141352741235602,0.0,0.0,0.0,events/second
