t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1775392230,45,1.943765129727835,0.0,0.0,0.0,events/second
1775392260,51,0.958181721899073,0.0,0.0,0.0,events/second
1775392290,57,0.6846417796441011,0.0,0.0,0.0,events/second
1775392320,63,0.556063375775103,0.0,0.0,0.0,events/second
1775392350,69,0.48144520741485314,0.0,0.0,0.0,events/second
1775392380,75,0.4325886734220975,0.0,0.0,0.0,events/second
1775392410,84,0.41265016798317783,0.0,0.0,0.0,events/second
1775392440,108,0.4622185022877158,0.0,0.0,0.0,events/second
1775392470,115,0.43609677949832015,0.0,0.0,0.0,events/second
1775392500,122,0.4152619093759476,0.0,0.0,0.0,events/second
1775392530,129,0.39833532813181133,0.0,0.0,0.0,events/second
1775392561,136,0.384318566235204,0.0,0.0,0.0,events/second
1775392591,143,0.3724962267897025,0.0,0.0,0.0,events/second
1775392621,150,0.36236502163846784,0.0,0.0,0.0,events/second
1775392651,157,0.3536245873202474,0.0,0.0,0.0,events/second
1775392681,164,0.3459987801467007,0.0,0.0,0.0,events/second
1775392711,189,0.3749915998161486,0.0,0.0,0.0,events/second
1775392741,196,0.3670113123720797,0.0,0.0,0.0,events/second
1775392771,203,0.3598013836100172,0.0,0.0,0.0,events/second
1775392801,210,0.3534029228104924,0.0,0.0,0.0,events/second
1775392831,217,0.34762129520698326,0.0,0.0,0.0,events/second
1775392861,224,0.34237352273583754,0.0,0.0,0.0,events/second
1775392891,230,0.33612436680838803,0.0,0.0,0.0,events/second
1775392921,237,0.33179934985244597,0.0,0.0,0.0,events/second
1775392951,244,0.32782410671502726,0.0,0.0,0.0,events/second
1775392981,251,0.32414721210260455,0.0,0.0,0.0,events/second
1775393011,260,0.323234440395304,0.0,0.0,0.0,events/second
1775393041,267,0.3199921627183935,0.0,0.0,0.0,events/second
1775393071,274,0.31697006106775855,0.0,0.0,0.0,events/second
1775393101,281,0.3141473259715219,0.0,0.0,0.0,events/second
1775393131,288,0.31151621310668426,0.0,0.0,0.0,events/second
1775393161,295,0.30905527329595067,0.0,0.0,0.0,events/second
1775393191,301,0.30572582185810887,0.0,0.0,0.0,events/second
1775393221,308,0.3035794870737762,0.0,0.0,0.0,events/second
1775393251,315,0.3015533077222501,0.0,0.0,0.0,events/second
